	Score	0.95 MoE	P-Value	Q-Value
MIR320E	0.36992792967404114			
MSX1_01	0.36747144938516824			
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE	0.3666752290655969			
GO_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS	0.36651650560632587			
COLDREN_GEFITINIB_RESISTANCE_UP	0.36478554923308865			
OVOL3_TARGET_GENES	0.36107267668218346			
GO_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.3601777749877656			
GO_MAIN_AXON	0.3582767846457338			
MIR33A_5P_MIR33B_5P	0.35668649215837867			
MIR5193	0.3559907052686974			
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.35547837871611543			
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.35501417476643915			
GO_SYNAPTIC_VESICLE_MATURATION	0.3548377804279623			
YGCANTGCR_UNKNOWN	0.3544280414914696			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.35395001671931337			
MIR7111_3P	0.3532803613763222			
MIR6873_3P	0.35281537682521485			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	0.3520605657026125			
GO_SCF_COMPLEX_ASSEMBLY	0.3508709605653899			
GO_PARANODAL_JUNCTION_ASSEMBLY	0.3489180456403079			
MIR10398_5P	0.3486805232035074			
MIR3165	0.347513251014722			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.346934939085585			
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	0.34693249038246704			
GO_GLUTAMATERGIC_SYNAPSE	0.34653923522910685			
GO_LEARNING	0.3459574350830827			
MIR4753_5P	0.34527994459509814			
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	0.3452264981107267			
MIR4456	0.3450778017140917			
MIR3202	0.34496428705364196			
MIR4318	0.34464465195377025			
ONDER_CDH1_TARGETS_2_UP	0.3445810302352634			
GO_NEURON_MIGRATION	0.34433262342363297			
OCT1_04	0.343707994763336			
TGCAAAC_MIR452	0.3432435083429075			
MIR133A_5P	0.3426103430927541			
YATGNWAAT_OCT_C	0.3419045687280436			
GO_SYNAPTIC_VESICLE_LOCALIZATION	0.34155497790082107			
MEF2_04	0.3413410315224534			
GO_SYNAPTIC_VESICLE_PRIMING	0.34117588484828626			
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0.3410236495822748			
MIR4710	0.3410002583406051			
MIR6757_3P	0.3405052539701174			
OCT1_02	0.34015153021602046			
GO_PRESYNAPTIC_ACTIVE_ZONE	0.3400318530277296			
GO_DENDRITIC_SHAFT	0.33939706096221994			
MIR4755_5P	0.33913167273505085			
MIR4781_3P	0.3388858728075692			
GO_COLLAGEN_BIOSYNTHETIC_PROCESS	0.3387711128534256			
MIR5006_3P	0.3387196566739285			
OCT1_07	0.3386096563417887			
CACCAGC_MIR138	0.3379125386927707			
MIR509_5P	0.33783476045816724			
MIR6867_5P	0.3375605907233208			
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	0.33713957553029467			
GO_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	0.33707745200016			
MIR5186	0.3369810901220891			
MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_UP	0.3364552220637095			
IPA_NEUROD2_UP	0.3362278503552814			
GO_AXON	0.3362269096433051			
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.33606028939848315			
GTTATAT_MIR410	0.3358560525855371			
GO_SYNAPTIC_SIGNALING	0.33557726923319603			
GO_SOMATODENDRITIC_COMPARTMENT	0.335511212710611			
MIR4497	0.33521165943759396			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN	0.33519230841525277			
REACTOME_MYOGENESIS	0.33494718395824896			
MIR6762_3P	0.33442041845026305			
GO_PRESYNAPTIC_DENSE_CORE_VESICLE_EXOCYTOSIS	0.3342351940545411			
GO_SCHAFFER_COLLATERAL_CA1_SYNAPSE	0.33414482004620044			
ATF_01	0.3341174890646523			
MIR509_3_5P	0.33401474966033995			
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	0.3339182121246462			
GO_DENDRITIC_TREE	0.3338308608199209			
MIR507	0.3336559418619275			
MIR6760_3P	0.3333285482690555			
GO_POSTSYNAPTIC_MEMBRANE	0.33312072153543226			
MIR383_3P	0.33305297192808525			
GO_SYNAPTIC_VESICLE_CLUSTERING	0.3329681284178213			
MIR7152_5P	0.3329617011246947			
MIR3129_3P	0.3328972583930745			
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.33259316972870007			
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	0.33213289915954475			
MIR323B_3P	0.3321093877474154			
MIR1912_5P	0.3319753362913083			
ATATGCA_MIR448	0.3315635847801934			
HTF_01	0.3315434484440579			
GO_DENSE_CORE_GRANULE_EXOCYTOSIS	0.3313207043143087			
GO_REGULATION_OF_SYNAPTIC_VESICLE_PRIMING	0.33128807325290277			
TTTGTAG_MIR520D	0.33113735378827724			
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.3304714771888835			
POU3F2_02	0.329993258085037			
VALK_AML_CLUSTER_16	0.3299516157670886			
MIR5583_5P	0.32956207775769664			
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.32933642459254914			
GO_PRESYNAPSE	0.32930883134117556			
MCDOWELL_ACUTE_LUNG_INJURY_DN	0.329274886366628			
MIR132_3P	0.3291526799740107			
MIR135B_5P	0.3290814477594033			
GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	0.32903454997590964			
CTGCAGY_UNKNOWN	0.32889973961354535			
MIR4436A	0.3288631897303431			
AAGCACA_MIR218	0.32884772426170283			
MEIS1_01	0.3287425877636024			
KIM_ALL_DISORDERS_CALB1_CORR_UP	0.3287016429808197			
GO_POSTSYNAPSE	0.32867958778322515			
CDPCR3HD_01	0.3285953504639451			
CAGTATT_MIR200B_MIR200C_MIR429	0.32852410673021587			
MIR513A_5P	0.3284584495419478			
GO_POSITIVE_REGULATION_OF_DOPAMINE_SECRETION	0.3284150826766069			
MIR557	0.3281938529177097			
POU6F1_01	0.32811568781258926			
AHR_Q5	0.32805146617064374			
MIR135A_5P	0.3277980448266072			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	0.3276133364661127			
GO_FOREBRAIN_NEURON_DEVELOPMENT	0.32723284970523514			
REACTOME_PROTEIN_FOLDING	0.3272235843985393			
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.32715092901400794			
MIR3190_3P	0.32713576073669337			
YWATTWNNRGCT_UNKNOWN	0.3270886492158536			
MIR766_3P	0.32702270662941235			
ROY_WOUND_BLOOD_VESSEL_UP	0.32701438441047764			
HOLLERN_EMT_BREAST_TUMOR_UP	0.3269112316898277			
MIR2052	0.3268551455059523			
TNCATNTCCYR_UNKNOWN	0.32670106425058815			
HAND1E47_01	0.32666170608872686			
GO_WALKING_BEHAVIOR	0.326622513709468			
REACTOME_NEUREXINS_AND_NEUROLIGINS	0.32642814469558745			
VERRECCHIA_RESPONSE_TO_TGFB1_C2	0.3263567535561464			
GO_NEURON_SPINE	0.3262224462015852			
MIR4749_3P	0.3261795978102693			
MIR4418	0.3260016252843661			
MIR6529_3P	0.3259463426672788			
CDX2_Q5	0.32590225060927847			
ACAACTT_MIR382	0.32589179935539686			
GO_SUMO_POLYMER_BINDING	0.3258769455372416			
