	Score	0.95 MoE	P-Value	Q-Value
FORTSCHEGGER_PHF8_TARGETS_DN	0.524075715928639			
GO_GOLGI_VESICLE_TRANSPORT	0.5205255986739066			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.5181340285339069			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5163834451228816			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5134375908661025			
AMIT_SERUM_RESPONSE_240_MCF10A	0.510836943257355			
DITTMER_PTHLH_TARGETS_UP	0.5100219177726			
GO_LAMININ_BINDING	0.5084967121913712			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5073342904248286			
ESC_J1_UP_LATE.V1_UP	0.5070086435981962			
YAMAZAKI_TCEB3_TARGETS_UP	0.506997829973225			
JIANG_HYPOXIA_NORMAL	0.5048943240862354			
GO_TISSUE_MIGRATION	0.5048151859171668			
GO_ANCHORING_JUNCTION	0.5037912402785116			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5033498309191646			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.5026921422468333			
WANG_CLIM2_TARGETS_DN	0.5026057446367042			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5025880098081725			
LTE2_UP.V1_UP	0.5024058454678392			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5023370448441491			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.502293090883116			
DELACROIX_RARG_BOUND_MEF	0.5020213118005653			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5017548497407139			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5016704879600947			
GO_COSTAMERE	0.5015802531712437			
PROVENZANI_METASTASIS_DN	0.5015048790484935			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.50111378343483			
AMIT_EGF_RESPONSE_240_HELA	0.5008048983380948			
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN	0.5007427752178022			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.500563499996064			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5002293155566482			
LHX9_TARGET_GENES	0.4997658535718521			
GO_CELL_JUNCTION_ASSEMBLY	0.49973545244537737			
GO_CELL_ADHESION_MOLECULE_BINDING	0.4990647118537521			
REACTOME_SIGNALING_BY_HIPPO	0.49883738607690925			
GO_CELL_JUNCTION_ORGANIZATION	0.49882032000850585			
REACTOME_SIGNALING_BY_MET	0.4988013084148218			
JOHNSTONE_PARVB_TARGETS_3_UP	0.4986488556218993			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.4985861515408522			
GO_CELL_CORTEX	0.4983848023331035			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.4980250993021377			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.49788727213718303			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4977595653860436			
AMIT_EGF_RESPONSE_480_HELA	0.4975191771468869			
GO_ADHERENS_JUNCTION	0.49749788965186814			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.4974758222628841			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.49743302649881743			
GENTILE_UV_RESPONSE_CLUSTER_D7	0.4974280427405388			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.49729540923508303			
GO_EXTRACELLULAR_MATRIX_BINDING	0.4972558056906523			
ESC_V6.5_UP_EARLY.V1_DN	0.497205109053818			
GO_CELL_MATRIX_ADHESION	0.497178700339845			
GO_ENDOTHELIAL_CELL_MIGRATION	0.4967329110960162			
PASINI_SUZ12_TARGETS_DN	0.4965442805547781			
LEI_MYB_TARGETS	0.496530750913676			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.49632243421237515			
GO_CELL_SUBSTRATE_ADHESION	0.4958944933509658			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.49581715248811625			
WINTER_HYPOXIA_UP	0.49482720517387707			
