	Score	0.95 MoE	P-Value	Q-Value
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5889452816482013			
GOZGIT_ESR1_TARGETS_DN	0.5835607420601903			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5820919014688839			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5811269343223279			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.580112786145806			
ERBB2_UP.V1_UP	0.5795015586909026			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5789652647834773			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5779450267573281			
LTE2_UP.V1_UP	0.5777290411441937			
GO_ADHERENS_JUNCTION	0.5775716986799442			
MEK_UP.V1_UP	0.5758695948528499			
DELACROIX_RARG_BOUND_MEF	0.5746404564217485			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.5737564205462148			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5727679309399181			
KIM_WT1_TARGETS_12HR_UP	0.5723044876029689			
GO_FOCAL_ADHESION_ASSEMBLY	0.5718062770801049			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5717926773654097			
GO_COSTAMERE	0.5717704161306778			
WGGAATGY_TEF1_Q6	0.5713296011247763			
GO_CELL_JUNCTION_ASSEMBLY	0.571077134454299			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5708616921892941			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5704828088156628			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5699138620325246			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5694524117235001			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.569302732588109			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5692237170206135			
GO_CELL_JUNCTION_ORGANIZATION	0.5691035465367141			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5690689132076664			
GO_CELL_CORTEX	0.5689079897894278			
GO_LAMININ_BINDING	0.568478942517742			
GO_CELL_MATRIX_ADHESION	0.567589118354062			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5669469838753327			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.5668836225009849			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5665630908679977			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5665503616020167			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5662759554435235			
ESC_J1_UP_LATE.V1_UP	0.5656870433564741			
GO_TISSUE_MIGRATION	0.5655150365807279			
