	Score	0.95 MoE	P-Value	Q-Value
CHEN_PDGF_TARGETS	0.43465014988926026			
SFMBT1_TARGET_GENES	0.4252057604622059			
WANG_CLIM2_TARGETS_DN	0.4224300230819987			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.4211833226716178			
YOSHIMURA_MAPK8_TARGETS_DN	0.418908639715802			
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.41883901888332614			
BRUINS_UVC_RESPONSE_LATE	0.4141969345039105			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4137420402684429			
GO_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION	0.4130980519308685			
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D	0.4128008339782345			
GSE20715_0H_VS_48H_OZONE_LUNG_DN	0.4114594172143329			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.4109411793926608			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.410736514271126			
GSE3982_EOSINOPHIL_VS_MAC_DN	0.40949675586011103			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.4076120736030971			
JIANG_HYPOXIA_NORMAL	0.4067414370843198			
LHX9_TARGET_GENES	0.40671880619138556			
DITTMER_PTHLH_TARGETS_UP	0.4067150835709051			
SESTO_RESPONSE_TO_UV_C8	0.40648142660370606			
HALLMARK_GLYCOLYSIS	0.40641224890512945			
UBN1_TARGET_GENES	0.4063405701215461			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.4052044531355194			
LINSLEY_MIR16_TARGETS	0.40520442588158057			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.40492171180710596			
GO_GOLGI_VESICLE_TRANSPORT	0.4047670242627495			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.4047053345863813			
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	0.40462537808101984			
REACTOME_DISEASES_OF_GLYCOSYLATION	0.40444945113843284			
BURTON_ADIPOGENESIS_7	0.40403907040904213			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4035426319356138			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.4033371828256137			
REACTOME_SYNDECAN_INTERACTIONS	0.4031880738218563			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.4029508879259111			
KAAB_FAILED_HEART_ATRIUM_DN	0.4024848682521102			
GO_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.4024764693784984			
WINTER_HYPOXIA_UP	0.4024150187228445			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.4024137544224995			
YAMAZAKI_TCEB3_TARGETS_UP	0.4019033460726672			
RB_P130_DN.V1_DN	0.40159848513586915			
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM	0.4010956683255038			
BOUDOUKHA_BOUND_BY_IGF2BP2	0.40105184347331974			
GO_ENDOPLASMIC_RETICULUM	0.40082738243685817			
AMIT_SERUM_RESPONSE_240_MCF10A	0.4007416006590794			
GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN	0.40002165231228415			
GO_LAMININ_BINDING	0.39998516973063825			
GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.3999714814385364			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.39980360381507735			
GSE7509_UNSTIM_VS_TNFA_IL1B_IL6_PGE_STIM_DC_UP	0.3997591781324408			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.3996967163455289			
LEI_MYB_TARGETS	0.39968030235892515			
GO_CELL_ADHESION_MOLECULE_BINDING	0.399585529421929			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.3993428148463905			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.3987402800691592			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.39864145877076157			
GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0.39847558559870555			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.39799514211747633			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.3979384009794008			
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.3978840577980531			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_DN	0.397706080439656			
GO_EXTRACELLULAR_MATRIX_BINDING	0.39766459945409405			
NAGASHIMA_EGF_SIGNALING_UP	0.39681352496457234			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.39662811917602697			
SESTO_RESPONSE_TO_UV_C1	0.3963506643541776			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.39630425335791225			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.3961744909269242			
SERVITJA_LIVER_HNF1A_TARGETS_UP	0.3959958920971546			
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	0.3959214533760586			
HALLMARK_PROTEIN_SECRETION	0.3958578526998006			
BARRIER_COLON_CANCER_RECURRENCE_UP	0.39585184125232614			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.3956197037590494			
GO_COPPER_ION_HOMEOSTASIS	0.3955984603441466			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP	0.39524834889405325			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.39521285461809336			
GO_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	0.3950747842144062			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.39494307597164535			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP	0.39481135102753584			
DELACROIX_RARG_BOUND_MEF	0.3946206358984059			
GO_ANCHORING_JUNCTION	0.3945903847068543			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.3945016004788786			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.394389062884586			
GSE17721_LPS_VS_GARDIQUIMOD_12H_BMDC_DN	0.3941283051784436			
GO_METANEPHRIC_EPITHELIUM_DEVELOPMENT	0.3941032489347113			
NAGASHIMA_NRG1_SIGNALING_UP	0.39394343629591355			
ZNF837_TARGET_GENES	0.3939143813654437			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.3937371723273145			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.3933788325241845			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.39336953300210536			
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	0.3931777053127315			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.3930059637057296			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.39289137462952484			
KIM_WT1_TARGETS_12HR_DN	0.3928666729207096			
ZMYND8_TARGET_GENES	0.39277733939415577			
AMIT_EGF_RESPONSE_240_HELA	0.3926741007492973			
SUNG_METASTASIS_STROMA_UP	0.39261557559851407			
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP	0.3925740986343064			
STEIN_ESRRA_TARGETS	0.39256186983797			
GO_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	0.39254350517020586			
REACTOME_SIGNALING_BY_HIPPO	0.39196396139445366			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.39192930810202603			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.3916842577892126			
ZAMORA_NOS2_TARGETS_DN	0.3915893201017584			
CROMER_METASTASIS_DN	0.39146634281221904			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.3912345138631748			
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	0.39119208231691277			
LUND_SILENCED_BY_METHYLATION	0.3909708502012165			
GO_ER_RETENTION_SEQUENCE_BINDING	0.39080348829001443			
WANG_METHYLATED_IN_BREAST_CANCER	0.3902700799037029			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	0.39020421113431497			
GSE3982_MAC_VS_NEUTROPHIL_UP	0.3901839420213457			
QI_PLASMACYTOMA_DN	0.39015806456928			
