	Score	0.95 MoE	P-Value	Q-Value
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.36151365729380935			
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	0.3568153354772987			
UDAYAKUMAR_MED1_TARGETS_DN	0.3560628457517666			
DANG_REGULATED_BY_MYC_DN	0.35570979258749186			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	0.35557864735463285			
GO_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.35372717304182316			
GO_FOCAL_ADHESION_ASSEMBLY	0.3537163319458068			
GO_ENDOSOMAL_TRANSPORT	0.35307451178188126			
GO_CELL_SUBSTRATE_ADHESION	0.35290578502890907			
GO_REGULATION_OF_ENDOCYTOSIS	0.35270915507091405			
GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.3524576069510296			
GO_CELL_MATRIX_ADHESION	0.3522127808239158			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.3511813424919543			
GO_REGULATION_OF_CELLULAR_COMPONENT_SIZE	0.35082721205538486			
GO_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.3508245256332347			
GO_COLLAGEN_BINDING	0.35080005252077273			
BURTON_ADIPOGENESIS_9	0.3507633841334136			
KEGG_FOCAL_ADHESION	0.350517208008047			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3500520440553506			
GSE7852_THYMUS_VS_FAT_TREG_DN	0.34976293206692893			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.3491092479248242			
WONG_ADULT_TISSUE_STEM_MODULE	0.349087342411581			
GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.34902892801740515			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.34892482855202933			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.3486748097325252			
GO_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	0.3484664460515946			
GO_FIBRONECTIN_BINDING	0.34798946828144395			
PID_FAK_PATHWAY	0.3478419966100111			
SUPT16H_TARGET_GENES	0.34778320412165825			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.3477278170228111			
PETRETTO_CARDIAC_HYPERTROPHY	0.3476545895833429			
GO_PLATELET_ALPHA_GRANULE_MEMBRANE	0.3475969697882752			
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.34746446549310234			
GO_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.3474411792021565			
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.3473037863676101			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.3469337069514027			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.3467696425357297			
FRIDMAN_SENESCENCE_UP	0.34656304163535684			
PID_INTEGRIN_A9B1_PATHWAY	0.34655162040494125			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.3465203510839577			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.346392017741242			
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.34631920281226464			
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.3461104527964748			
HALLMARK_TGF_BETA_SIGNALING	0.3460470027650488			
GO_PROTEOGLYCAN_BINDING	0.3454747558534873			
GO_PLASMA_MEMBRANE_ORGANIZATION	0.34538118756026065			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.3453603400583811			
GO_LAMELLIPODIUM_ORGANIZATION	0.3451615608722478			
GO_ACTIN_FILAMENT_ORGANIZATION	0.34511848036046605			
KIM_WT1_TARGETS_12HR_UP	0.34487726979654865			
IPA_MYCN_DN	0.3447484355152157			
GO_RECEPTOR_METABOLIC_PROCESS	0.34460105695700977			
GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.34440341759285487			
E2F1_UP.V1_DN	0.34437379590033823			
GO_CELL_SUBSTRATE_JUNCTION	0.34433946523456177			
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.3440890399437518			
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	0.34401009741800576			
VERRECCHIA_RESPONSE_TO_TGFB1_C1	0.34397447769446804			
BROWNE_HCMV_INFECTION_24HR_DN	0.34385578909863834			
GO_TUBE_MORPHOGENESIS	0.3438252746830255			
