	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.4176222786736395			
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.40546855998540726			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.40244092289600186			
GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_DN	0.3977192073404562			
GSE3982_MAST_CELL_VS_BASOPHIL_UP	0.39730424309131007			
GSE22886_NAIVE_TCELL_VS_DC_DN	0.3965239737488751			
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0.395609029210074			
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.3955291120083658			
GO_UDP_GLUCOSE_METABOLIC_PROCESS	0.394551539867328			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.39448311742963904			
IPA_BACH1_DN	0.39341207583179827			
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_CYTOSOLIC_CALCIUM_LEVELS	0.3933193126272247			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.39320258183068707			
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC	0.3929814702796838			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.3917172673311437			
GO_RESPONSE_TO_THYROID_HORMONE	0.3916058849757802			
GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX	0.3915412561628519			
GO_ER_ASSOCIATED_MISFOLDED_PROTEIN_CATABOLIC_PROCESS	0.3914073809475482			
HALLMARK_PROTEIN_SECRETION	0.390740774378822			
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	0.38997737713226577			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.3894582417171715			
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.3891149787271523			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.38666050652004547			
