	Score	0.95 MoE	P-Value	Q-Value
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.3798965798621207			
COLDREN_GEFITINIB_RESISTANCE_UP	0.376171388844152			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3738630633784589			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.3708084855440797			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.3597622222997749			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.3590132590769966			
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.35744780430668516			
GO_COPPER_ION_HOMEOSTASIS	0.35702966628063676			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.3560931784570069			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.35477713122431426			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.35429258731506635			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.3542080343550311			
TOMLINS_PROSTATE_CANCER_DN	0.3531253299755657			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.352686627180506			
HOLLERN_EMT_BREAST_TUMOR_UP	0.3513013056241617			
LTE2_UP.V1_UP	0.3510683262807252			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.35096484465442135			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.35057193171396184			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3502917414631791			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.34977661710298197			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3497138542352445			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.34931746457283325			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3485865461918556			
