	Score	0.95 MoE	P-Value	Q-Value
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5524920505175597			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5509362052923074			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5478918937018803			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.546485805166188			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5448793702300745			
ESC_J1_UP_LATE.V1_UP	0.5440932879054217			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5421461764275209			
GO_ADHERENS_JUNCTION	0.5412825770519443			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5399932729256763			
GOZGIT_ESR1_TARGETS_DN	0.5392031784788606			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5366304027022321			
GO_COSTAMERE	0.5342880431669801			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.5340620632045684			
KOHOUTEK_CCNT1_TARGETS	0.5335903288885263			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5335728825430007			
GO_CELL_CELL_JUNCTION	0.5329700821634057			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5326121151913904			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5323062006109724			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.5321733013770669			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.532151397976826			
MEK_UP.V1_UP	0.5311141112562091			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5310938274649121			
DELPUECH_FOXO3_TARGETS_UP	0.530231719121259			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.52950635573243			
HAN_SATB1_TARGETS_DN	0.5293812216997037			
WU_CELL_MIGRATION	0.5293503781759183			
AMIT_EGF_RESPONSE_60_MCF10A	0.5291619837349835			
ERBB2_UP.V1_UP	0.5290644010356778			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5290126668420368			
GHO_ATF5_TARGETS_DN	0.5289195405262213			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.5280636646546412			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.527699700203076			
KOYAMA_SEMA3B_TARGETS_UP	0.526682574344623			
EGFR_UP.V1_UP	0.5262838722388614			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5258463368167104			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5237989207247508			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5234778203079583			
REACTOME_CELL_CELL_COMMUNICATION	0.5233808184769875			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.523215986396427			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5231336011663215			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5225115627252435			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5224288911986141			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.5224009162262193			
MIR3943	0.5223469496014035			
JIANG_HYPOXIA_NORMAL	0.5221713263425497			
GO_CADHERIN_BINDING	0.5221449062541232			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5220421037653683			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5214937800158163			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5211290721788717			
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.5211289030803051			
GSE2826_WT_VS_BTK_KO_BCELL_DN	0.5209350071650917			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.5208629192388359			
LIU_CMYB_TARGETS_UP	0.520703436651929			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.5206615428377448			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5205325071389916			
FORTSCHEGGER_PHF8_TARGETS_DN	0.520304569789064			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.5200411519945152			
GO_ANCHORING_JUNCTION	0.520008978987448			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5199060196128564			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5197508609171225			
GO_CELL_CORTEX	0.5196096127527698			
CERVERA_SDHB_TARGETS_2	0.5195113049660677			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.5193136437165055			
PID_NECTIN_PATHWAY	0.5188865349543107			
GO_CELL_JUNCTION_ASSEMBLY	0.5187413986904484			
LTE2_UP.V1_UP	0.5185776801889721			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5185466261566899			
DITTMER_PTHLH_TARGETS_UP	0.5184417024724933			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.5183444812748076			
GO_CELL_JUNCTION_ORGANIZATION	0.5180698815675414			
SESTO_RESPONSE_TO_UV_C3	0.517420631002871			
DORN_ADENOVIRUS_INFECTION_12HR_DN	0.5173588897658615			
RAF_UP.V1_UP	0.5171965880908347			
ISSAEVA_MLL2_TARGETS	0.5171456577659357			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.517033899598221			
NAGASHIMA_NRG1_SIGNALING_UP	0.5170035834252381			
GO_LAMININ_BINDING	0.5169922483515015			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.5163673490522892			
AMIT_SERUM_RESPONSE_60_MCF10A	0.5159600169179691			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.5158979961073948			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.515584694890693			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5153485018781633			
GO_LAMININ_COMPLEX	0.5149528229010693			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5149278770493371			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.5149264639787633			
GO_APICAL_PART_OF_CELL	0.5148963462088945			
LEE_LIVER_CANCER_ACOX1_UP	0.5147713229112781			
RAF_UP.V1_DN	0.5147190727799186			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.5145706003858239			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5143488021570176			
GO_NEGATIVE_REGULATION_OF_COAGULATION	0.5143240401632855			
BORLAK_LIVER_CANCER_EGF_UP	0.5139599384018477			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	0.5139026607662838			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	0.5138217283883899			
UDAYAKUMAR_MED1_TARGETS_DN	0.5138170799989312			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.513571394117772			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.5134477891789133			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5134108139246099			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5133852947662721			
SESTO_RESPONSE_TO_UV_C2	0.5133509614580447			
WINZEN_DEGRADED_VIA_KHSRP	0.5132365536490069			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.5132339139674197			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5131250747453309			
LIU_SOX4_TARGETS_UP	0.5130191438312922			
LEI_MYB_TARGETS	0.5129795746300598			
REACTOME_SIGNALING_BY_PTK6	0.5122894781952795			
LHX9_TARGET_GENES	0.512286128290127			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.5120788778695847			
GO_CELL_ADHESION_MOLECULE_BINDING	0.5118205649276963			
AMIT_EGF_RESPONSE_480_HELA	0.5117264105683336			
GO_ERBB_SIGNALING_PATHWAY	0.5115575382343136			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5113935284519789			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5111436698338736			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.5109853527092296			
KOBAYASHI_EGFR_SIGNALING_6HR_DN	0.5108065417885004			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.5107891216321946			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.5105492718977394			
WANG_CLIM2_TARGETS_DN	0.5105174560699826			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5097806317987781			
NUYTTEN_NIPP1_TARGETS_DN	0.5096668367823315			
BILD_HRAS_ONCOGENIC_SIGNATURE	0.5096181896692529			
HOELZEL_NF1_TARGETS_UP	0.5095851937395734			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.509295937632705			
RODRIGUES_THYROID_CARCINOMA_DN	0.5091083216136629			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.5090643876296453			
GO_REGULATION_OF_WOUND_HEALING	0.5089309572252182			
PID_FAK_PATHWAY	0.5089020821351152			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.5088957751540577			
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	0.5086265580021305			
TOMIDA_METASTASIS_DN	0.5085713368433117			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.5085352469573551			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5084427730395188			
GO_MEMBRANE_RAFT_ASSEMBLY	0.5082337706105462			
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.5082331579402685			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5081458941847914			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5078961818904318			
PID_AJDISS_2PATHWAY	0.5077477840954486			
ZMYND8_TARGET_GENES	0.5074290368329731			
PROVENZANI_METASTASIS_DN	0.5074276181071138			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.5073507937708844			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.5073297279755549			
DELYS_THYROID_CANCER_UP	0.5072694376692005			
CRX_DN.V1_DN	0.5069642699414035			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.5068994111633146			
GO_CELL_MATRIX_ADHESION	0.5068951190438422			
TBK1.DF_UP	0.5068730955003362			
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	0.5068281958187688			
KMT2D_TARGET_GENES	0.5066725811315062			
CRX_NRL_DN.V1_DN	0.5066074588459771			
TBK1.DF_DN	0.506541487625176			
KIM_WT1_TARGETS_12HR_UP	0.5065349913875046			
DELACROIX_RARG_BOUND_MEF	0.5064203328391085			
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5063410942401535			
MOHANKUMAR_HOXA1_TARGETS_DN	0.5061476068820603			
TGANTCA_AP1_C	0.5059786182568393			
PID_INTEGRIN4_PATHWAY	0.5059723458739056			
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	0.5058896445495469			
REACTOME_LAMININ_INTERACTIONS	0.5056375696990674			
