	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5400766084420151			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5307618836805061			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5235949419401841			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5227972140796933			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5214838602837709			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5208329508827398			
GO_ADHERENS_JUNCTION	0.5205829626162924			
PID_NECTIN_PATHWAY	0.5205622406412388			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5202278507559522			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5195071052685257			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5158692471597196			
GO_CELL_CELL_JUNCTION	0.515418829381193			
AMIT_SERUM_RESPONSE_240_MCF10A	0.514163831415743			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5135625703909384			
GO_CELL_JUNCTION_ASSEMBLY	0.5130301354631125			
ESC_J1_UP_LATE.V1_UP	0.5129632960431136			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.5125045363485574			
GO_CELL_JUNCTION_ORGANIZATION	0.5123250682784223			
REACTOME_CELL_CELL_COMMUNICATION	0.5119998258499238			
GO_LAMININ_COMPLEX	0.5105756589698628			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.509913468614366			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5097234756838523			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5095939567841306			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5090043537331738			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5087491711300429			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.5086588272160599			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5073320463979378			
MEK_UP.V1_UP	0.5072863718668343			
GO_COSTAMERE	0.507112918337691			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5066394671416377			
GOZGIT_ESR1_TARGETS_DN	0.50650805921535			
PID_FAK_PATHWAY	0.5052302116272842			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5051025642241445			
ERBB2_UP.V1_UP	0.504753367896755			
GO_CADHERIN_BINDING	0.5046816726596102			
PID_INTEGRIN4_PATHWAY	0.504486801613127			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5044643043763987			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.5044380999345374			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5043576857544195			
GO_ANCHORING_JUNCTION	0.5043516200098804			
RAF_UP.V1_UP	0.503172480878954			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5030842752848506			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5028089609511847			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5028022950771501			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5027258657695804			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5025844603266704			
REACTOME_SIGNALING_BY_PTK6	0.5023729317718346			
GO_ERBB_SIGNALING_PATHWAY	0.5022659957585622			
KOHOUTEK_CCNT1_TARGETS	0.5020611999231			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.5018761388600648			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5017201682432787			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5015526922297856			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.5011443161436545			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.5008013180573376			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5006546798215428			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.5004242893427805			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5001316869868008			
DELACROIX_RARG_BOUND_MEF	0.4994273388105677			
REACTOME_SIGNALING_BY_MET	0.49921402097400636			
LTE2_UP.V1_UP	0.4988585912812639			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.498773612139915			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.4986754108984805			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.49861723072034936			
DITTMER_PTHLH_TARGETS_UP	0.49838672925335326			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4978566301382442			
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.49751153382492846			
GO_CELL_CORTEX	0.4972058971135347			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.49709751346299286			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.4970033949858976			
PROVENZANI_METASTASIS_DN	0.4968780654521171			
UDAYAKUMAR_MED1_TARGETS_DN	0.49675427464114696			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4965481254785672			
KEGG_ADHERENS_JUNCTION	0.4962296000111785			
AMIT_EGF_RESPONSE_480_HELA	0.4962132402172151			
WGGAATGY_TEF1_Q6	0.4961853059393503			
GO_CELL_ADHESION_MOLECULE_BINDING	0.49562286745373835			
REACTOME_LAMININ_INTERACTIONS	0.4955699862393303			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.4951876614547186			
GO_LAMININ_BINDING	0.4950603132037175			
GO_PLASMA_MEMBRANE_REGION	0.49501027615245474			
REACTOME_SIGNALING_BY_EGFR	0.4948666525909593			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.49471220702574054			
GO_APICAL_JUNCTION_COMPLEX	0.49458404204566914			
REACTOME_SIGNALING_BY_HIPPO	0.4944238589207757			
GO_EPITHELIAL_CELL_CELL_ADHESION	0.4944007105784267			
BORLAK_LIVER_CANCER_EGF_UP	0.49437469171885634			
CHIBA_RESPONSE_TO_TSA_DN	0.49413737453779844			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.49388589460455595			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.4935194083918691			
