	Score	0.95 MoE	P-Value	Q-Value
GO_BMP_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.3007020936643787			
HNF4_DR1_Q3	0.29188671676499933			
GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.2913729098322128			
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	0.2912869040060569			
GO_POSITIVE_REGULATION_OF_RUFFLE_ASSEMBLY	0.2911328614809889			
SANSOM_WNT_PATHWAY_REQUIRE_MYC	0.29034880906529315			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.2902438897602795			
GO_TRANSCRIPTION_REGULATOR_RECRUITING_ACTIVITY	0.28790777204752727			
GO_REGULATION_OF_WNT_SIGNALING_PATHWAY	0.2878135227950831			
GO_COPI_COATED_VESICLE_BUDDING	0.28774873433078846			
GO_CANONICAL_WNT_SIGNALING_PATHWAY	0.28724628766453464			
GO_AXIS_ELONGATION	0.2869607455646902			
GO_CELL_CELL_SIGNALING_BY_WNT	0.28560970290804405			
GO_APPENDAGE_DEVELOPMENT	0.28470228720321655			
COUP_DR1_Q6	0.2842762956976046			
GO_APICAL_PART_OF_CELL	0.28393111071642196			
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.28377692165295704			
GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_DN	0.2835022872454953			
GSE22611_UNSTIM_VS_6H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	0.2832151545122238			
HNF4_01_B	0.2831219262240732			
GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	0.28256110026360814			
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.28249768275106024			
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.2815532399341499			
PID_NCADHERIN_PATHWAY	0.2811863075082722			
SUZUKI_AMPLIFIED_IN_ORAL_CANCER	0.28072189649195406			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.28029981989568536			
GO_MESENCHYMAL_CELL_DIFFERENTIATION	0.28024453132906624			
RNCTGNYNRNCTGNY_UNKNOWN	0.2800466512783999			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.2800463164074966			
GO_HEART_MORPHOGENESIS	0.280006431898549			
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.2798852891333528			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.27976008564106064			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.2794856888640815			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.27923636027690163			
GO_COPPER_ION_HOMEOSTASIS	0.27919753079440635			
GO_APPENDAGE_MORPHOGENESIS	0.2791530156103794			
GO_REGULATION_OF_STEM_CELL_PROLIFERATION	0.2788976092042316			
GO_URETER_DEVELOPMENT	0.2784073648487322			
GO_APICAL_PLASMA_MEMBRANE	0.27833900375513443			
DITTMER_PTHLH_TARGETS_UP	0.2781770431977901			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.27815350031029423			
GO_EMBRYONIC_DIGIT_MORPHOGENESIS	0.27800073701796135			
GO_REGENERATION	0.2779934683887806			
GO_CLATHRIN_COATED_PIT	0.27758259594935863			
PPAR_DR1_Q2	0.277442116603816			
GO_LACRIMAL_GLAND_DEVELOPMENT	0.2773650550602256			
GO_LATERAL_PLASMA_MEMBRANE	0.27706812485908344			
GO_NEURON_PROJECTION_REGENERATION	0.27702346754504514			
MONTERO_THYROID_CANCER_POOR_SURVIVAL_DN	0.2769565646134766			
GO_APICAL_CORTEX	0.27695165908136415			
GO_REGULATION_OF_NEURON_PROJECTION_REGENERATION	0.2768197732010232			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.27642659317036117			
GROSS_HYPOXIA_VIA_ELK3_UP	0.27618999132628164			
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	0.2758299251096507			
CHYLA_CBFA2T3_TARGETS_DN	0.27579797916507565			
GO_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	0.27556110771303116			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN	0.27552509688964183			
GO_VINCULIN_BINDING	0.2755146956604831			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.2755009189705809			
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	0.2753757469112797			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.2753261944365591			
GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_DN	0.27531050821815334			
GO_MESENCHYME_DEVELOPMENT	0.27519966586723416			
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.2751165705498136			
GSE19374_UNINF_VS_LISTERIA_INFECTED_MACROPHAGE_DN	0.27487255385363085			
HALLMARK_NOTCH_SIGNALING	0.27446596982431487			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.27441843161669555			
GO_CELL_PROJECTION_MEMBRANE	0.27435825050217244			
GO_CORPUS_CALLOSUM_DEVELOPMENT	0.27418721560579584			
YOSHIMURA_MAPK8_TARGETS_UP	0.27417915773663676			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.27399581191556105			
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	0.27382024500467905			
GO_REGULATION_OF_CARTILAGE_DEVELOPMENT	0.27377717286077574			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.273773921685329			
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	0.2736729045399894			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.27364113233929094			
GO_NEURON_SPINE	0.2736313673228183			
