	Score	0.95 MoE	P-Value	Q-Value
GO_FLOTILLIN_COMPLEX	0.3511811515902728			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	0.35083018724698933			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	0.34396539327709236			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.3422388752106092			
IPA_MEF2D_DN	0.3385692340728927			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.3374667166078977			
GSE10325_BCELL_VS_MYELOID_DN	0.3370794923581104			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.3370606867179163			
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	0.33690223116557244			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.33687477403207006			
AMIT_EGF_RESPONSE_120_MCF10A	0.33583528200236157			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.33562060390231796			
GO_ZONULA_ADHERENS	0.33512148286834154			
TOMIDA_METASTASIS_DN	0.3346984453389182			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	0.3332170789035858			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.3330315914873229			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.3329970628468162			
GO_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.3328496878203122			
CHIBA_RESPONSE_TO_TSA_DN	0.3325799879929486			
PLASARI_TGFB1_TARGETS_1HR_UP	0.33179542483137386			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3316595572493808			
PID_CDC42_PATHWAY	0.3314903407372799			
REACTOME_SIGNALING_BY_PTK6	0.3309388934691566			
GO_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT	0.33086239348702084			
SWEET_KRAS_ONCOGENIC_SIGNATURE	0.3307114753230602			
GO_CELL_CORTEX	0.33058579799579024			
GSE7852_TREG_VS_TCONV_FAT_UP	0.3305745477832203			
JOHNSTONE_PARVB_TARGETS_3_UP	0.3302300887721595			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	0.3302168740044931			
ERBB2_UP.V1_UP	0.329753400167756			
CHYLA_CBFA2T3_TARGETS_DN	0.3292951136989669			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_DN	0.3292770369200828			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.3291894837970946			
PID_MET_PATHWAY	0.32915703777060284			
IPA_PTF1A_DN	0.3291365886364339			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.3290683282870816			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.32874125669299276			
GO_STEREOCILIUM_BUNDLE	0.32867598173205664			
PID_NECTIN_PATHWAY	0.3286290512526458			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3284618986173025			
