	Score	0.95 MoE	P-Value	Q-Value
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.38570065908535445			
REACTOME_CILIUM_ASSEMBLY	0.37953877350490467			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.37207771711935406			
GO_MICROTUBULE_BASED_PROCESS	0.37021032569709555			
GO_MICROTUBULE_BASED_MOVEMENT	0.3701619267642634			
GO_AXON_CYTOPLASM	0.36974748529647017			
GO_MICROTUBULE	0.36610754965415054			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.3625317923144204			
GO_CILIUM_ORGANIZATION	0.3589710622601588			
GO_CYTOPLASMIC_REGION	0.35803280188095815			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.35740113738122764			
GO_RETROGRADE_AXONAL_TRANSPORT	0.3566086802703755			
MIR7108_5P	0.3556987584041031			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.3542645147397768			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.3532836178497942			
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.351107432029791			
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	0.3502281536296578			
GO_MICROTUBULE_BINDING	0.3498001950972206			
GO_MICROTUBULE_CYTOSKELETON	0.3494821282664676			
MIR532_3P	0.3478496680775154			
GO_AXO_DENDRITIC_TRANSPORT	0.3468134095361243			
GO_CILIARY_PLASM	0.3468122223128166			
TERAMOTO_OPN_TARGETS_CLUSTER_3	0.34610394721676385			
MIR4680_5P	0.34500050817617045			
MEIS1AHOXA9_01	0.3446416864556747			
MIR4298	0.3441514995883929			
GO_SPINDLE_ORGANIZATION	0.34196838964752513			
GO_INTRACILIARY_TRANSPORT	0.34169292325786854			
MIR4715_5P	0.3413802030244251			
GO_REGULATION_OF_CILIUM_ASSEMBLY	0.340544100799966			
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.33957657442002387			
MIR3150A_3P	0.33806993212754555			
MIR4299	0.33764128474047217			
GO_TUBULIN_BINDING	0.3360661579838317			
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0.33501273302080287			
GO_CYTOPLASMIC_MICROTUBULE	0.3330844041506409			
GO_ORGANELLE_ASSEMBLY	0.33265150311014136			
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.3321305826922486			
GO_LATERAL_MESODERM_DEVELOPMENT	0.332099681377156			
GO_MICROTUBULE_BASED_TRANSPORT	0.33133184061351334			
GO_MICROTUBULE_MOTOR_ACTIVITY	0.33096528189281865			
MIR6506_5P	0.330915543216398			
WEBER_METHYLATED_HCP_IN_FIBROBLAST_UP	0.32985961267641384			
GO_CILIARY_BASAL_BODY	0.3297204513409218			
MIR636	0.32892505964322194			
GO_ANTEROGRADE_AXONAL_TRANSPORT	0.32851464458490676			
GO_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.32743535672992363			
GO_CENTRIOLE	0.3264864901882573			
MIR6086	0.32631630929646616			
MIR3138	0.32600526355290604			
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.3259140290815753			
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.32573822286451365			
GO_KINESIN_COMPLEX	0.3255602938963063			
REACTOME_KINESINS	0.32484041159284194			
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.32450683268643365			
GO_NEURON_PROJECTION_CYTOPLASM	0.32398471965968756			
GO_HARD_PALATE_DEVELOPMENT	0.3237568597679912			
GO_POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.3227931092630341			
GO_MITOTIC_SPINDLE_MIDZONE	0.3224842921274194			
MIR5187_5P	0.32214611713230823			
GO_CELL_TIP	0.32211475773515713			
MIR5004_5P	0.3208371282315232			
GO_MEIOTIC_SPINDLE_ORGANIZATION	0.3207147332236147			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.31970265440588047			
TET1_Splice_Variant_VP_DE456_TARGET_GENES	0.31968813048117983			
MIR1269A_MIR1269B	0.31929725698830363			
MIR3158_5P	0.3190241669617158			
GO_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY	0.31874988461203985			
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.318473625438752			
GO_ANTEROGRADE_DENDRITIC_TRANSPORT	0.3183460568097586			
MIR3616_3P	0.31819434647727907			
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	0.317399830529563			
RFX1_02	0.31723097936268496			
GO_CENTROSOME_SEPARATION	0.31668729462121525			
GO_MICROTUBULE_BUNDLE_FORMATION	0.31584213156136426			
GO_MICROTUBULE_ORGANIZING_CENTER	0.3154312166450038			
MIR940	0.3154031139264733			
GO_EXOCYTIC_INSERTION_OF_NEUROTRANSMITTER_RECEPTOR_TO_POSTSYNAPTIC_MEMBRANE	0.3151679129483967			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	0.3149321623716606			
GO_VENTRICULAR_SYSTEM_DEVELOPMENT	0.3131880302882761			
MIR3649	0.31313911403703026			
GO_DENSE_CORE_GRANULE_TRANSPORT	0.3130802030978436			
MIR4455	0.3128355990892578			
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	0.31275834508718714			
GO_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR	0.31274539296612947			
PRKDC_TARGET_GENES	0.3114984723145974			
MIR7974	0.3113820865698012			
MIR6808_5P	0.31068344502184964			
MIR455_3P	0.3106062362773484			
MIR4536_3P	0.31027279008448727			
RYTGCNNRGNAAC_MIF1_01	0.3102532618548681			
MIR2392	0.30982959741646415			
GO_REGULATION_OF_MRNA_3_END_PROCESSING	0.3098086002754332			
MIR143_3P_MIR4770	0.3090622646397094			
MIR6856_5P	0.30898665179388285			
TGCGCANK_UNKNOWN	0.308839658877841			
GO_CILIARY_BASE	0.3087652158782524			
ZNF331_TARGET_GENES	0.3078696575017668			
MIR483_3P	0.30753993369256505			
GO_DENDRITIC_TRANSPORT	0.30746399772836824			
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.30740340774017644			
LEIN_NEURON_MARKERS	0.30725157608715353			
MIR6839_3P	0.3068497625276449			
MIR500A_3P	0.30650321136531034			
AHR_Q5	0.3061670035672777			
