	Score	0.95 MoE	P-Value	Q-Value
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.38388395425093447			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.37955385623645327			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.3795534236806802			
GO_ZONULA_ADHERENS	0.3771638052873994			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.37061095444396075			
GO_CADHERIN_BINDING	0.3694308614673811			
TOMIDA_METASTASIS_DN	0.3687092506636419			
GO_APICAL_JUNCTION_ASSEMBLY	0.3677978538479895			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3664151151716598			
GO_PLASMA_MEMBRANE_RAFT_ORGANIZATION	0.3645680487105372			
GO_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION	0.3642946882593514			
TAZ_TARGET_GENES	0.3642838524768532			
GO_APICAL_JUNCTION_COMPLEX	0.363496459724631			
KMT2D_TARGET_GENES	0.36201222352476464			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.36111376155751335			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.3600773170625337			
SESTO_RESPONSE_TO_UV_C2	0.3599059022133901			
ZNF579_TARGET_GENES	0.3598155135017891			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.3595156849339374			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.3593141878708917			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.35897542689810175			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.35808486195766365			
BORLAK_LIVER_CANCER_EGF_UP	0.3580072665284662			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.3576564970139252			
PID_ERBB_NETWORK_PATHWAY	0.3574066003554878			
KEGG_TIGHT_JUNCTION	0.35733661284585067			
GO_ERBB2_SIGNALING_PATHWAY	0.35692894800659875			
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3568635584322166			
SFMBT1_TARGET_GENES	0.35667481817484903			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.3563639543495476			
GO_CELL_CELL_JUNCTION	0.3563619775548024			
GO_CYTOKINETIC_PROCESS	0.3559928984344909			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3558246863258264			
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	0.3555150271567954			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	0.3554885721104634			
GREB1_TARGET_GENES	0.35525032531841705			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.3548487900163251			
GO_TIGHT_JUNCTION_ORGANIZATION	0.3544908090335098			
GO_TIGHT_JUNCTION	0.35384229106242066			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.35374897660452126			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	0.35372672756977575			
NUYTTEN_NIPP1_TARGETS_DN	0.35333873168041147			
ZBED4_TARGET_GENES	0.3532951061161253			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.35280747663417805			
GO_ADHERENS_JUNCTION	0.35244373497293197			
DELPUECH_FOXO3_TARGETS_UP	0.3524084899650511			
GO_ADHERENS_JUNCTION_MAINTENANCE	0.3522068212206326			
GO_CELL_CORTEX	0.35217313445915555			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.3520785761758347			
LHX2_TARGET_GENES	0.35203695606005536			
GO_BRUSH_BORDER	0.35192691602284715			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.35153470457582814			
CROMER_METASTASIS_DN	0.3514339356425672			
PID_EPHA2_FWD_PATHWAY	0.3513517138601716			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3510700403246193			
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.3509783231313611			
GO_STEREOCILIUM_BUNDLE	0.35093875969648025			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.3505800781086847			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.35053020710622007			
GU_PDEF_TARGETS_DN	0.3504439926176353			
GO_MIDBODY_ABSCISSION	0.350442790902486			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.35011457293472037			
IPA_SNAI2_DN	0.34980573140715565			
VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP	0.349707219103589			
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.34967278311983463			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.3496594834023081			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.349562442649827			
GO_ERBB_SIGNALING_PATHWAY	0.34950515663935494			
TOP2B_TARGET_GENES	0.34915396696718515			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.34898776979356105			
TEF1_Q6	0.34830137453587484			
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.34818649489787845			
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.3480084577052041			
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	0.3479613082259519			
ONDER_CDH1_TARGETS_2_DN	0.3479057998718264			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.34789300528218836			
KLF3_TARGET_GENES	0.3478889212418475			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.34784337644390745			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.34779453488881495			
AKT_UP_MTOR_DN.V1_UP	0.34776142254769127			
GO_LAMININ_COMPLEX	0.34752039585541034			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.3472086920431759			
GO_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING	0.3471379584770534			
GO_ALPHA_CATENIN_BINDING	0.34710833506059396			
MCCABE_HOXC6_TARGETS_CANCER_DN	0.34705343736269817			
GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3470498819332283			
SMID_BREAST_CANCER_NORMAL_LIKE_DN	0.3464483158860541			
GO_REGULATION_OF_WATER_LOSS_VIA_SKIN	0.3464137629931439			
BAE_BRCA1_TARGETS_UP	0.34636105434165476			
REACTOME_EGFR_DOWNREGULATION	0.3463580754516513			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.3463366432245623			
WGGAATGY_TEF1_Q6	0.34631289948222926			
RODRIGUES_NTN1_TARGETS_DN	0.3462723811779865			
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_BINDING	0.34612285013291194			
DNMT1_TARGET_GENES	0.3455570751664847			
REACTOME_CELL_CELL_COMMUNICATION	0.34542095837730535			
PID_NECTIN_PATHWAY	0.3453367477984016			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.3452709583019503			
VECCHI_GASTRIC_CANCER_EARLY_UP	0.3452090593804556			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.34510683858314917			
FOXD2_TARGET_GENES	0.34509303801670405			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.3448296752277255			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.34475253112335275			
CHYLA_CBFA2T3_TARGETS_DN	0.34437427493563594			
MEK_UP.V1_UP	0.34412650378018683			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.34396878853550267			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.3439113644865898			
AKT_UP.V1_UP	0.3438790608800537			
ENK_UV_RESPONSE_EPIDERMIS_UP	0.3436717295048087			
GO_MEMBRANE_RAFT_ASSEMBLY	0.3436097312865914			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3435137952173902			
GO_COSTAMERE	0.34349801606006636			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.34335145680102924			
GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	0.34321788222650507			
GO_WATER_HOMEOSTASIS	0.3431411049504903			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.3430295749277302			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.34295479123965356			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.3425689249346653			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.3424594022983787			
GO_HEMIDESMOSOME_ASSEMBLY	0.3424008607032649			
CSHL1_TARGET_GENES	0.3420868007421831			
FORTSCHEGGER_PHF8_TARGETS_DN	0.3419497647865713			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.34191930239962476			
HALLMARK_ANDROGEN_RESPONSE	0.34184797792208155			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.3417596460194142			
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.34162880368516746			
PROVENZANI_METASTASIS_DN	0.34162085628215244			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.34150425365716225			
YIH_RESPONSE_TO_ARSENITE_C4	0.3415037594477358			
GO_TISSUE_MIGRATION	0.34140899413943104			
P53_DN.V1_UP	0.34121969322099754			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.3411211483379052			
LIU_CMYB_TARGETS_UP	0.34110110966433066			
GO_KERATINOCYTE_DEVELOPMENT	0.3410578137797939			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3407900898815041			
TBK1.DF_DN	0.3407715695367912			
