	Score	0.95 MoE	P-Value	Q-Value
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.7096044300559398			
GOZGIT_ESR1_TARGETS_DN	0.7071664163062991			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.7064301201390892			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.7038043903429124			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.7031719161790674			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.7017798081150881			
ERBB2_UP.V1_UP	0.6993179353688839			
GO_ADHERENS_JUNCTION	0.6992852331023235			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.6989030928756517			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.6988433751905507			
GO_CADHERIN_BINDING	0.6982789180718999			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.6974624499474479			
ESC_J1_UP_LATE.V1_UP	0.6973584392074165			
MEK_UP.V1_UP	0.6960913621532328			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.6960189346678487			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.695075274683035			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.6948959194994723			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.6932412291718051			
PID_NECTIN_PATHWAY	0.6929556082780075			
GO_COSTAMERE	0.6917129411939908			
HALLMARK_PROTEIN_SECRETION	0.6913469307470639			
LHX9_TARGET_GENES	0.6893721029661157			
KOHOUTEK_CCNT1_TARGETS	0.6889815382136951			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.6888293254126938			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.6888292884992578			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.6884459808257121			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.6882912107993772			
GO_GOLGI_VESICLE_TRANSPORT	0.688110885156915			
GO_CELL_JUNCTION_ORGANIZATION	0.6880464193156424			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.6871520415174647			
GO_CELL_CELL_JUNCTION	0.6868547180158884			
GSE42021_TREG_VS_TCONV_PLN_DN	0.6866826116361271			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.686474499159659			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.6860684293496392			
DITTMER_PTHLH_TARGETS_UP	0.6853361048031441			
GO_CELL_JUNCTION_ASSEMBLY	0.685293281721638			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.6850129633127605			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.6843355216804562			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.6834055916660182			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.6828505898986305			
HALLMARK_GLYCOLYSIS	0.6828502548752238			
REACTOME_CELL_CELL_COMMUNICATION	0.6828433593836024			
JIANG_HYPOXIA_NORMAL	0.6815897473842348			
GO_LAMININ_COMPLEX	0.6803056845494878			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.6802342976847717			
