	Score	0.95 MoE	P-Value	Q-Value
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.6567324897010847			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.654829537339757			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.6455165342460406			
UDAYAKUMAR_MED1_TARGETS_DN	0.6429488733468467			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.6429326306333534			
LTE2_UP.V1_UP	0.6406481252845101			
ESC_J1_UP_LATE.V1_UP	0.6390264705075376			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.63901450583935			
GOZGIT_ESR1_TARGETS_DN	0.6378106760738147			
KIM_WT1_TARGETS_12HR_UP	0.6376231214708701			
GO_ADHERENS_JUNCTION	0.6369298475224423			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.6353856588794053			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.6352611266981923			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.6341496617471208			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.6336955373812477			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.6334656348771216			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.6333342588915756			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.6331453049608302			
GO_FOCAL_ADHESION_ASSEMBLY	0.6323720191707487			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.6312087211386757			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.6303630144103336			
FORTSCHEGGER_PHF8_TARGETS_DN	0.6292576610678654			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.6285712319665604			
GO_CELL_JUNCTION_ASSEMBLY	0.6285572478972076			
DELACROIX_RARG_BOUND_MEF	0.6283225437457433			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.6281353505832695			
GO_CELL_JUNCTION_ORGANIZATION	0.6279780006989285			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.6275275362861508			
GO_LAMININ_BINDING	0.6274520443352838			
ERBB2_UP.V1_UP	0.6271047017159663			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.6271027501186586			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.6270129898300494			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.6260869464394961			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.6254134441885093			
PID_FAK_PATHWAY	0.6250763106477074			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.62489012063895			
AMIT_SERUM_RESPONSE_240_MCF10A	0.6248533645513598			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.6238150213553342			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.6237686903756952			
WGGAATGY_TEF1_Q6	0.6235470022752635			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.6235086776621833			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.6233366896984937			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.6228837073794952			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.6224299033008752			
MEK_UP.V1_UP	0.6220069622544036			
GO_TISSUE_MIGRATION	0.6217645825647742			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.6214559451581192			
PASINI_SUZ12_TARGETS_DN	0.6211455125550922			
GO_EXTRACELLULAR_MATRIX_BINDING	0.6210981470872948			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.6209876620102548			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.6208548707955421			
GO_ANCHORING_JUNCTION	0.6207422505345662			
DITTMER_PTHLH_TARGETS_UP	0.6201519225950093			
GO_CELL_MATRIX_ADHESION	0.6200123226777633			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.6198870658012047			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.6198626447831208			
GO_LAMININ_COMPLEX	0.6196558964183077			
ISSAEVA_MLL2_TARGETS	0.6195217024111308			
GO_CELL_CELL_JUNCTION	0.6193032296192317			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.6189852871672713			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.6189197614856646			
GSE42021_TREG_VS_TCONV_PLN_DN	0.618915131637556			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.6188589173218234			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.6188466807877124			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.6188336588600933			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.6185704487298108			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.6183541720293694			
LIU_SOX4_TARGETS_UP	0.6180145922529849			
JOHNSTONE_PARVB_TARGETS_3_UP	0.6178939012597363			
JIANG_HYPOXIA_NORMAL	0.6175396139300696			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.6174675083201826			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.6173929540840944			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.6173578668688743			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.6172438159062132			
BACH1_01	0.6170485545946272			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.6166855330889497			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.616640259118784			
WONG_ADULT_TISSUE_STEM_MODULE	0.6162804179010898			
CERVERA_SDHB_TARGETS_1_UP	0.6162132791370987			
GO_COSTAMERE	0.6161258760490786			
ESC_V6.5_UP_EARLY.V1_DN	0.616124913406015			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.6160503317711079			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.6159185721486473			
HAN_SATB1_TARGETS_UP	0.615797636609072			
GSE3982_MAC_VS_BCELL_UP	0.615774179786888			
ELVIDGE_HYPOXIA_UP	0.6153665659593973			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.6148487155575058			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.6147991102451489			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.613890715121469			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	0.6137412447875066			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.6133290849970972			
AMIT_SERUM_RESPONSE_60_MCF10A	0.6128821892158949			
YAMAZAKI_TCEB3_TARGETS_UP	0.6125164147859392			
GSE3982_DC_VS_NKCELL_UP	0.6122757952124067			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.6122495897383997			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.6121569024499811			
PROVENZANI_METASTASIS_DN	0.6121130837250534			
GO_CELL_CORTEX	0.6120983114832903			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.611799606421662			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.6117066632327258			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.6115230647026855			
RAF_UP.V1_UP	0.6113008701687392			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.6112969574506112			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.610603425628199			
HOWLIN_CITED1_TARGETS_1_DN	0.6102030136370757			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.6100577321195788			
PID_AJDISS_2PATHWAY	0.61004067439208			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.6099944855163333			
GO_CELL_SUBSTRATE_ADHESION	0.609978403486988			
GO_ENDOTHELIAL_CELL_MIGRATION	0.6099559760441551			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.6097783169517742			
GO_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.609776568489163			
GO_CELL_JUNCTION	0.6094867062352081			
AMIT_EGF_RESPONSE_480_HELA	0.6092245528037477			
GO_EPITHELIAL_CELL_PROLIFERATION	0.6092142154086501			
LIU_CMYB_TARGETS_UP	0.6090441945288082			
AP1_Q4_01	0.6090365776972514			
ELVIDGE_HYPOXIA_BY_DMOG_UP	0.6085192419158276			
DELPUECH_FOXO3_TARGETS_UP	0.6084629075763737			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.6083503899993168			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.6083469116394999			
CERVERA_SDHB_TARGETS_2	0.6081851616596902			
TGANTCA_AP1_C	0.6080511393646842			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.6080237512193584			
TBK1.DF_UP	0.6077338859447919			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.6077192065988435			
LHX9_TARGET_GENES	0.6076069177388483			
LU_AGING_BRAIN_UP	0.6074801339757304			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.6074437362736361			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.6072757742972013			
GO_GOLGI_APPARATUS	0.6072258599190896			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.6071511354464525			
AMIT_EGF_RESPONSE_60_MCF10A	0.6070575987057032			
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.6070340654199989			
GO_INSULIN_LIKE_GROWTH_FACTOR_BINDING	0.6069727701806626			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.6068254343841225			
AP1_Q2_01	0.6067913699869508			
KOHOUTEK_CCNT1_TARGETS	0.6066083598226689			
REACTOME_LAMININ_INTERACTIONS	0.6064135902019148			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.6061494830036779			
GO_GOLGI_LUMEN	0.6057912295787542			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.6057592655396858			
GSE7852_LN_VS_FAT_TREG_DN	0.605753639255458			
GO_GOLGI_VESICLE_TRANSPORT	0.6057350297621185			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.6056072965505654			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.6054428257138399			
GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.605394467725725			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.6052777084686606			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.6051370563272241			
REACTOME_SIGNALING_BY_HIPPO	0.6050152099813763			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.6044061198511435			
PID_INTEGRIN4_PATHWAY	0.6043798725245925			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.6042272636141918			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.6040029470369473			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.6037169233197676			
