	Score	0.95 MoE	P-Value	Q-Value
MIR4715_5P	0.446126605365735			
MIR3138	0.44153766419698487			
MIR4680_5P	0.42461762631413325			
MIR532_3P	0.41841454098045466			
MIR500A_3P	0.41668358821071655			
MIR7108_5P	0.4148992835294247			
MIR483_3P	0.41266229213983163			
MIR4298	0.40490823469167087			
MIR6856_5P	0.40241825124983166			
GO_NEURONAL_SIGNAL_TRANSDUCTION	0.4022914255230921			
GO_SPINDLE_ORGANIZATION	0.4000483653060903			
MIR4299	0.3987466124198349			
GO_RETROGRADE_AXONAL_TRANSPORT	0.3960946047414543			
GO_AXON_CYTOPLASM	0.39602875072464433			
GO_MEIOTIC_SPINDLE_ORGANIZATION	0.39386616350272313			
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.3937385998084372			
CHANDRAN_METASTASIS_TOP50_UP	0.38846685439210055			
MIR4745_5P	0.38812000484309067			
REACTOME_CILIUM_ASSEMBLY	0.38691585797388384			
MIR1273H_3P	0.38421690843333867			
MIR550A_3_5P_MIR550A_5P	0.38379855380948974			
TERAMOTO_OPN_TARGETS_CLUSTER_3	0.3836714287214943			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.3832910118725828			
MIR6086	0.38328137017518543			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.3827897897970317			
VANTVEER_BREAST_CANCER_POOR_PROGNOSIS	0.38191152997246436			
MIR12122	0.38088840888981723			
VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP	0.3802459775154117			
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	0.3800302636859881			
MIR5004_5P	0.3790804602082933			
MIR1271_3P	0.37851272669047537			
MIR4536_3P	0.3767295916181785			
MIR6799_5P	0.37613500321431675			
MIR3158_5P	0.3759895365528248			
GO_CELL_TIP	0.37558495116436647			
IPA_NEUROG2_UP	0.3749427176951816			
MIR4673	0.37407358719147293			
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.3735012879513138			
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.3734876305360201			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.3732352495044022			
GO_ANTEROGRADE_DENDRITIC_TRANSPORT	0.3731859375752458			
GO_THORAX_AND_ANTERIOR_ABDOMEN_DETERMINATION	0.37307638868930276			
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.3728872144100461			
GO_MICROTUBULE_BASED_PROCESS	0.37266230067944905			
MIR1269A_MIR1269B	0.3722477632152434			
GO_REGULATION_OF_CILIUM_ASSEMBLY	0.3719435700037581			
MIR4527	0.3719307750768329			
MIR6506_5P	0.37181452371012963			
MIR6808_5P	0.37102759457797674			
MIR1278	0.3706176625393676			
MIR4670_3P	0.3706085691866844			
PRKDC_TARGET_GENES	0.3704677006619669			
MIR940	0.3704234066479061			
SHARMA_PILOCYTIC_ASTROCYTOMA_LOCATION_DN	0.3704052794845207			
MIR636	0.36896098381506426			
MIR6776_3P	0.36815821146856986			
MIR600	0.36551705477069546			
MIR520F_3P	0.3654560224392562			
GO_AXO_DENDRITIC_TRANSPORT	0.36530954951859035			
TET1_Splice_Variant_VP_DE456_TARGET_GENES	0.36519285775307475			
MIR3616_3P	0.3650763297693516			
GO_HARD_PALATE_DEVELOPMENT	0.36457790031975307			
MIR6835_3P	0.36450647338719416			
IPA_MYBL2_UP	0.36448102584227754			
MIR4306	0.3643968695749618			
MIR2392	0.36429232550635177			
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.3642034658429662			
MIR6893_5P	0.36419885333887636			
MEIS1AHOXA9_01	0.3624352060517628			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.361931893342276			
KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3	0.36115778044635294			
GO_AXONAL_TRANSPORT_OF_MITOCHONDRION	0.36086586765300316			
MIR1184	0.36034176856657507			
MIR6758_5P	0.35972723888849295			
MIR8071	0.3597078641737471			
MIR143_3P_MIR4770	0.3596317406843036			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	0.35923817713915007			
chr4p13	0.3591011655919868			
GO_REGULATION_OF_MRNA_3_END_PROCESSING	0.35894100303124926			
GO_AXO_DENDRITIC_PROTEIN_TRANSPORT	0.35881344255987635			
GO_DENSE_CORE_GRANULE_TRANSPORT	0.35879038032808597			
GO_DENDRITIC_TRANSPORT	0.35842082486517024			
MIR6782_3P	0.35753831454284357			
MIR185_5P	0.35686888032126773			
GO_CYTOPLASMIC_MICROTUBULE	0.35596092462609613			
MIR7843_3P	0.3559413318232962			
GO_NEUROFIBRILLARY_TANGLE	0.35589830719705523			
MIR3613_5P	0.3558535401840183			
GO_NEURON_PROJECTION_MEMBRANE	0.3556917371805656			
GO_REGULATION_OF_SPINDLE_ORGANIZATION	0.35528861786258686			
IPA_NEUROG3_UP	0.3552014082324797			
GO_MICROTUBULE_BASED_MOVEMENT	0.3550423452700338			
MIR6872_3P	0.354985886736211			
MIR154_3P	0.3549096557904696			
GO_PROTEIN_LOCALIZATION_TO_CILIARY_MEMBRANE	0.3548404183184883			
MIR377_5P	0.3539856726240629			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.35398040316171925			
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.35394610109594			
MIR6088	0.3538533020707203			
MIR514B_5P	0.35377155257542625			
AGGTGCA_MIR500	0.353642810624769			
GO_CYTOPLASMIC_REGION	0.35343774423175983			
MIR4713_5P	0.3533956185986809			
AP2_Q6	0.35299191689759657			
GO_MITOTIC_SPINDLE_MIDZONE	0.3528990408302148			
MIR519E_5P	0.35266504706981044			
MIR487A_3P	0.35252089931196046			
E2F3_UP.V1_UP	0.3524815099883514			
GO_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	0.3524776679006356			
GO_SECRETORY_GRANULE_LOCALIZATION	0.352307769508436			
ZNF331_TARGET_GENES	0.3522967534611277			
CCTGAGT_MIR510	0.35220275884567864			
GO_ANTEROGRADE_AXONAL_TRANSPORT	0.351750456931813			
MIR513C_5P	0.3517383607522512			
GO_POSITIVE_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	0.3513768005065011			
MIR4455	0.35116542602678763			
MIR1228_3P	0.35106927029346474			
TTGGAGA_MIR5155P_MIR519E	0.3509099861575478			
MIR3150A_3P	0.3505710169822566			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.3503342770665136			
GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.3503223884443205			
SIG_CD40PATHWAYMAP	0.3502224764735935			
MIR515_5P	0.3501779797181636			
SCHAEFFER_SOX9_TARGETS_IN_PROSTATE_DEVELOPMENT_DN	0.3494390783849007			
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	0.3493308826502755			
MIR3649	0.3489063503775452			
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.34791581035533353			
TGCGCANK_UNKNOWN	0.34781147786495104			
CHEN_HOXA5_TARGETS_6HR_DN	0.3473133376041807			
AP2_Q6_01	0.3471491964820403			
MIR4644	0.34713865381139586			
GO_KINESIN_COMPLEX	0.34667531421503367			
GO_REGULATION_OF_NEURON_PROJECTION_ARBORIZATION	0.34658889480553084			
GABRIELY_MIR21_TARGETS	0.3465720947216662			
MIR5008_3P	0.3464055522859048			
GO_MICROTUBULE_CYTOSKELETON	0.34638624751094615			
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.3458278433273989			
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE_RAFT	0.3458233180398788			
MIR455_3P	0.34578081397993327			
GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_ORGANIZATION	0.3457267391488827			
MIR372_5P	0.3455110560152761			
GO_MICROTUBULE	0.34545590070715076			
MIR216B_3P	0.345062151314979			
MIR4740_5P	0.34499149020449205			
GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP	0.34491780439800496			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.3449017396881871			
MIR323B_3P	0.3442698933288065			
GO_REGULATION_OF_GOLGI_ORGANIZATION	0.34412747633302115			
MIR7106_5P	0.34390718339832294			
TCCGTCC_MIR184	0.34387808929677716			
MIR3126_5P	0.34380972146572497			
MIR4690_3P	0.3433553583728689			
GO_NEURON_PROJECTION_CYTOPLASM	0.34330535321311295			
LIANG_SILENCED_BY_METHYLATION_DN	0.3431524164560693			
REACTOME_KINESINS	0.34309931986238545			
GO_REGULATION_OF_MRNA_POLYADENYLATION	0.3430060445906915			
MIR4641	0.3428878826704806			
PID_CDC42_REG_PATHWAY	0.342854253422858			
