	Score	0.95 MoE	P-Value	Q-Value
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5346684519784233			
GO_CELL_CELL_JUNCTION	0.5328751442813674			
PID_NECTIN_PATHWAY	0.5313703220134173			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5299407580808655			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5275118291605276			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5274917829361436			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5264487401419558			
GO_ADHERENS_JUNCTION	0.5240049767123677			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5238457184112915			
GO_CELL_JUNCTION_ORGANIZATION	0.522807638961546			
GO_CADHERIN_BINDING	0.522402707670508			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.522062849053815			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5215590408493751			
GO_CELL_JUNCTION_ASSEMBLY	0.521233923378543			
KOHOUTEK_CCNT1_TARGETS	0.5211514366123441			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5210617300810433			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5210594767324066			
DITTMER_PTHLH_TARGETS_UP	0.5209915719774169			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5207766004264212			
MEK_UP.V1_UP	0.5201280331812211			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5200513146492545			
PID_INTEGRIN4_PATHWAY	0.5196874752759347			
ESC_J1_UP_LATE.V1_UP	0.519451506501392			
GO_LAMININ_COMPLEX	0.5193476744426135			
REACTOME_CELL_CELL_COMMUNICATION	0.5189018534528801			
REACTOME_LAMININ_INTERACTIONS	0.5178540040858202			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.5173999457701002			
LHX9_TARGET_GENES	0.5172377599240734			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.516928437465134			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5154098616099794			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5153690065929719			
REACTOME_SIGNALING_BY_MET	0.5151830491302816			
BORLAK_LIVER_CANCER_EGF_UP	0.5150721125256978			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.514430066082961			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.514058431573813			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.5137825387330809			
GO_CELL_CORTEX	0.5136902780824327			
PROVENZANI_METASTASIS_DN	0.5131077727575728			
NUYTTEN_NIPP1_TARGETS_DN	0.51309385934483			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5127703761329954			
GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	0.5126017855724901			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.51257810004419			
ERBB2_UP.V1_UP	0.5124809622645123			
GO_ANCHORING_JUNCTION	0.512401658084066			
CHIBA_RESPONSE_TO_TSA_DN	0.5123110529656006			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.512238624460863			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.5122273332845046			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5121262548937225			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.5111979008378147			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5109390814620262			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5109319590659156			
HALLMARK_GLYCOLYSIS	0.5108931592874288			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5103868986679608			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.5103562289290241			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.5103201204398586			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5102695740395171			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5102603003639504			
DELPUECH_FOXO3_TARGETS_UP	0.5102359188599707			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.5101273299190364			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	0.5097236694872531			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5095704474738596			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5093505742155676			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5092890365842455			
AMIT_EGF_RESPONSE_480_HELA	0.5092861142748824			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5092735613391748			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.5091847663153066			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	0.5088889916727211			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.50884182088096			
GO_APICAL_JUNCTION_COMPLEX	0.5087405109725778			
GO_ACTIN_BASED_CELL_PROJECTION	0.5086680993691223			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5085404637546741			
GO_LAMININ_BINDING	0.5082685879380983			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5082134740548693			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5079670625751567			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.5078549390843984			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5075639043884006			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5073812368373174			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.5071808865686622			
GO_METANEPHRIC_EPITHELIUM_DEVELOPMENT	0.5066762350303937			
JIANG_HYPOXIA_NORMAL	0.5065421395933394			
RAF_UP.V1_UP	0.5064008646924396			
WGGAATGY_TEF1_Q6	0.5060793042003817			
LEE_LIVER_CANCER_ACOX1_UP	0.5060597270790389			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.5059580261609572			
LINSLEY_MIR16_TARGETS	0.5059511151850618			
GO_CELL_ADHESION_MOLECULE_BINDING	0.505874137339587			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5057063796853061			
GO_APICAL_PART_OF_CELL	0.5056223882944444			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5052406494011978			
DELACROIX_RARG_BOUND_MEF	0.5050596736827784			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5047432275445938			
GO_COSTAMERE	0.5047290898664386			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.504616228958078			
ESC_V6.5_UP_EARLY.V1_DN	0.5044807390308241			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.5043612687360819			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5042330699620677			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5041635540991994			
KOYAMA_SEMA3B_TARGETS_UP	0.5037653857754655			
GO_ERBB_SIGNALING_PATHWAY	0.5037277120971448			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5036221916106668			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.5033858319408232			
PID_FAK_PATHWAY	0.5032602610286686			
BACH1_01	0.5032222425236837			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.5028958779045378			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.5028314771586149			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.5027460471478954			
KEGG_TIGHT_JUNCTION	0.5027059888135159			
KOBAYASHI_EGFR_SIGNALING_6HR_DN	0.502667567417938			
SIMBULAN_UV_RESPONSE_IMMORTALIZED_DN	0.5023432926148949			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.5023349455878504			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.5021593254737592			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5020265497520494			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.5019079139693174			
AMIT_EGF_RESPONSE_240_HELA	0.5013598595043285			
GO_HEMIDESMOSOME_ASSEMBLY	0.5012329896595926			
GO_NEUREGULIN_BINDING	0.5010603861938916			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5009931756742997			
GO_TISSUE_MIGRATION	0.5005884407042263			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5004330316459593			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.5004110211763423			
REACTOME_MEMBRANE_TRAFFICKING	0.500363191310509			
AMIT_EGF_RESPONSE_120_HELA	0.5002251934547096			
GO_EPITHELIUM_DEVELOPMENT	0.5000590321258269			
WU_CELL_MIGRATION	0.5000213361435656			
GO_SARCOMERE_ORGANIZATION	0.4999880734240274			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4997002964474141			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.4994258856600878			
GO_REGULATION_OF_RESPONSE_TO_WOUNDING	0.49900569904988007			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.49840878280463374			
AP1_Q2_01	0.4983275602032731			
SESTO_RESPONSE_TO_UV_C2	0.4982479372106663			
REACTOME_SIGNALING_BY_EGFR	0.49798642611838234			
KRIEG_HYPOXIA_VIA_KDM3A	0.49794326004114586			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.497741065824124			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.4976761188744885			
LEI_MYB_TARGETS	0.497328509011896			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.4972551655331359			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.497247571701741			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.4970111157989238			
GO_EXTRACELLULAR_MATRIX_BINDING	0.4967227909016333			
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.4966387057703003			
HAN_SATB1_TARGETS_DN	0.4964834146719435			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.496394347465207			
GO_MEMBRANE_RAFT_ASSEMBLY	0.4963138805574274			
GO_BASAL_PART_OF_CELL	0.4963115350410119			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.4963097787900944			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	0.4962863190533248			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.49566066855678675			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.4955968946673671			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.4955696589626284			
AMIT_EGF_RESPONSE_120_MCF10A	0.4955629516106321			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.4953745849322326			
YAMAZAKI_TCEB3_TARGETS_UP	0.4953139355498751			
GO_BRUSH_BORDER	0.4951410127799406			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.49504304774068886			
NAGASHIMA_NRG1_SIGNALING_UP	0.4949608803112531			
TGANTCA_AP1_C	0.4949314142832366			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	0.4949187200728318			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.49485643914811855			
GO_RECEPTOR_CATABOLIC_PROCESS	0.4948550182760416			
GO_ACTIN_FILAMENT_BUNDLE	0.49483032713090547			
IPA_SNAI2_DN	0.4946702622429561			
KMT2D_TARGET_GENES	0.4946644279882628			
SESTO_RESPONSE_TO_UV_C8	0.4943707135348505			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.4942274839879959			
BILD_HRAS_ONCOGENIC_SIGNATURE	0.4941532401106472			
GO_INTERCALATED_DISC	0.49408578381569584			
GO_PLASMA_MEMBRANE_RAFT_ORGANIZATION	0.49407762588438686			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.49405251364765307			
GO_APICAL_JUNCTION_ASSEMBLY	0.49402207335942927			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.4938194195709682			
GO_LATERAL_PLASMA_MEMBRANE	0.49375644438411903			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.4937032414220669			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.4935369021128516			
WANG_METHYLATED_IN_BREAST_CANCER	0.49341257785838655			
NKX2_3_TARGET_GENES	0.4933189642128402			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.49309449192728866			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4930887989943203			
EGFR_UP.V1_UP	0.4930663228061097			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.493062157444435			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.492878641387322			
GHO_ATF5_TARGETS_DN	0.4928753542776124			
GO_FOCAL_ADHESION_ASSEMBLY	0.49255556612100504			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.4925448847022806			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.49252434214434676			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.4924091989078308			
PID_ERBB_NETWORK_PATHWAY	0.49233166458567745			
SESTO_RESPONSE_TO_UV_C5	0.49190941353371753			
GO_PLASMA_MEMBRANE_REGION	0.49172547345938095			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.4916469869017066			
GO_CELL_CELL_CONTACT_ZONE	0.4914788716491957			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.4913748562139813			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4913652047573961			
GO_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	0.4912527570981993			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.49119779148794335			
AP1_01	0.4911634899107564			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.49113681529158215			
GO_ERBB2_SIGNALING_PATHWAY	0.4911000282795578			
NR0B1_TARGET_GENES	0.4909195913282421			
GO_RUFFLE	0.4907443672421799			
AP1_Q4_01	0.4906832277359025			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.4904817322748975			
GO_TIGHT_JUNCTION	0.49030607503348733			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.490275455718892			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.49022362669152536			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.4901798974756229			
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	0.4899769653624465			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.48988089279909985			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.48971589463064086			
HES2_TARGET_GENES	0.48971271974415453			
PASINI_SUZ12_TARGETS_DN	0.489691253510357			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.489492822288063			
GO_PHOSPHOLIPASE_A2_INHIBITOR_ACTIVITY	0.48930520956225204			
