	Score	0.95 MoE	P-Value	Q-Value
GO_FOCAL_ADHESION_ASSEMBLY	0.4669477133368243			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.4660984632829152			
KIM_WT1_TARGETS_12HR_UP	0.4659866172407856			
GO_SMOOTH_MUSCLE_CELL_MIGRATION	0.4627349450025332			
WONG_ADULT_TISSUE_STEM_MODULE	0.46258635126701364			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.4618557880106296			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.46100801604899205			
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.45860928022208897			
GSE3982_DC_VS_NKCELL_UP	0.4577234304812395			
GO_CELL_MATRIX_ADHESION	0.45688955534923625			
AP1_01	0.45661693964464856			
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	0.45657894650868797			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.45641711866344614			
GO_MUSCLE_CELL_MIGRATION	0.4558854542673215			
SUNG_METASTASIS_STROMA_UP	0.4558612825164591			
SIMBULAN_PARP1_TARGETS_UP	0.4557801522465079			
BROWNE_HCMV_INFECTION_24HR_DN	0.45572044145011464			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.4554366065974956			
GSE3982_MAST_CELL_VS_TH2_UP	0.4551741384592287			
GO_CELL_JUNCTION	0.45513417313900945			
GO_TISSUE_MIGRATION	0.4548312887895226			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.45478483992319935			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.45477540525911714			
CHANDRAN_METASTASIS_DN	0.4547585258589825			
AP1_Q4_01	0.4547515840546262			
GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP	0.4542441429322865			
GO_EPITHELIAL_CELL_PROLIFERATION	0.4537766523470062			
GO_LOCOMOTION	0.45366888667780375			
GO_CELL_LEADING_EDGE	0.45334149694785103			
BACH1_01	0.4532581824814743			
UDAYAKUMAR_MED1_TARGETS_DN	0.45314326777469427			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.4530695208947985			
GO_CELL_SUBSTRATE_ADHESION	0.4526165389881021			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4525921748841234			
GO_ANCHORING_JUNCTION	0.45213361904628246			
AP1_Q6	0.4520258410758802			
GO_CELL_MOTILITY	0.4518634640502215			
TGANTCA_AP1_C	0.45170863844348264			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.45139208465091374			
GO_CELL_SUBSTRATE_JUNCTION	0.4513647824194829			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.4508917073253099			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.4504820625779305			
GO_ENDOTHELIAL_CELL_MIGRATION	0.450402418564077			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.45032419238772126			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.4501856851439826			
GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.45001039359727874			
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.44986151801683183			
DELACROIX_RARG_BOUND_MEF	0.44968314226056155			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.4494743773140562			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.4494646146442078			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.44939283130621105			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.44817858795766824			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.4481229642089906			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.4480994378679509			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.4480400280280092			
GSE43955_1H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.4478666856646549			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.447794219622376			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.44745827544296607			
