	Score	0.95 MoE	P-Value	Q-Value
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.41175750473549205			
GOZGIT_ESR1_TARGETS_DN	0.40102196055231815			
HELLER_HDAC_TARGETS_UP	0.4000610381238514			
SENESE_HDAC1_TARGETS_DN	0.39920536337878126			
XU_GH1_AUTOCRINE_TARGETS_DN	0.39906558252404517			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.3978548372119994			
REACTOME_SIGNALING_BY_MET	0.39697464885682704			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.39536818337991847			
PID_NCADHERIN_PATHWAY	0.3946117532225646			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.39455660455462094			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.3935129186027779			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.393459751328454			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.39290961947706377			
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.3925023789101168			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.39222844602192614			
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	0.391708658254699			
RAF_UP.V1_DN	0.390992808256281			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.39058173482347175			
POOLA_INVASIVE_BREAST_CANCER_DN	0.3905769229562445			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.39038240307205546			
GSE42021_TREG_VS_TCONV_PLN_DN	0.39018271810897703			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.38970529108321494			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.38878274392697326			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3885456907112489			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.38848378543415324			
CHANDRAN_METASTASIS_DN	0.3884334994489			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.3883047995355137			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.38789544653893776			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.38771477594220977			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.38758381452684365			
DOANE_RESPONSE_TO_ANDROGEN_DN	0.3874863701213855			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.3874100553930695			
MASSARWEH_TAMOXIFEN_RESISTANCE_DN	0.38736595969826715			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.38734613626210646			
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.38732553401410125			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.3870228376364799			
YAMAZAKI_TCEB3_TARGETS_UP	0.3867610761126555			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.386324895938737			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.38596278880485985			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.3858829646669385			
GO_CELL_JUNCTION_ASSEMBLY	0.3857337215154409			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.38523267233444236			
KIM_WT1_TARGETS_12HR_UP	0.3851708764406535			
DACOSTA_ERCC3_ALLELE_XPCS_VS_TTD_UP	0.3848801045806125			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.3848007606464146			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.38471322210366565			
SIMBULAN_PARP1_TARGETS_UP	0.3842501882619556			
PID_P75_NTR_PATHWAY	0.3839480130277351			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.3838928871916179			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.38383187174635647			
CERVERA_SDHB_TARGETS_1_UP	0.3836131185668683			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.38358673946262517			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.3835826773091047			
PID_EPHB_FWD_PATHWAY	0.3834420679512045			
GO_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.38343208371789655			
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	0.3832198929951604			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.3831959429645775			
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.38313494996567626			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3830240410241065			
KYNG_DNA_DAMAGE_DN	0.38294687688390794			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.3828320513807785			
CHIBA_RESPONSE_TO_TSA_UP	0.3827450931213828			
REACTOME_SYNDECAN_INTERACTIONS	0.3827232739071111			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.3825023287671694			
SCHRAETS_MLL_TARGETS_UP	0.3822933338356832			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.3818798263162202			
GO_ACTIN_FILAMENT_BUNDLE	0.3817298892959036			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.381695992239646			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.3816341819291353			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3816300134685818			
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	0.3815160182441089			
GO_CELL_JUNCTION_ORGANIZATION	0.3814283514465433			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.3812889149774658			
GO_CELL_DIVISION_SITE	0.3812567075732031			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.38107326108378864			
SENESE_HDAC2_TARGETS_DN	0.38106272950881953			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.38098997963675885			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.38079915094390376			
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN	0.3806672123046176			
GO_CELL_MATRIX_ADHESION	0.3804062341142631			
GO_CLATHRIN_COATED_PIT	0.3803742976654289			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.3803638505940537			
GO_ENDOSOMAL_TRANSPORT	0.38026455615156385			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.3802600906606315			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.37995710658377235			
GO_FOCAL_ADHESION_ASSEMBLY	0.37987460862154465			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.37967429369436323			
