	Score	0.95 MoE	P-Value	Q-Value
GO_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.3007274153672884			
GO_GLUTAMATE_RECEPTOR_BINDING	0.29973102890116043			
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.29703841877480935			
BIOCARTA_AGPCR_PATHWAY	0.2957854140689037			
BIOCARTA_SRCRPTP_PATHWAY	0.2954020171543774			
REACTOME_DNA_METHYLATION	0.28584990435527374			
GO_REGULATION_OF_SYNAPTIC_VESICLE_PRIMING	0.28422950316907164			
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.2830973978847159			
GO_CHROMATIN_ORGANIZATION	0.2827832651939185			
GO_CELLULAR_RESPONSE_TO_MORPHINE	0.28243369550117975			
MIR371A_3P	0.2819383425772912			
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.28102798668757706			
MULLIGHAN_MLL_SIGNATURE_1_UP	0.2807304767659104			
GO_SOMATODENDRITIC_COMPARTMENT	0.28045447383774075			
GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.2804520894052981			
GTGACGY_E4F1_Q6	0.280244633233528			
GO_COVALENT_CHROMATIN_MODIFICATION	0.2798285283661			
GO_DENDRITIC_TREE	0.2798241634263583			
GSE2706_UNSTIM_VS_2H_R848_DC_UP	0.2796114895818943			
IPA_BACH1_DN	0.27951052231562024			
MIR6887_3P	0.27888867899658293			
chr7p11	0.2787689058479362			
GO_PROTOPORPHYRINOGEN_IX_BIOSYNTHETIC_PROCESS	0.278286012649094			
ZBTB10_TARGET_GENES	0.2780982542494149			
ATF1_Q6	0.27789101331828153			
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING	0.27761048363885743			
SMITH_LIVER_CANCER	0.2775321545446514			
PID_WNT_NONCANONICAL_PATHWAY	0.2772323180187505			
GO_NEURON_PROJECTION	0.2766442889326729			
GO_B_CELL_LINEAGE_COMMITMENT	0.276643732268931			
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN	0.27619881858482065			
LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES	0.27602581916622104			
GO_PEPTIDYL_LYSINE_MODIFICATION	0.2757738384012702			
GO_POSITIVE_REGULATION_OF_MUSCLE_ADAPTATION	0.2757563094224919			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_24H_MBOVIS_BCG_STIM_UP	0.2754998167973553			
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	0.2754223091533167			
MAZR_01	0.2751332550254255			
GO_REGULATION_OF_HISTONE_H3_K9_METHYLATION	0.274580874467814			
MIR3175	0.2744479586533391			
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT	0.2740538584722416			
MAINA_VHL_TARGETS_DN	0.27398651728684253			
MENSE_HYPOXIA_UP	0.273935169837362			
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	0.27375747726541594			
EGR_Q6	0.27361934103871144			
ZWANG_EGF_PERSISTENTLY_UP	0.27342422183017195			
REACTOME_PARASITE_INFECTION	0.2729848572023525			
MCCLUNG_DELTA_FOSB_TARGETS_8WK	0.2729690713855381			
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	0.2726178601736707			
GSE7852_LN_VS_FAT_TCONV_UP	0.2725364788991426			
ARID5B_TARGET_GENES	0.27241012854569824			
GO_SITE_OF_POLARIZED_GROWTH	0.27240813753751236			
GO_DEVELOPMENTAL_INDUCTION	0.2723401860818772			
GO_FOREBRAIN_NEURON_DEVELOPMENT	0.27176701665422237			
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	0.2713737459249188			
REACTOME_SIGNALING_BY_NOTCH4	0.27109715996389194			
ATF_01	0.2710466143968926			
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES	0.2709801560365165			
GGCNNMSMYNTTG_UNKNOWN	0.27093540851684855			
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_UP	0.2704084772541945			
GO_GDP_BINDING	0.270267669502387			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.2701812407795229			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.2699952998427856			
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.2699825120441591			
YY1_Q6	0.2698447603755695			
GO_MAINTENANCE_OF_DNA_METHYLATION	0.26972672559072924			
MULLIGHAN_MLL_SIGNATURE_2_UP	0.2697240397234259			
GO_AXON	0.2697082461660219			
WIKMAN_ASBESTOS_LUNG_CANCER_DN	0.2694883032632586			
GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.26948316450745413			
GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.26933643245683375			
LIU_VMYB_TARGETS_UP	0.2693148227654454			
E4F1_Q6	0.269273364583796			
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	0.2691756230430647			
GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	0.2691421195753427			
GO_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.2691321811712727			
GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_DN	0.2687851996905274			
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	0.26871774381373326			
GO_REGULATION_OF_HISTONE_METHYLATION	0.2686739136237153			
GO_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	0.26862389821762706			
AHRARNT_01	0.2685509309210183			
JIANG_AGING_CEREBRAL_CORTEX_DN	0.2684768211391814			
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_DN	0.2682677196197534			
BIOCARTA_PAR1_PATHWAY	0.2682445288934107			
GTTGNYNNRGNAAC_UNKNOWN	0.26803746160800823			
REACTOME_LGI_ADAM_INTERACTIONS	0.26793778880085517			
ZFP91_TARGET_GENES	0.2676432276052006			
GO_NETRIN_ACTIVATED_SIGNALING_PATHWAY	0.2675824653528339			
ALONSO_METASTASIS_NEURAL_UP	0.26757120237806925			
GO_REGULATION_OF_TRANSLATIONAL_INITIATION_BY_EIF2_ALPHA_PHOSPHORYLATION	0.26750921372801223			
HOEBEKE_LYMPHOID_STEM_CELL_UP	0.26748994859036995			
PID_SYNDECAN_3_PATHWAY	0.2672136894156151			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.26716759733782824			
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	0.26694498824829277			
GO_DEVELOPMENTAL_MATURATION	0.26683861590060215			
GO_NUCLEAR_SPECK	0.2668081278783731			
GO_NEURON_DEVELOPMENT	0.2666354416688858			
REACTOME_EPH_EPHRIN_SIGNALING	0.26656496280655656			
PID_NETRIN_PATHWAY	0.2665563211674263			
GO_DIACYLGLYCEROL_BINDING	0.2663246340769809			
GO_PROTOPORPHYRINOGEN_IX_METABOLIC_PROCESS	0.2663211222296164			
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	0.2663096086457932			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.2662650491601995			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.2662023023732739			
MIR4492	0.2661453329817604			
GSE40655_FOXO1_KO_VS_WT_NTREG_UP	0.26606826369445263			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.2660535508079692			
LAMB3_TARGET_GENES	0.26594599096308735			
KIM_ALL_DISORDERS_CALB1_CORR_UP	0.26588028276018266			
