	Score	0.95 MoE	P-Value	Q-Value
LMNB2_TARGET_GENES	0.3953923566723405			
GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.3869260998071603			
GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_DN	0.38661963309344355			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.3864991452963699			
PID_ERBB1_INTERNALIZATION_PATHWAY	0.3852551725796552			
CHEN_HOXA5_TARGETS_9HR_DN	0.38501944546186384			
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	0.38067413099904424			
ZNF563_TARGET_GENES	0.37892352372116106			
GO_TUBE_CLOSURE	0.37380725891011557			
MIR6857_5P	0.3724088698454307			
GO_ANOIKIS	0.37210306600312315			
WANG_LMO4_TARGETS_UP	0.37123931073067434			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.37100812051840176			
SIX4_TARGET_GENES	0.3706784281943327			
MOHANKUMAR_HOXA1_TARGETS_UP	0.36978984477083626			
GSE42021_TREG_VS_TCONV_PLN_DN	0.36957705196972246			
GO_PLASMA_MEMBRANE_TO_ENDOSOME_TRANSPORT	0.36947982311719774			
GO_NEURAL_TUBE_FORMATION	0.36840894895828485			
PID_AJDISS_2PATHWAY	0.3675555472788422			
GO_CARDIAC_VENTRICLE_MORPHOGENESIS	0.3673419054948472			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.36655758312465114			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.3651131892288838			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.36401419507633126			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	0.36395190342156314			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3622087457169706			
HNF4_01_B	0.36193517467316266			
IPA_HNF4A_DN	0.3616145851553408			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.36116035583676454			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.36107386377775536			
PRAMOONJAGO_SOX4_TARGETS_DN	0.360276725552195			
DELACROIX_RAR_TARGETS_DN	0.3602712852187226			
ERR1_Q2	0.3597557459062909			
