	Score	0.95 MoE	P-Value	Q-Value
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5677988438794404			
LTE2_UP.V1_UP	0.5667482299272651			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5662714448003605			
ERBB2_UP.V1_UP	0.5636633389632152			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5621010898605407			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5583338746843124			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5570416051665091			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5566626605076667			
KOHOUTEK_CCNT1_TARGETS	0.5565588494781983			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.5564324716794874			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.5555158186704289			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.5532974076035762			
GOZGIT_ESR1_TARGETS_DN	0.5529645080137622			
ESC_J1_UP_LATE.V1_UP	0.5526838179219571			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5525456567423971			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5524485821737937			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5523033812250181			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5506894887887374			
DELPUECH_FOXO3_TARGETS_UP	0.5497784789979887			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5495956822189086			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5489374108508217			
DAZARD_UV_RESPONSE_CLUSTER_G24	0.5481778238307106			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.548153133174799			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.5455229446123466			
GO_GOLGI_VESICLE_TRANSPORT	0.5455014576567497			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5454488030069574			
MEK_UP.V1_UP	0.5454169856535853			
GO_APICAL_PART_OF_CELL	0.5445729910012733			
REACTOME_SPHINGOLIPID_METABOLISM	0.5435155865817948			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5428850818175938			
GO_COSTAMERE	0.5406675192641949			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5406436500305066			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5404141140635017			
PID_NECTIN_PATHWAY	0.539978188653825			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.5392566835184764			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5391367027806021			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5387847833613855			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.5387109858356367			
FEVR_CTNNB1_TARGETS_UP	0.5373702965464725			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5370468394838321			
GO_ADHERENS_JUNCTION	0.53671684194377			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.536562141849888			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.5358603208142018			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5354077749498696			
GO_CADHERIN_BINDING	0.5352475071332794			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.5350537275568268			
GO_COPII_COATED_VESICLE_BUDDING	0.5344220348036872			
GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	0.5342574955477059			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5336783219717007			
REACTOME_CELL_CELL_COMMUNICATION	0.5336335660111795			
GO_LAMININ_BINDING	0.5336123043794211			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.5334644749606557			
GO_CELL_CELL_JUNCTION	0.5334491272414121			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5330083432239454			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5327847906389728			
LEI_MYB_TARGETS	0.5326572131047166			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.5325566846619557			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.5324702616424287			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.5311368991016305			
GO_CELL_CORTEX	0.5308561500831978			
WU_CELL_MIGRATION	0.5304923278081037			
DELACROIX_RAR_TARGETS_UP	0.5304107476923238			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5302899529671689			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.529958404027168			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.5298030835360859			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5296980658947514			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5294927285672316			
DURAND_STROMA_NS_UP	0.5293443571211128			
GO_APICAL_PLASMA_MEMBRANE	0.5292582783463742			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.5291872686820881			
LHX9_TARGET_GENES	0.5291525513989145			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.5288534480044239			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.5288514899031247			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.5286971786476807			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5284650539929265			
GO_CELL_JUNCTION_ORGANIZATION	0.5284328793693347			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5282750251841317			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.5282277592030892			
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.5282204676960962			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.5281068473875801			
GO_BASAL_PART_OF_CELL	0.5279048650905676			
GO_GOLGI_VESICLE_BUDDING	0.5275920972561012			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5274225731179439			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5272297265574818			
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.5271999469866964			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.5271684736692065			
BORLAK_LIVER_CANCER_EGF_UP	0.5268910924202616			
CERVERA_SDHB_TARGETS_2	0.5268634379919753			
FARMER_BREAST_CANCER_CLUSTER_3	0.5266839151446218			
DELACROIX_RARG_BOUND_MEF	0.5260394061521925			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.5260272740659617			
JIANG_HYPOXIA_NORMAL	0.52601714964879			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.5259331079704427			
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	0.5258482663653384			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.5257371372237377			
RAF_UP.V1_UP	0.5257241804103471			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.525595421919948			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.5255210972635479			
GO_VESICLE_TARGETING	0.5251965574289063			
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	0.5249271988407248			
GO_CELL_JUNCTION_ASSEMBLY	0.5248460880909821			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.5245007366754072			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5243224769518379			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.5237295212731102			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.5236917015265009			
NAGASHIMA_NRG1_SIGNALING_UP	0.52354508743753			
NUYTTEN_NIPP1_TARGETS_DN	0.5232733064456803			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.5230998334656914			
GO_VESICLE_BUDDING_FROM_MEMBRANE	0.5228647991957031			
CHYLA_CBFA2T3_TARGETS_DN	0.5228637630356064			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5224379548467465			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5222261480838066			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.5219325535563053			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5218952131691729			
EGFR_UP.V1_UP	0.5209017253700812			
PID_ERBB_NETWORK_PATHWAY	0.5208902192809091			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.5207915599667169			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.520690333785035			
IPA_SNAI2_DN	0.5204601686224474			
WANG_LMO4_TARGETS_DN	0.5204027023346492			
REACTOME_SIGNALING_BY_PTK6	0.520356473512614			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.520332845699182			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.5201141275760255			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.5197129779239387			
HAN_SATB1_TARGETS_DN	0.5195411782867163			
AMIT_EGF_RESPONSE_60_MCF10A	0.5194965279183709			
GO_ERBB_SIGNALING_PATHWAY	0.5194867283103032			
BAE_BRCA1_TARGETS_UP	0.5193417181080305			
HALMOS_CEBPA_TARGETS_DN	0.5192256322003872			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.5191667635300989			
LEE_LIVER_CANCER_ACOX1_UP	0.5189416690617411			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.5189347517458432			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	0.5185896951690231			
MIR3943	0.5179832773884491			
AMIT_EGF_RESPONSE_480_HELA	0.5179430399518816			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	0.517690971076567			
GO_CELL_ADHESION_MOLECULE_BINDING	0.5173496169097829			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5173381478317394			
GO_APICAL_JUNCTION_COMPLEX	0.5171163348941429			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.5171024994774372			
TGANTCA_AP1_C	0.5169507394632825			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.5164510949768809			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5163911112956134			
TOMIDA_METASTASIS_DN	0.5160011216266839			
GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	0.5155755878750431			
REACTOME_FIBRONECTIN_MATRIX_FORMATION	0.5153299735380958			
HALLMARK_XENOBIOTIC_METABOLISM	0.5152433113022893			
GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP	0.5151561535021058			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.5150484798455508			
REACTOME_SIGNALING_BY_MET	0.5148663223445833			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	0.514848030923975			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.5148348943947142			
CROMER_METASTASIS_DN	0.5148136760525517			
REACTOME_MEMBRANE_TRAFFICKING	0.5146245634418811			
GO_ERBB2_SIGNALING_PATHWAY	0.5144516907662509			
KOBAYASHI_EGFR_SIGNALING_6HR_DN	0.5143364363440794			
HALLMARK_PROTEIN_SECRETION	0.5142830582337706			
GO_REGULATION_OF_PLASMINOGEN_ACTIVATION	0.5142605606857007			
SESTO_RESPONSE_TO_UV_C2	0.5141860449915063			
DELYS_THYROID_CANCER_UP	0.5141192097911825			
GO_ANCHORING_JUNCTION	0.5138656666643718			
AP1_Q4_01	0.513856364678291			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5137939179740372			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.5137300381746934			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5135615628726867			
MISSIAGLIA_REGULATED_BY_METHYLATION_UP	0.5134842941016785			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5133348461104174			
GO_EXTRACELLULAR_MATRIX_BINDING	0.5133143734996348			
PROVENZANI_METASTASIS_DN	0.5131951667974145			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5129356343746676			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.5128247096817838			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.5128189778399808			
CHIBA_RESPONSE_TO_TSA_DN	0.5125668534090425			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.5125372736305128			
LEE_BMP2_TARGETS_UP	0.5124968101487566			
HU_ANGIOGENESIS_UP	0.5124803613515551			
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5124312290896509			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.5121451971170089			
CRX_DN.V1_DN	0.5119819261993612			
KMT2D_TARGET_GENES	0.5118743341044902			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.5117567696781826			
LEE_LIVER_CANCER_E2F1_UP	0.5116575718773955			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.5112911101999572			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.5108978162800283			
UDAYAKUMAR_MED1_TARGETS_DN	0.5107959202024791			
WANG_CLIM2_TARGETS_DN	0.510668355241886			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.5106445099569192			
SESTO_RESPONSE_TO_UV_C1	0.5105711673674745			
HES2_TARGET_GENES	0.5101597065981655			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5100906697616612			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5100073595178533			
NAGASHIMA_EGF_SIGNALING_UP	0.5099954625907215			
JI_METASTASIS_REPRESSED_BY_STK11	0.5097514803919028			
GO_MEMBRANE_RAFT_ASSEMBLY	0.5097401660023803			
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	0.5096666584923867			
GO_LAMININ_COMPLEX	0.5094813527942748			
YANG_BREAST_CANCER_ESR1_UP	0.5094737133467923			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5094199563778423			
AKT_UP_MTOR_DN.V1_UP	0.5093438878259242			
GO_STRUCTURAL_CONSTITUENT_OF_MUSCLE	0.5093434700986259			
GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5093196969717751			
HALLMARK_ANDROGEN_RESPONSE	0.5091733049219594			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.5086817455428277			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.5082843378915294			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.5082580064220427			
AMIT_SERUM_RESPONSE_60_MCF10A	0.5082394844863739			
SESTO_RESPONSE_TO_UV_C0	0.5079553688943448			
GREB1_TARGET_GENES	0.5078921022744037			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.507697792397286			
GO_INVADOPODIUM_MEMBRANE	0.5076948479651465			
GU_PDEF_TARGETS_DN	0.507614936733868			
GO_BRUSH_BORDER	0.5076147028825713			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5075729326239597			
UEDA_PERIFERAL_CLOCK	0.507444785382419			
GO_NEUREGULIN_BINDING	0.5074042911705491			
POOLA_INVASIVE_BREAST_CANCER_DN	0.5073493788760999			
AKT_UP.V1_UP	0.5072663806232014			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.5072171792529581			
DITTMER_PTHLH_TARGETS_UP	0.5071343467223669			
GO_HEMIDESMOSOME_ASSEMBLY	0.5068048250440165			
AMIT_EGF_RESPONSE_240_HELA	0.5065300578558146			
DORN_ADENOVIRUS_INFECTION_12HR_UP	0.5064331622119984			
GSE7852_LN_VS_FAT_TREG_DN	0.506385713396549			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.5063396228431172			
GO_LUNG_MORPHOGENESIS	0.5063076914110902			
ENGELMANN_CANCER_PROGENITORS_DN	0.5063075717052995			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5062911897696746			
