	Score	0.95 MoE	P-Value	Q-Value
GO_ATG1_ULK1_KINASE_COMPLEX	0.3059921274152278			
GO_MITOCHONDRIAL_GENOME_MAINTENANCE	0.3055331688940377			
GO_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	0.2933015572807234			
GO_SINGLE_STRAND_BREAK_REPAIR	0.286682505274885			
GO_CATECHOLAMINE_SECRETION	0.2860464943750805			
GO_NEGATIVE_REGULATION_OF_MITOPHAGY	0.2844208956106376			
MIR1263	0.28220318650958237			
IPA_SKP2_DN	0.2795250695350192			
GO_TRANSLATION_REPRESSOR_ACTIVITY	0.27855929949764663			
MIR1296_3P	0.2775042237122135			
IPA_PITX2_DN	0.2761172721515442			
GO_MONOAMINE_TRANSPORT	0.2754627537857201			
GO_TUBULIN_DEACETYLATION	0.2753099571071057			
GO_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS	0.27497619587570366			
IPA_LMO2_UP	0.27495986113641724			
IPA_SATB2_UP	0.2749560309286067			
MIR6865_3P	0.2748471314546788			
PID_TCR_JNK_PATHWAY	0.2737558778650951			
GO_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	0.2727919464337584			
MIR4522	0.27225222555019346			
MIR6778_3P	0.27173400822965216			
GSE13493_DP_VS_CD8POS_THYMOCYTE_UP	0.2710553814063482			
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.27068794795325946			
GO_MANCHETTE	0.2706753387372091			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.27056569541976927			
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	0.27011198281612414			
SRC_UP.V1_UP	0.2693913060625582			
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.26882036737530834			
MIR4800_5P	0.26849185790994273			
GO_PEPTIDYL_LYSINE_DEACETYLATION	0.2674367830307834			
GO_THIAMINE_PYROPHOSPHATE_BINDING	0.2673933377501325			
MIR7153_5P	0.2671431331381846			
GO_NEGATIVE_REGULATION_OF_COFACTOR_METABOLIC_PROCESS	0.2658946850927632			
MIR146B_5P	0.2656816300899819			
GO_DIPHOSPHOTRANSFERASE_ACTIVITY	0.2653693968824058			
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.26534071742997645			
GO_THIAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.26494173265777554			
GO_REGULATION_OF_PEPTIDYL_SERINE_DEPHOSPHORYLATION	0.26479195370710373			
MIR6717_5P	0.2647536503587505			
REACTOME_SYNTHESIS_OF_PG	0.2647381220837259			
GO_METANEPHRIC_DISTAL_TUBULE_DEVELOPMENT	0.2646033790848684			
IPA_USF2_UP	0.2645647717332368			
GO_NUCLEAR_NUCLEOSOME	0.26449172681907435			
GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	0.2644388466522043			
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.2644133673806575			
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	0.2641830071982942			
GO_PERICILIARY_MEMBRANE_COMPARTMENT	0.26357216581043474			
GO_GAMMA_TUBULIN_LARGE_COMPLEX	0.263422932698374			
GO_PEROXISOME_TARGETING_SEQUENCE_BINDING	0.26318312828545726			
MIR211_3P	0.26279748863536456			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR	0.262724504926487			
BIOCARTA_IL7_PATHWAY	0.26255654308331794			
