	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_O_LINKED_MANNOSYLATION	0.2995442670367455			
GO_C3HC4_TYPE_RING_FINGER_DOMAIN_BINDING	0.2900144906719217			
GHANDHI_BYSTANDER_IRRADIATION_DN	0.2879997908443377			
MIR6747_3P	0.28229841631288966			
GO_NEUROENDOCRINE_CELL_DIFFERENTIATION	0.28203079632744943			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.2796377880374878			
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.27945365214212475			
GO_PANCREAS_DEVELOPMENT	0.27866692240588514			
CEBPE_TARGET_GENES	0.2778565592364508			
HUANG_DASATINIB_RESISTANCE_DN	0.2756992600207462			
GO_NEUROTRANSMITTER_LOADING_INTO_SYNAPTIC_VESICLE	0.27537051979027705			
GO_AXIS_SPECIFICATION	0.2753472083214741			
GO_NEURON_FATE_SPECIFICATION	0.2741254443711592			
GO_ENTEROENDOCRINE_CELL_DIFFERENTIATION	0.27391974714825446			
AIYAR_COBRA1_TARGETS_DN	0.27243412138549106			
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	0.2716995804023396			
DLX6_TARGET_GENES	0.27161014778720566			
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	0.27041449062884093			
GO_ORNITHINE_METABOLIC_PROCESS	0.26929922958824604			
MIR1250_5P	0.2689489879076222			
BCAT.100_UP.V1_UP	0.2687984785124305			
GO_POSITIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.26877061961361826			
JEON_SMAD6_TARGETS_DN	0.26870147651611975			
GO_REGULATION_OF_DOPAMINE_SECRETION	0.26864882998154493			
GO_NEGATIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	0.26808154893669395			
GO_PROTEIN_MANNOSYLATION	0.2680426655165787			
ZHOU_PANCREATIC_ENDOCRINE_PROGENITOR	0.26763575228279346			
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN	0.2675272313132057			
GO_REGULATION_OF_HEART_RATE_BY_CHEMICAL_SIGNAL	0.2673794979687419			
GO_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION	0.26717523852089475			
IPA_FOXA2_UP	0.26702154341227585			
IPA_DLX2_UP	0.266622022221315			
GO_REGULATION_OF_VESICLE_FUSION	0.2661299826713193			
BIOCARTA_CK1_PATHWAY	0.26612165530366616			
NFY_01	0.26576495129963995			
GO_NEURON_FATE_COMMITMENT	0.26575382988053375			
E2F2_TARGET_GENES	0.26541277092114657			
GO_LOCOMOTORY_BEHAVIOR	0.2652793120936059			
GO_CLATHRIN_SCULPTED_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT_VESICLE_MEMBRANE	0.2652580212694939			
GO_TAU_PROTEIN_KINASE_ACTIVITY	0.2646232763240945			
GSE6259_DEC205_POS_DC_VS_BCELL_UP	0.26452572402097996			
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN	0.26437961614111216			
GO_REGULATION_OF_SPINDLE_ORGANIZATION	0.26435379060455416			
MEISSNER_NPC_HCP_WITH_H3K27ME3	0.2642049255328528			
