	Score	0.95 MoE	P-Value	Q-Value
MIR5088_3P	0.30541785647436415			
GO_MEIOTIC_ATTACHMENT_OF_TELOMERE_TO_NUCLEAR_ENVELOPE	0.2867696592128675			
MIR4519	0.2856807485018996			
GO_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.28495267846336536			
MIR6124	0.2843421862085952			
CCCACAT_MIR2993P	0.2819787072076258			
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	0.281805020307271			
MIR3909	0.28132401979779975			
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	0.2812307787546516			
GO_HISTONE_H2A_K119_MONOUBIQUITINATION	0.2808462109794216			
GUO_HEX_TARGETS_UP	0.2803292012157141			
MIR6128	0.2799988272104576			
MIR409_5P	0.27770775522515395			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.2768909461164254			
GO_DOPAMINERGIC_SYNAPSE	0.27621019023978366			
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.27603263505840814			
MIR3660	0.27599308065273703			
MIR7853_5P	0.27445499413224833			
MIR4526	0.2742779972816303			
GO_REGULATION_OF_POTASSIUM_ION_IMPORT	0.27357283050276016			
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	0.27341925545475226			
MIR29B_1_5P	0.27295196175700254			
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.27289939974718536			
AR_03	0.2727176706185699			
GAL_LEUKEMIC_STEM_CELL_UP	0.2720458425711538			
GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_BINDING	0.27183369310557887			
MIR3616_3P	0.27175253187969434			
MIR105_5P	0.2713779026641551			
MIR3664_5P	0.2712516597273096			
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP	0.27037281187639095			
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE_RAFT	0.269681436165174			
MIR4280	0.2687086733542996			
GO_EPHRIN_RECEPTOR_BINDING	0.2686975217546251			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.2678842546247606			
IK3_01	0.2668874666585189			
MIR6515_5P	0.2668856794919433			
MIR5093	0.26673936489223005			
MIR130A_5P	0.26619147805667037			
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN	0.26600681675190957			
GO_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS	0.2658384873877587			
TAAYNRNNTCC_UNKNOWN	0.2655352737494891			
MIR4668_5P	0.2654614510659873			
GO_CYTOPLASMIC_MICROTUBULE	0.26531408317713534			
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.2653047842328326			
GSE43863_TH1_VS_TFH_EFFECTOR_CD4_TCELL_UP	0.26503336155160934			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.2650295833997868			
TGGNNNNNNKCCAR_UNKNOWN	0.26487010640613856			
GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP	0.26483643126496026			
TCF11_01	0.2643079673768279			
GO_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	0.26424120453587757			
MIR3124_3P	0.2642378096154616			
MIR4460	0.26416256688377293			
GSE46242_TH1_VS_ANERGIC_TH1_CD4_TCELL_DN	0.26370837655332596			
MIR6833_5P	0.26359984090749167			
