	Score	0.95 MoE	P-Value	Q-Value
GSE42021_TREG_VS_TCONV_PLN_DN	0.35068285720792614			
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	0.3504430887502884			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.3484450240394269			
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.3475761481500634			
GO_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT	0.3428015024398457			
GO_LUNG_ALVEOLUS_DEVELOPMENT	0.3408975394144649			
RAF_UP.V1_DN	0.3384563266504632			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.3363145512991551			
MCLACHLAN_DENTAL_CARIES_DN	0.3361835792375393			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.3349221738672263			
MIR4722_3P	0.33415808625050136			
MIR3660	0.3335870654992665			
MIR4526	0.3324371568603691			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.33211701848073555			
GO_FILAMENTOUS_ACTIN	0.3315519716122826			
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.3311773762915051			
MASSARWEH_RESPONSE_TO_ESTRADIOL	0.3310520306482018			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.3310144582617584			
LIAO_METASTASIS	0.32965432374426656			
SIX4_TARGET_GENES	0.3294063687810452			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.3279381285160699			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.3278881587954571			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.3277985052739492			
GO_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION	0.3274715274583629			
IVANOVSKA_MIR106B_TARGETS	0.3271940177981519			
GO_ASTER	0.3268280915728887			
GO_NEURAL_TUBE_DEVELOPMENT	0.32613195237277315			
AFFAR_YY1_TARGETS_UP	0.32556444281883196			
IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	0.3255159937210142			
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	0.32537676296046897			
GO_DENDRITIC_GROWTH_CONE	0.32533415564361906			
GO_ACTIN_FILAMENT_BASED_TRANSPORT	0.3252706378195562			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.32492425909432154			
GO_CELL_CELL_SIGNALING_BY_WNT	0.32482925369322324			
IPA_MSLN_UP	0.324657753877914			
GO_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	0.32459028335067247			
GO_RESPONSE_TO_BMP	0.32450133566885475			
MIR93_5P	0.32402844905270406			
MIR20B_5P	0.3238750017202462			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.32278771622028973			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.32260439963279575			
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	0.3225612131972866			
MIR17_5P	0.32216178791374483			
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	0.32176051321826926			
MIR519D_3P	0.3216797434462283			
MIR106A_5P	0.3216448273367465			
CDPCR3_01	0.3215700729947013			
HELLER_HDAC_TARGETS_UP	0.32133012958584606			
GO_LATERAL_PLASMA_MEMBRANE	0.32126096624609857			
IGLV5_37_TARGET_GENES	0.3209395737547356			
MIR20A_5P	0.3205769851914331			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.32049236347092536			
GO_MECHANORECEPTOR_DIFFERENTIATION	0.32042339469012415			
MIR526B_3P	0.3199754972084936			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.31996267737308576			
MIR5088_3P	0.31982832554933277			
MIR4776_5P	0.3195071259634929			
MIR106B_5P	0.31948808126009554			
GO_STEREOCILIUM_MEMBRANE	0.31938501573564926			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.31932569443942393			
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	0.3191614876238094			
GO_POSITIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	0.3191468709019935			
ARGGGTTAA_UNKNOWN	0.31855027315428713			
REACTOME_NETRIN_1_SIGNALING	0.31841857477444974			
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.31838704190743145			
PID_NCADHERIN_PATHWAY	0.3183706578066183			
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	0.31836980932779374			
PID_EPHB_FWD_PATHWAY	0.31832966360514053			
SANSOM_WNT_PATHWAY_REQUIRE_MYC	0.3182852324552584			
DELACROIX_RAR_TARGETS_DN	0.31821696175661635			
MIR4794	0.31812726833056365			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.317980245462748			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.31749631646775395			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.3174587395128734			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.3174412169660291			
IPA_CDK1_UP	0.3173451135283243			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.31727979716704796			
IPA_MECOM_UP	0.3171935830319065			
MIR519E_3P	0.31711238043851525			
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN	0.3168833521117486			
MIR515_3P	0.316791651672054			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	0.3166785824670661			
GO_NEGATIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.3164357882635733			
GO_NOTOCHORD_DEVELOPMENT	0.31641423297336363			
CAGGTA_AREB6_01	0.315717811111449			
MASSARWEH_TAMOXIFEN_RESISTANCE_DN	0.3151257813989174			
GO_HEAD_MORPHOGENESIS	0.3151080619346566			
REACTOME_EPH_EPHRIN_SIGNALING	0.31510295365023205			
PID_MET_PATHWAY	0.3149460678675063			
GO_DENDRITE_TERMINUS	0.3143222618171736			
PID_P38_GAMMA_DELTA_PATHWAY	0.31412971909366916			
GO_CEREBELLAR_CORTEX_DEVELOPMENT	0.3140997205964568			
GO_EAR_DEVELOPMENT	0.3140762850940986			
MIR33B_3P	0.31363423874964796			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.3135101323530356			
YANG_BREAST_CANCER_ESR1_UP	0.31337980872399634			
GSE9946_MATURE_STIMULATORY_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN	0.313350268448722			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.3132621675902136			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.3131993406747992			
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	0.31318212631016623			
MIR7150	0.31317811127001777			
GO_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.3130734778992159			
GO_ADHERENS_JUNCTION	0.31304948481963923			
TGGNNNNNNKCCAR_UNKNOWN	0.3129643368320334			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.31294182508955665			
GSE22886_IL2_VS_IL15_STIM_NKCELL_UP	0.3128795937097364			
GO_CANONICAL_WNT_SIGNALING_PATHWAY	0.3128677537700603			
GO_MESODERM_MORPHOGENESIS	0.3128334698597959			
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	0.31262818322399333			
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.31260188818011475			
MIR548S	0.3125914868043346			
GO_CELL_JUNCTION_ASSEMBLY	0.3125401427633875			
GSE30083_SP3_VS_SP4_THYMOCYTE_UP	0.31244022529589116			
MIR664A_5P	0.31236292511898317			
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	0.31227823289334816			
GOZGIT_ESR1_TARGETS_DN	0.3122460292450028			
GO_REGULATION_OF_SODIUM_ION_TRANSPORT	0.31224393695430286			
REACTOME_SIGNALING_BY_HIPPO	0.3121396347796696			
GO_NEGATIVE_REGULATION_OF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.31190338508402804			
GO_GAMMA_CATENIN_BINDING	0.31158048678473893			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.31153142589360333			
GO_AXONAL_GROWTH_CONE	0.3115277162951095			
CHEN_HOXA5_TARGETS_6HR_DN	0.3114602713248333			
GO_TRANSCRIPTION_REGULATOR_RECRUITING_ACTIVITY	0.3111308279496778			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.3111033754606684			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.31096510452157755			
GO_SENSORY_ORGAN_MORPHOGENESIS	0.3109323703735202			
GAL_LEUKEMIC_STEM_CELL_UP	0.31090752104382896			
WANG_LMO4_TARGETS_UP	0.3108401550907219			
GO_PHARYNGEAL_SYSTEM_DEVELOPMENT	0.3108390172646119			
