	Score	0.95 MoE	P-Value	Q-Value
BIOCARTA_MPR_PATHWAY	0.3465380829926671			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.3452976533545187			
GO_AROMATIC_AMINO_ACID_TRANSPORT	0.3405546176436122			
RICKMAN_HEAD_AND_NECK_CANCER_B	0.34036600746701823			
GO_MYOSIN_V_BINDING	0.33968521269502283			
GO_AZOLE_TRANSMEMBRANE_TRANSPORT	0.33931926661002915			
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	0.3386317719310493			
HALLMARK_SPERMATOGENESIS	0.33700086487277064			
GO_METAPHASE_PLATE_CONGRESSION	0.33644342625450546			
chr18q22	0.33631992506698394			
IPA_H2AFX_UP	0.33582462786065725			
GO_MAST_CELL_CYTOKINE_PRODUCTION	0.3346113609971856			
GO_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.33450023289793696			
MEISSNER_BRAIN_HCP_WITH_H3K4ME2	0.33347718184375613			
GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.33296789961750956			
LI_WILMS_TUMOR_ANAPLASTIC_UP	0.32980528700119527			
GO_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS	0.3289660607634849			
MIR4804_5P	0.32726410216262675			
IPA_ING1_DN	0.32699248143627296			
GO_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	0.3267459848375488			
REACTOME_G0_AND_EARLY_G1	0.3266447054196589			
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.32647072485052164			
VILLANUEVA_LIVER_CANCER_KRT19_UP	0.3263359075127167			
chr18q21	0.32623985160551855			
MIR8071	0.32617971973202914			
GO_ASTRAL_MICROTUBULE_ORGANIZATION	0.3260698925588273			
GSE6674_UNSTIM_VS_ANTI_IGM_STIM_BCELL_DN	0.32595169281323677			
GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN	0.325932164873236			
GSE3982_DC_VS_TH1_DN	0.3257897369723046			
GSE13229_IMM_VS_INTMATURE_NKCELL_UP	0.32543140529866754			
IPA_NEUROD1_UP	0.32522125245989886			
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.32389687038420745			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.32385753776729914			
GO_REGULATION_OF_DNA_DAMAGE_CHECKPOINT	0.32372258882057403			
GO_MITOTIC_METAPHASE_PLATE_CONGRESSION	0.32328483398855873			
MIR6748_5P	0.32157821066313735			
GO_DEMETHYLASE_ACTIVITY	0.32132120512971296			
GO_POSITIVE_REGULATION_OF_CELL_MATURATION	0.3212829486398009			
chr1p33	0.31903488697568466			
GO_SELENIUM_COMPOUND_METABOLIC_PROCESS	0.3185402235213823			
GO_REGULATION_OF_METAPHASE_PLATE_CONGRESSION	0.31820093162111973			
GO_NEGATIVE_REGULATION_OF_FAT_CELL_PROLIFERATION	0.3178494485611128			
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION	0.3174172460921847			
MITSIADES_RESPONSE_TO_APLIDIN_DN	0.31669877661217954			
GO_MICROTUBULE_ORGANIZING_CENTER	0.31647447073336943			
IWANAGA_E2F1_TARGETS_INDUCED_BY_SERUM	0.31633606512344703			
MIR4481	0.31590349658474304			
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_DN	0.31581094123130055			
GO_CELLULAR_RESPONSE_TO_SALT	0.3155562830988695			
chr11p11	0.3153603447002811			
GO_HISTONE_H3_K36_METHYLATION	0.3150908052373607			
GO_MECHANOSENSORY_BEHAVIOR	0.315060123757233			
IPA_POU4F1_UP	0.3146777489127586			
REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE	0.31456118887149453			
GO_EXOCYTIC_PROCESS	0.3142983215706408			
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.31413460117672054			
GO_REGULATION_OF_CILIUM_ASSEMBLY	0.31392953140356367			
MIR331_3P	0.31380812588666734			
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED	0.3135517948517608			
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	0.31253186125154775			
MIR5194	0.3123747514144311			
GO_REGULATION_OF_CELL_MATURATION	0.31200148513212955			
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.31176315242702163			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.3116453310428085			
GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN	0.31141799204326204			
GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING	0.3114071586367847			
STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS	0.3107164928777923			
BROWNE_HCMV_INFECTION_24HR_UP	0.3103393066432248			
GO_MEIOTIC_COHESIN_COMPLEX	0.31019032026493804			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.3101457248848216			
GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_DN	0.31002449035606405			
GO_DYNEIN_LIGHT_CHAIN_BINDING	0.30978714616250674			
GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_DN	0.3096574391643006			
MEISSNER_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	0.3094958573759709			
REACTOME_RSK_ACTIVATION	0.30943016254845507			
GO_MOTILE_CILIUM_ASSEMBLY	0.3091563617023856			
GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP	0.3090167608654504			
GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN	0.3088809125115302			
GO_CHROMATIN_SILENCING_AT_RDNA	0.3085388544518645			
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.3084639470283478			
GO_ANCHORED_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	0.30842991846809437			
GO_MAGNESIUM_ION_BINDING	0.30825943057769456			
GO_NATRIURETIC_PEPTIDE_RECEPTOR_ACTIVITY	0.30822774099185934			
GO_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	0.30814028826702294			
GO_S_ACYLTRANSFERASE_ACTIVITY	0.3079145426681162			
GO_SECRETORY_GRANULE_LOCALIZATION	0.30786159265750984			
GO_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	0.30784181873249783			
chr1p34	0.3078010256603932			
SILIGAN_TARGETS_OF_EWS_FLI1_FUSION_DN	0.3075954682040049			
GO_DNA_HELICASE_COMPLEX	0.3075727783594328			
GO_SINGLE_STRANDED_DNA_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY	0.30754740501998684			
YORDY_RECIPROCAL_REGULATION_BY_ETS1_AND_SP100_UP	0.30730403270456486			
REACTOME_G2_PHASE	0.30727861525187267			
GO_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.307243309946216			
GO_S_ADENOSYL_L_METHIONINE_BINDING	0.30713070668762615			
GO_GLYCEROL_ETHER_METABOLIC_PROCESS	0.30690175665809477			
KEGG_SPLICEOSOME	0.30682899585635737			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	0.30680401437555427			
