	Score	0.95 MoE	P-Value	Q-Value
FARMER_BREAST_CANCER_CLUSTER_6	0.3885363873533853			
GO_WATER_HOMEOSTASIS	0.3759142115897057			
GO_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.3738376745251419			
DOANE_RESPONSE_TO_ANDROGEN_UP	0.37288631715696513			
GO_APICAL_JUNCTION_COMPLEX	0.3724726668347253			
MIR1277_3P	0.37216002135283627			
YANG_BREAST_CANCER_ESR1_UP	0.3720316258092526			
GO_ZONULA_ADHERENS	0.37030730961169356			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.3697351012383147			
LIM_MAMMARY_STEM_CELL_DN	0.368758829327787			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.3686245782627241			
GO_TIGHT_JUNCTION	0.36771404133105884			
AREB6_02	0.36756603377463837			
GO_LATERAL_PLASMA_MEMBRANE	0.3668570794794864			
GO_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION	0.3663204190260181			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.3644696564032259			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.36357975995041447			
GO_BASAL_PLASMA_MEMBRANE	0.3630879897353305			
DOANE_BREAST_CANCER_ESR1_UP	0.36259948430431943			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.3612259742659696			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.36092536868405617			
MIR4433B_3P	0.3591476786419797			
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.3591227029132177			
GREB1_TARGET_GENES	0.3583890120556354			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.3582294392661783			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.35800769680239625			
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN	0.356874420937516			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.3566883446263001			
GO_STEREOCILIUM_BUNDLE	0.3566838372028675			
LIU_PROSTATE_CANCER_UP	0.3562515109109237			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN	0.35616966779777753			
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	0.3560397220702154			
GO_POSITIVE_REGULATION_OF_RUFFLE_ASSEMBLY	0.3556896674437121			
HALLMARK_PROTEIN_SECRETION	0.3551738802322496			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.3549886890496024			
GO_MINUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.35475586163760675			
