	Score	0.95 MoE	P-Value	Q-Value
GO_EXOCYTIC_PROCESS	0.4676656203067731			
GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS	0.43286897747444836			
GO_MICROBODY_MEMBRANE	0.43125246255637306			
HUANG_DASATINIB_RESISTANCE_DN	0.42175442110080247			
GO_SNARE_BINDING	0.420695243806031			
GO_GABAERGIC_NEURON_DIFFERENTIATION	0.4173844613701228			
RODWELL_AGING_KIDNEY_NO_BLOOD_DN	0.41622852652023606			
GO_SYNTAXIN_1_BINDING	0.41571517206712677			
GO_TERMINAL_BOUTON	0.41329269579089506			
GO_L_PHENYLALANINE_METABOLIC_PROCESS	0.4119674534726815			
GO_OBSERVATIONAL_LEARNING	0.41011216644577364			
IPA_HIST1H1A_DN	0.40997662621491243			
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.4084294460098282			
MIR296_5P	0.40801359856759317			
RODWELL_AGING_KIDNEY_DN	0.4076878003390038			
IPA_KDM6B_DN	0.40717252310388385			
GO_SYNTAXIN_BINDING	0.4050240390012271			
GO_EXOCYTIC_VESICLE	0.404578415935113			
GO_PRESYNAPTIC_ACTIVE_ZONE_CYTOPLASMIC_COMPONENT	0.4030082916715316			
GO_CREATINE_METABOLIC_PROCESS	0.4019301979316426			
GO_AXOLEMMA	0.4010983699118089			
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM	0.3992702864436109			
GO_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	0.3992552427713448			
GO_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.39911183912823117			
GO_PHOSPHAGEN_METABOLIC_PROCESS	0.3989704977810285			
IPA_POU4F1_UP	0.397433108724127			
LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES	0.3967603561576008			
GO_JUXTAPARANODE_REGION_OF_AXON	0.39500309238784737			
REACTOME_CREATINE_METABOLISM	0.39487402998998167			
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	0.3935904913615717			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.3928089808174707			
GO_PHOTORECEPTOR_RIBBON_SYNAPSE	0.3927435550632109			
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.39265378773422965			
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	0.392609888253168			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP	0.3923394799214076			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_PTERIDINE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	0.3921591972497176			
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.391466816210997			
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.39083038126008873			
GO_DENSE_CORE_GRANULE_EXOCYTOSIS	0.39072169153833486			
GO_REGULATION_OF_EXOCYTOSIS	0.3898816752900863			
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.38979579464070774			
GO_SEROTONIN_METABOLIC_PROCESS	0.38941892935420214			
GO_PROTEIN_LOCALIZATION_TO_AXON	0.3891282032265196			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.38905831833067533			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.3886268274121319			
GO_REGULATION_OF_GLUCOCORTICOID_RECEPTOR_SIGNALING_PATHWAY	0.3880190899882823			
IPA_REST_DN	0.38784118264801615			
GO_TUBULIN_BINDING	0.3877316504869874			
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.3870468393929481			
GO_S_ACYLTRANSFERASE_ACTIVITY	0.3851054808193021			
GO_PROTEIN_LOCALIZATION_TO_JUXTAPARANODE_REGION_OF_AXON	0.38499180774655367			
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.38475866870949943			
GO_MYOSIN_V_BINDING	0.38456985619864564			
GO_ALKALOID_METABOLIC_PROCESS	0.38409489954690545			
GO_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING	0.3839942670942276			
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.383897656414317			
GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.38369598456182386			
GO_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0.3833683879867284			
GO_SYNAPTIC_VESICLE_MEMBRANE	0.3833617124729581			
GO_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	0.3830545384829918			
GO_MULTIVESICULAR_BODY_MEMBRANE	0.38270941246357326			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.382347533483069			
GO_NEUROTRANSMITTER_TRANSPORT	0.3820110339738541			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.3817781046641564			
GO_RIBBON_SYNAPSE	0.38175481954034224			
GO_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DEVELOPMENT	0.3812831720658034			
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.3806647289581648			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.38057723950200767			
GO_PHOSPHOTRANSFERASE_ACTIVITY_NITROGENOUS_GROUP_AS_ACCEPTOR	0.380051772515841			
GO_NEUROTRANSMITTER_SECRETION	0.37894143516287376			
MIR449B_3P	0.3777501072477993			
GO_SYNAPTIC_VESICLE_DOCKING	0.37757459972187213			
GO_KINESIN_BINDING	0.3771757769045619			
GO_MICROTUBULE_DEPOLYMERIZATION	0.3770480973740724			
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	0.37675661517531617			
GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	0.37672294184459504			
MIR214_5P	0.37660854414406425			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.3761358298557567			
GO_ACTIN_CROSSLINK_FORMATION	0.3757111069127579			
GO_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	0.3756218361176361			
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN	0.37541322931946447			
GO_NEGATIVE_REGULATION_OF_FAT_CELL_PROLIFERATION	0.3746726053999839			
GO_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS	0.3745712404128248			
ZF5_B	0.3744048910922643			
TOMLINS_METASTASIS_UP	0.3743470435981261			
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.3743424618775336			
GO_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	0.37430816415084156			
MIR331_3P	0.3741038657401806			
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0.3737674171717673			
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.37372762530317477			
GO_MICROTUBULE	0.3734940253922003			
GO_POSITIVE_REGULATION_OF_EXOCYTOSIS	0.3730371682367522			
MIR6795_3P	0.3717567421551883			
GO_RESPONSE_TO_CGMP	0.3716149180476806			
GO_REGULATION_OF_FOREBRAIN_NEURON_DIFFERENTIATION	0.3715263612648365			
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.37136985509258597			
GO_REGULATION_OF_SHORT_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.37122942325657926			
GO_MICROTUBULE_BINDING	0.3706405656455555			
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	0.37051878477445854			
GO_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	0.3700321519675685			
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	0.3697362890424245			
MIR509_3P	0.36966893421294733			
GO_TRANSMISSION_OF_NERVE_IMPULSE	0.3690705189083283			
GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.36889203769582285			
GO_PRESYNAPSE	0.3688178905202021			
SMID_BREAST_CANCER_RELAPSE_IN_LIVER_DN	0.36879250052927415			
GO_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.3687527221683908			
GO_EXOCYTIC_INSERTION_OF_NEUROTRANSMITTER_RECEPTOR_TO_POSTSYNAPTIC_MEMBRANE	0.3687050363813627			
NRSF_01	0.36870406032326886			
chr15q12	0.36802096829587355			
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	0.3677851660916484			
GO_REGULATION_OF_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.36768795902554136			
ATGGYGGA_UNKNOWN	0.36766542091231574			
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.36760802464386444			
CAHOY_NEURONAL	0.36723996389184427			
GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	0.3671417521447324			
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.3668865671718626			
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	0.3665130478387743			
GO_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.36599770045837665			
GO_SIGNAL_RELEASE	0.36596293733366714			
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.3658556472871138			
MYOD_Q6	0.3657505676513738			
GO_PEPTIDE_HORMONE_SECRETION	0.3655859832960845			
GO_FHF_COMPLEX	0.3654838816816705			
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	0.36548211136897185			
IPA_NEUROD4_UP	0.36546285943264084			
GO_VESICLE_DOCKING	0.36527620475781186			
GO_NEURON_MATURATION	0.36518860000677844			
MIR214_3P	0.3647621489698705			
GO_POSITIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.36467995871600806			
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE	0.3646667726345889			
GO_NEURON_PROJECTION_TERMINUS	0.3644985298667585			
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	0.3644952297871205			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.36449231295655576			
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.3644637537907685			
SF1_Q6	0.36432279492587666			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	0.36380280332046055			
KRAS.KIDNEY_UP.V1_UP	0.36373638585722906			
ASXL2_TARGET_GENES	0.3636420334663471			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.36356470410329034			
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.3635142402589543			
AHR_Q5	0.36345791616899903			
GO_DENSE_CORE_GRANULE_TRANSPORT	0.3633873983312143			
IPA_NEUROG2_UP	0.3630001250406201			
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	0.3628567637970314			
GO_DEVELOPMENTAL_MATURATION	0.36279218266105373			
GO_RESPONSE_TO_HISTAMINE	0.3623611492455653			
IPA_POU3F2_UP	0.3623346473259312			
GO_MECHANOSENSORY_BEHAVIOR	0.36232994394459095			
IPA_LHX2_DN	0.3621730674120053			
GO_PARANODAL_JUNCTION	0.36201347278811846			
GO_NEUROTRANSMITTER_LOADING_INTO_SYNAPTIC_VESICLE	0.36198072159353917			
GO_INSULIN_SECRETION	0.36188232187464103			
IPA_POU4F1_DN	0.3618632638838868			
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN	0.3616614888853066			
GO_TRANSPORTER_COMPLEX	0.3616538161358082			
RYTGCNWTGGNR_UNKNOWN	0.36149586714493914			
MIR3614_5P	0.3613605756170523			
MIR7110_5P	0.36133410009797595			
YGCGYRCGC_UNKNOWN	0.3613236521841949			
MIER1_TARGET_GENES	0.3609841834834067			
MIR6769B_3P	0.3609786869858359			
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0.36094995633043847			
GO_REFLEX	0.36082025882022584			
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	0.3606582329316689			
IPA_ASCL1_UP	0.3604846547511895			
GO_KINETOCHORE_MICROTUBULE	0.359944870251303			
TGACCTTG_SF1_Q6	0.35987006886108736			
GO_POTASSIUM_CHANNEL_COMPLEX	0.35978408939866274			
HALLMARK_PANCREAS_BETA_CELLS	0.3596829539760463			
IPA_ISL1_DN	0.3595687564026178			
GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION	0.3595660697650045			
GO_CLATHRIN_SCULPTED_VESICLE	0.3594380499147406			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.35931622997787377			
MIR6742_5P	0.3591043301885858			
GO_NEURON_FATE_COMMITMENT	0.358806626246962			
