	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL	0.3020929178866566			
MIR4669	0.2892258842048714			
GO_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.28548008277197406			
MIR450A_1_3P	0.27903145317074807			
GO_ACYLGLYCEROL_LIPASE_ACTIVITY	0.2786568643830936			
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	0.27823104260345527			
GO_POSITIVE_REGULATION_OF_PROTEIN_HOMODIMERIZATION_ACTIVITY	0.2776359954034301			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.2743238468300419			
GO_RESPONSE_TO_TUMOR_CELL	0.2741856261377166			
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_DN	0.27383511649413356			
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.2737920525733012			
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	0.2729827812074391			
GO_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.27284540880512603			
GO_RETINOID_X_RECEPTOR_BINDING	0.27164398884822993			
GO_REGULATION_OF_PROTEIN_LIPIDATION	0.2711669488911667			
GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP	0.26841890168431354			
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	0.26782112169229916			
GAVIN_FOXP3_TARGETS_CLUSTER_P3	0.26751163160638325			
ALX4_TARGET_GENES	0.2675044889009531			
MIR409_5P	0.2661172527735557			
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	0.2657199348416969			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_UP	0.2655928013189096			
IPA_ARID4B_UP	0.2651640489641998			
GO_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	0.26495909201412354			
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	0.26469755016241164			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.26389130943330885			
RICKMAN_METASTASIS_DN	0.26364596160525067			
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	0.26299971761282176			
