	Score	0.95 MoE	P-Value	Q-Value
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5075142522912393			
DITTMER_PTHLH_TARGETS_UP	0.5044859155114995			
GSE42021_TREG_VS_TCONV_PLN_DN	0.49895077130974724			
GO_CADHERIN_BINDING	0.4926218687421489			
GO_ADHERENS_JUNCTION	0.4908264177129905			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.48871287841712246			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.48847117743307805			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.48684695574526443			
GOZGIT_ESR1_TARGETS_DN	0.48623543933663005			
ISSAEVA_MLL2_TARGETS	0.4856635722658902			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4842772198537093			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.48365233493563675			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.4833353939794713			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4832621460607892			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.4827218791529638			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4826594772686288			
HALLMARK_GLYCOLYSIS	0.48253047241803604			
GO_COSTAMERE	0.48244195162778686			
GO_GLAND_MORPHOGENESIS	0.48194910881546627			
GO_CELL_ADHESION_MOLECULE_BINDING	0.4818974433863025			
MEK_UP.V1_UP	0.48118798946453434			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.48069958067900387			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.480629458937864			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4805111630254187			
GO_CELL_JUNCTION_ORGANIZATION	0.4801066803047276			
SESTO_RESPONSE_TO_UV_C8	0.47997290562437356			
GO_CELL_JUNCTION_ASSEMBLY	0.47970207196938613			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4786355919194089			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.4784377457932876			
LIAO_METASTASIS	0.4784010546543572			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4770796476564297			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4765819941007329			
YANAGIHARA_ESX1_TARGETS	0.4762848614232305			
REACTOME_EPH_EPHRIN_SIGNALING	0.4761264667577498			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.47607375031687316			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.47589319389253365			
PID_NECTIN_PATHWAY	0.47563679878390924			
XU_GH1_AUTOCRINE_TARGETS_DN	0.4754843809971319			
JIANG_HYPOXIA_NORMAL	0.47524764080183846			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.47516293428084244			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4747485176074255			
NUYTTEN_NIPP1_TARGETS_DN	0.4746475185873997			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.47446366884448155			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.4744403587347618			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.47398542743286187			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.47339495322744085			
WELCSH_BRCA1_TARGETS_UP	0.4733662205519759			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4733502444360509			
ERBB2_UP.V1_UP	0.4730992408461668			
