	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5362433361312884			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5354288245628513			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5293235067769163			
GSE42021_TREG_VS_TCONV_PLN_DN	0.526941914977743			
MEK_UP.V1_UP	0.5256980369615512			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.5241234311157237			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.522611930238226			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5220842492961475			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5178889965425013			
DITTMER_PTHLH_TARGETS_UP	0.517558822700006			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5175406397295463			
GOZGIT_ESR1_TARGETS_DN	0.5154359955340889			
XU_GH1_AUTOCRINE_TARGETS_DN	0.5150442781712751			
GO_ADHERENS_JUNCTION	0.514178878978662			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5121241265637331			
GO_CADHERIN_BINDING	0.5115364276716411			
NUYTTEN_NIPP1_TARGETS_DN	0.5114242856902457			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5112426888721735			
LTE2_UP.V1_UP	0.5111133026096849			
GO_APICAL_JUNCTION_COMPLEX	0.5105528505569844			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5104610719748166			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.5100903254873453			
ERBB2_UP.V1_UP	0.5099074034272176			
ENGELMANN_CANCER_PROGENITORS_DN	0.5094521942018385			
GO_LATERAL_PLASMA_MEMBRANE	0.5093159984092565			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5092985777466245			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5092160504495402			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5092151673809237			
IGARASHI_ATF4_TARGETS_DN	0.5088730221123776			
PID_AJDISS_2PATHWAY	0.5083384925240589			
ESC_J1_UP_LATE.V1_UP	0.508095384634112			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.507937823555575			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.507068063066184			
