	Score	0.95 MoE	P-Value	Q-Value
MIR21_5P	0.3448746370294529			
PID_TXA2PATHWAY	0.34152274631730717			
GO_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	0.3371230618859982			
GO_REGULATION_OF_CARDIOBLAST_DIFFERENTIATION	0.33305091483690424			
GSE33425_CD161_HIGH_VS_NEG_CD8_TCELL_UP	0.3322533228269614			
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS	0.3321844592621223			
GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.3318821834636245			
KASLER_HDAC7_TARGETS_1_UP	0.331755994870473			
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.3306770207234997			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_15	0.3306745482778949			
GSE6875_TCONV_VS_FOXP3_KO_TREG_UP	0.3303857713049548			
GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP	0.33022563656892523			
GO_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.32999126956243574			
GSE7852_TREG_VS_TCONV_DN	0.32944181371535336			
GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	0.3293749732525784			
PID_IL8_CXCR1_PATHWAY	0.3282994553104975			
GO_MATURE_B_CELL_DIFFERENTIATION	0.327478822687325			
GO_T_CELL_ACTIVATION	0.3273231405429506			
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	0.32710725190990864			
GO_REGULATION_OF_CELL_ACTIVATION	0.32671822885607293			
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	0.32665514180753996			
FAELT_B_CLL_WITH_VH3_21_UP	0.3262880668223778			
MIR7159_3P	0.326088500453992			
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.32589532782611036			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.32574683840077956			
GO_LEUKOCYTE_DIFFERENTIATION	0.3249948912645561			
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.32455009708014454			
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	0.32452118061921204			
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.32393929200626365			
GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	0.32391065316914			
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.3235224470311465			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_DN	0.3234492939718012			
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION	0.3227046611152428			
PID_CXCR4_PATHWAY	0.3226016116632274			
BIOCARTA_PCAF_PATHWAY	0.3224890997408858			
QI_PLASMACYTOMA_UP	0.32243171541712556			
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.32241634917723594			
GO_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	0.32214973308419675			
GO_REGULATION_OF_T_CELL_ACTIVATION	0.322097302513079			
GO_PHAGOCYTOSIS	0.3220186793414799			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	0.32197276039822914			
GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN	0.3217765933967781			
IPA_SATB1_DN	0.3209865661707008			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_DN	0.3209715399522643			
WENDT_COHESIN_TARGETS_UP	0.32089452781702327			
GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_DN	0.3208219845568253			
GO_NATURAL_KILLER_CELL_ACTIVATION	0.32074085316711964			
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP	0.3206354295857801			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.32056501218178696			
GO_POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.3203807821445506			
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.31996669952107754			
GO_LYMPHOCYTE_ACTIVATION	0.3199373888990558			
GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION	0.3198653183323652			
GO_T_CELL_MIGRATION	0.319745015306456			
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	0.31972656521270615			
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	0.31971101504418653			
GO_STEREOCILIUM_MEMBRANE	0.31969635896230375			
BOSCO_TH1_CYTOTOXIC_MODULE	0.3196286704691995			
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP	0.3195898723749481			
MIR590_5P	0.31950830794762547			
GO_MYELOID_CELL_DIFFERENTIATION	0.31949328665683513			
GO_T_CELL_LINEAGE_COMMITMENT	0.31930357450228253			
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.31901068502001406			
