	Score	0.95 MoE	P-Value	Q-Value
GO_EXOCYTIC_VESICLE	0.37163731712710246			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.3519209641802315			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.34794546494964884			
NR0B1_TARGET_GENES	0.34762736305717706			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.3467202010241278			
GO_SCHAFFER_COLLATERAL_CA1_SYNAPSE	0.3460788415805114			
GO_CYTOPLASMIC_DYNEIN_COMPLEX	0.34454929500822434			
GO_SARCOLEMMA	0.3431953652180486			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.34302743490024573			
GO_DENDRITE_DEVELOPMENT	0.34209998706602335			
GO_LOCOMOTORY_BEHAVIOR	0.341728441664987			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.3415292489314401			
GO_HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE	0.3412090441030563			
GO_SCHWANN_CELL_DEVELOPMENT	0.3396270007415265			
GO_MESODERM_MORPHOGENESIS	0.3395657331065741			
GO_REGULATION_OF_DENDRITE_DEVELOPMENT	0.33907414086170184			
GO_CELLULAR_SPHINGOLIPID_HOMEOSTASIS	0.33803707097097774			
IPA_FOXM1_DN	0.33771774038673275			
KIM_ALL_DISORDERS_CALB1_CORR_UP	0.33749170020935304			
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP	0.33714521401938335			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.33698453515157767			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.33693528481891766			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.33681580154217305			
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	0.33661109662442157			
GO_SCHWANN_CELL_MIGRATION	0.33660723220035993			
ALONSO_METASTASIS_NEURAL_UP	0.3365161667598164			
GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_DN	0.3361488452335792			
POOLA_INVASIVE_BREAST_CANCER_DN	0.33602801278770955			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.3358477300868166			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3357027234003498			
GO_LAMININ_COMPLEX	0.3354219726680817			
GO_SCHWANN_CELL_DIFFERENTIATION	0.3352223223704163			
GO_FACE_DEVELOPMENT	0.3350880786650183			
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.3343304648276669			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.3343013492033594			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.3341378535496745			
BENPORATH_SUZ12_TARGETS	0.3338987668547711			
GTTGNYNNRGNAAC_UNKNOWN	0.3338751017106117			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.333524308028288			
GO_MEMBRANE_RAFT_ASSEMBLY	0.33314584177917256			
