	Score	0.95 MoE	P-Value	Q-Value
IGARASHI_ATF4_TARGETS_DN	0.5079460657618629			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.49628553381804624			
LEF1_UP.V1_DN	0.49329081498043126			
NUYTTEN_NIPP1_TARGETS_DN	0.49096854823815483			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.48762799834062026			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.4865779301048186			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.48234289957692295			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4788576197670984			
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.4774214999841003			
LI_AMPLIFIED_IN_LUNG_CANCER	0.47646348270678107			
GU_PDEF_TARGETS_DN	0.4764453997025375			
GO_MIDBODY_ABSCISSION	0.47511201275942494			
RODRIGUES_NTN1_TARGETS_DN	0.4740583192703347			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.4732896170628741			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.47097501884641624			
P53_DN.V1_UP	0.47056532613021			
MEK_UP.V1_UP	0.46861424725213374			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.46807682241262044			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.4651307902198102			
DOANE_BREAST_CANCER_ESR1_UP	0.4649977060623537			
BAE_BRCA1_TARGETS_UP	0.4646289538500368			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.4641069735218732			
CROMER_METASTASIS_DN	0.46386347535867917			
HALLMARK_P53_PATHWAY	0.4636437846620734			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.4633950512116098			
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	0.46272167258909724			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4610760043668969			
YANG_BREAST_CANCER_ESR1_UP	0.4610702845920673			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.460670822086175			
HALLMARK_XENOBIOTIC_METABOLISM	0.46060146151341474			
VECCHI_GASTRIC_CANCER_EARLY_UP	0.46052181233316425			
JAEGER_METASTASIS_DN	0.46032681521604224			
ONDER_CDH1_TARGETS_2_DN	0.46029110235133974			
BORLAK_LIVER_CANCER_EGF_UP	0.4590839412795488			
GO_KERATINOCYTE_DEVELOPMENT	0.45879144525227417			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.45876565914281614			
IPA_ELF3_DN	0.45864798938553			
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.45856913841940217			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4580451057705283			
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	0.45751705524096886			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	0.45721637703443424			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	0.45660915619159603			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.45648819964644954			
IPA_DBP_UP	0.4558317750211551			
MOHANKUMAR_HOXA1_TARGETS_DN	0.4549132488058343			
GREB1_TARGET_GENES	0.454783636118114			
GO_TIGHT_JUNCTION_ORGANIZATION	0.4546058345736586			
GO_BRONCHUS_DEVELOPMENT	0.45434628639721664			
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.45429651189020687			
GO_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.45287812135784206			
GO_APICAL_JUNCTION_ASSEMBLY	0.45267852778836803			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.4519730691468752			
FOXD2_TARGET_GENES	0.4512586927924189			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.45120469775089217			
WANG_BARRETTS_ESOPHAGUS_UP	0.4511701006393205			
