	Score	0.95 MoE	P-Value	Q-Value
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.3747286186378549			
GO_REGULATION_OF_AMYLOID_BETA_FORMATION	0.3696139269960501			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.36352060364626737			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3628978358406718			
GSE339_CD4POS_VS_CD8POS_DC_DN	0.3604980305826914			
GO_SH2_DOMAIN_BINDING	0.3602560425347393			
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_UP	0.3591902048439692			
IPA_FOXM1_DN	0.3586419361947879			
GO_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.35835239952692843			
PID_ARF6_DOWNSTREAM_PATHWAY	0.3581355347737162			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.35548952434274383			
MOOTHA_PGC	0.35544993115874074			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.3547871047560353			
GO_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3538332638191613			
GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_UP	0.3537816252213826			
GO_CLATHRIN_HEAVY_CHAIN_BINDING	0.3534121044443531			
MIR3142	0.3531708084347218			
GO_EAR_DEVELOPMENT	0.35247670050466			
GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_180MIN_UP	0.3524698038604104			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.35162422731671533			
GO_SIGNAL_COMPLEX_ASSEMBLY	0.3515509310311125			
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.3508214038772188			
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3506117332776176			
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	0.34965007776972973			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN	0.3493663602181299			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.3492590081668355			
MT	0.34912188007956546			
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM	0.3481786777541364			
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	0.3480918463184431			
REACTOME_PECAM1_INTERACTIONS	0.3470532196321929			
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP	0.3460918832533967			
MIR1227_3P	0.3460495981933466			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3459287759595775			
MOHANKUMAR_HOXA1_TARGETS_UP	0.34576444042016696			
GO_CILIARY_ROOTLET	0.3455657254884335			
GO_REGULATION_OF_BASEMENT_MEMBRANE_ASSEMBLY_INVOLVED_IN_EMBRYONIC_BODY_MORPHOGENESIS	0.3452608067277076			
GO_RETINAL_BLOOD_VESSEL_MORPHOGENESIS	0.34519341522991054			
MIR1245B_5P	0.3450766552449346			
GSE17721_LPS_VS_GARDIQUIMOD_12H_BMDC_DN	0.3447723737946365			
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	0.3443070131271587			
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	0.3442495188030045			
GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	0.34375353955893934			
GO_POSITIVE_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.34289188694280376			
MIR4442	0.34270095878278856			
GO_SCHWANN_CELL_DEVELOPMENT	0.34264760155420215			
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	0.3424838138377158			
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.3422321372484712			
GO_AMYLOID_BETA_FORMATION	0.3417443827787946			
GO_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS	0.34164475737230177			
GO_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY	0.3406444333001984			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.34032644213084345			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.33997888455824243			
GO_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	0.3397329238044258			
WEIGEL_OXIDATIVE_STRESS_RESPONSE	0.3396032360346892			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.338846583858148			
GO_AMYLOID_BETA_METABOLIC_PROCESS	0.338611303409411			
CHESLER_BRAIN_QTL_CIS	0.3386005849815508			
GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	0.3385567900320826			
GO_REGULATION_OF_ASTROCYTE_DIFFERENTIATION	0.338526545793101			
SWEET_KRAS_TARGETS_DN	0.33847542858158813			
IPA_HIC1_UP	0.3384082620751669			
GO_SCHWANN_CELL_DIFFERENTIATION	0.33837173737380927			
GAGCCAG_MIR149	0.33813409588235954			
MIR6802_5P	0.33798537451890814			
GO_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.3376671866102772			
PID_NEPHRIN_NEPH1_PATHWAY	0.33756899993449013			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3374254091106234			
GO_ANOIKIS	0.33716025722078763			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.33658955617065905			
GO_ATPASE_BINDING	0.3364123692926617			
PLASARI_TGFB1_TARGETS_1HR_UP	0.33608916313193177			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.33603450306751065			
CEBALLOS_TARGETS_OF_TP53_AND_MYC_UP	0.33598437518897345			
SESTO_RESPONSE_TO_UV_C6	0.33592218251431866			
GO_CGMP_BIOSYNTHETIC_PROCESS	0.33538516413538083			
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	0.3353104024399719			
GO_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.3352644246595413			
SENESE_HDAC3_TARGETS_DN	0.3350708886685991			
GO_NEGATIVE_REGULATION_OF_ANOIKIS	0.3348348950582818			
GO_POSITIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION	0.3347374002646634			
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	0.3344198752932759			
GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_UP	0.3341026452253013			
GO_CYTOPLASMIC_DYNEIN_COMPLEX	0.3338994303688459			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.3338016070212342			
HALLMARK_GLYCOLYSIS	0.3337475608228295			
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN	0.33361381425155473			
LIU_CMYB_TARGETS_UP	0.3335696564672244			
GO_POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	0.3332789323350462			
CDPCR3_01	0.33312809470432936			
GSE9650_EFFECTOR_VS_EXHAUSTED_CD8_TCELL_DN	0.3330523120755747			
GO_HYPEROSMOTIC_RESPONSE	0.33303133178835215			
IPA_KDM5B_DN	0.3329694038787268			
GO_PROTEIN_PHOSPHATASE_ACTIVATOR_ACTIVITY	0.33296078415095515			
GO_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	0.3327408145665929			
GO_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	0.3324636891013442			
GO_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_BINDING	0.3323756526792983			
GSE17721_LPS_VS_CPG_4H_BMDC_DN	0.33201121724571153			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.3320010407711372			
GSE18893_TCONV_VS_TREG_2H_TNF_STIM_UP	0.33184384056821653			
CUI_GLUCOSE_DEPRIVATION	0.3315852680566934			
