	Score	0.95 MoE	P-Value	Q-Value
GO_CARDIAC_VENTRICLE_MORPHOGENESIS	0.34621609354167066			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.3384709288159011			
REACTOME_DISEASES_OF_GLYCOSYLATION	0.3358693486036962			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.33582780548109803			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	0.33403131586256435			
XU_GH1_AUTOCRINE_TARGETS_DN	0.3337183536019339			
JIANG_AGING_CEREBRAL_CORTEX_DN	0.33362110315971194			
GO_EAR_DEVELOPMENT	0.33349140014589745			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.33304769920800253			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.3320881615270644			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.3317393388963888			
GO_REGULATION_OF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.3304259250638092			
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.32970186272688745			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3295030609994758			
IPA_NFE2L2_UP	0.328160580278849			
MIR519E_3P	0.3277848729133776			
HASLINGER_B_CLL_WITH_13Q14_DELETION	0.3274214048238961			
IPA_FOXM1_DN	0.3269183697873013			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.3263552716572282			
MIR33B_3P	0.3262287626648577			
LEIN_ASTROCYTE_MARKERS	0.32621491099057337			
PILON_KLF1_TARGETS_UP	0.32606486929727346			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3259393579906486			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.32577825859556225			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.3256000833304544			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.32505325098499255			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.3247873242503421			
GO_APPENDAGE_DEVELOPMENT	0.32466464285959235			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.32461520460714915			
GO_GOLGI_LUMEN	0.32446584308228843			
MIR3920	0.3243102161045138			
GO_SARCOLEMMA	0.32420889295322575			
GO_MESONEPHRIC_TUBULE_MORPHOGENESIS	0.3241520487103135			
