	Score	0.95 MoE	P-Value	Q-Value
GO_CARBOHYDRATE_MEDIATED_SIGNALING	0.3356597848470533			
GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	0.3285289601381099			
REACTOME_CD28_CO_STIMULATION	0.3255870804130893			
GO_CALCIUM_DEPENDENT_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	0.3242283168455011			
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.32319035314499445			
GO_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.3227210588899212			
IPA_H2AFX_UP	0.3193097160137806			
GO_REGULATION_OF_HISTONE_METHYLATION	0.3187566420111229			
GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_DN	0.31407517454025075			
GO_LYSINE_ACETYLATED_HISTONE_BINDING	0.3117379994448508			
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	0.3114778129450152			
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY	0.3113090830928929			
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_DN	0.31083703282048075			
IPA_MECP2_DN	0.3095241069155244			
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL	0.30944152219556725			
GO_RNA_POLYMERASE_I_REGULATORY_REGION_DNA_BINDING	0.3056822907042233			
GO_CIS_REGULATORY_REGION_BINDING	0.3052284015413142			
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS	0.3038548517256568			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.30349328598424324			
MIR10401_5P	0.30348935069383953			
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.30318393173310243			
GO_MEGAKARYOCYTE_DEVELOPMENT	0.3028056859270864			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.3010212420182536			
NFMUE1_Q6	0.29980746766219357			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.29919916951375575			
GO_TRANSCRIPTION_FACTOR_COMPLEX	0.29880490586026454			
MIR4481	0.2980573884060758			
GO_SWI_SNF_COMPLEX	0.2975733371394301			
GSE4748_LPS_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.296679004928161			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.29581615029492764			
GO_PHOSPHOTYROSINE_RESIDUE_BINDING	0.2956362066762029			
GO_GATOR2_COMPLEX	0.29555459239362897			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.29540052543517564			
GO_HISTONE_METHYLATION	0.2949550532161983			
GO_HISTONE_METHYLTRANSFERASE_ACTIVITY	0.29492912365838936			
GO_MYOFIBROBLAST_DIFFERENTIATION	0.2946904930044062			
GO_REGULATION_OF_MYOFIBROBLAST_DIFFERENTIATION	0.2946904930044062			
GO_SPERM_CHROMATIN_CONDENSATION	0.2945988173282645			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.29458992058956257			
GSE35825_IFNA_VS_IFNG_STIM_MACROPHAGE_DN	0.29353268114767106			
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION	0.29280511028214606			
