	Score	0.95 MoE	P-Value	Q-Value
CSHL1_TARGET_GENES	0.3079582761430013			
HOWLIN_CITED1_TARGETS_1_DN	0.3044345674847166			
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	0.3034826825177688			
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_ENDOTHELIN	0.30267631323930344			
MIR6883_3P	0.30197851616098			
GO_METANEPHRIC_MESENCHYMAL_CELL_DIFFERENTIATION	0.2994428086047831			
MIR4528	0.29813673176264865			
GSE45365_NK_CELL_VS_CD8_TCELL_UP	0.29271294502988904			
TGAYRTCA_ATF3_Q6	0.2921498356970918			
GO_CORTICAL_ENDOPLASMIC_RETICULUM	0.2919244580455215			
WANG_LMO4_TARGETS_DN	0.2914365136446557			
ZBTB24_TARGET_GENES	0.290401254349318			
AMIT_SERUM_RESPONSE_120_MCF10A	0.28934423648955354			
SMITH_TERT_TARGETS_UP	0.2887534660461892			
PID_DELTA_NP63_PATHWAY	0.288597970237484			
GSE22611_UNSTIM_VS_6H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	0.2880332934074955			
GO_ENDOPLASMIC_RETICULUM_ORGANIZATION	0.287390314665429			
SCHWAB_TARGETS_OF_BMYB_POLYMORPHIC_VARIANTS_DN	0.2854232670375218			
MIR503_3P	0.28532891867284			
GO_STEREOCILIUM_MEMBRANE	0.28463261555905256			
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	0.2843204839606826			
IPA_SET_UP	0.2841373100955727			
GSE26023_PHD3_KO_VS_WT_NEUTROPHIL_HYPOXIA_DN	0.28404383818038165			
GSE20366_CD103_KLRG1_DP_VS_DN_TREG_DN	0.2839912363293302			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.28393426280289813			
