	Score	0.95 MoE	P-Value	Q-Value
GSE42021_TREG_VS_TCONV_PLN_DN	0.408257571493464			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.39458037790627964			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.388312907711283			
LIU_CMYB_TARGETS_UP	0.38311298116137216			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.3770948109269804			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.3769718622332644			
SENESE_HDAC3_TARGETS_DN	0.3764471514854352			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3748352810692869			
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.3745267721283815			
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.3744074530146117			
DANG_MYC_TARGETS_DN	0.37234546332055585			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.3715569847752936			
GSE2826_WT_VS_XID_BCELL_DN	0.37155440709430726			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.37081724340567696			
WANG_LMO4_TARGETS_UP	0.3706916421385189			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.3703828512376255			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.3694018155347745			
GO_FATTY_ACID_ELONGATION	0.3692668547727993			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.36884932942797666			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.36873279083663096			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.36856395968850064			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3684808915882807			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.36820474541760234			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.36641284672956875			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.36592007376445035			
ERBB2_UP.V1_UP	0.36559033455049195			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.3655210249134178			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.36532107459688645			
ONDER_CDH1_SIGNALING_VIA_CTNNB1	0.36480440762446475			
GO_CELLULAR_RESPONSE_TO_LEPTIN_STIMULUS	0.36477987045057547			
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	0.36450490364632643			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.3639952541795392			
CHEN_HOXA5_TARGETS_9HR_DN	0.3639602334685013			
JIANG_HYPOXIA_NORMAL	0.36392550799804185			
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP	0.3636028153515884			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.3635754078083062			
YIH_RESPONSE_TO_ARSENITE_C5	0.3632384501426951			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.3629512766338774			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.36291925917214507			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.362804280501759			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.3623218083613022			
MELLMAN_TUT1_TARGETS_DN	0.36221313878762923			
NUYTTEN_NIPP1_TARGETS_DN	0.36192922500238883			
GOZGIT_ESR1_TARGETS_DN	0.3619197168868535			
GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	0.3616063962644724			
GO_RUFFLE_ORGANIZATION	0.36136776789258757			
GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	0.36113984953040834			
BURTON_ADIPOGENESIS_9	0.3611261241904064			
MOHANKUMAR_HOXA1_TARGETS_UP	0.3608257057802582			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.36015417546569256			
GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.36011926937713457			
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.3598766368483528			
PID_ERBB1_INTERNALIZATION_PATHWAY	0.35971419950170086			
MASSARWEH_TAMOXIFEN_RESISTANCE_DN	0.3596931332745902			
MEK_UP.V1_UP	0.3592685587967619			
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	0.35893579885964916			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.35861690951581615			
GO_CORTICAL_ENDOPLASMIC_RETICULUM	0.3584451407506445			
ENGELMANN_CANCER_PROGENITORS_UP	0.3579759677862346			
LIAO_METASTASIS	0.35777972116841056			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.3577395364759844			
PID_AJDISS_2PATHWAY	0.3576984678236476			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.35769129477543454			
LTE2_UP.V1_UP	0.35757805879018645			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.357205776484503			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.35717076553230254			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP	0.35710090307872344			
HELLER_HDAC_TARGETS_UP	0.3569257511413936			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.35676639438144275			
ZNF134_TARGET_GENES	0.35662663043045595			
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.35653678005075473			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.35650698299210515			
GO_MYOSIN_BINDING	0.35643493661084685			
MIR8059	0.35641932064208026			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.35628337025125273			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3561243402118315			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.355686043575793			
PID_FAK_PATHWAY	0.35567817435430554			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.3554279745380117			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.3554145173451284			
IPA_NFE2L2_DN	0.3551232398654232			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3547858945313004			
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.35465627081361756			
GO_CELL_CORTEX	0.3546079940354273			
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_DN	0.35424187117917977			
KYNG_DNA_DAMAGE_BY_4NQO	0.35418670204999425			
GO_ENDOSOME_ORGANIZATION	0.3541666584756518			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.3541665914164277			
GO_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.35370567517843576			
TBK1.DF_UP	0.35358880807131693			
REACTOME_PEXOPHAGY	0.3535824184332558			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.3535667389633217			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.35354822560493904			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3534413809312483			
LMNB2_TARGET_GENES	0.3534081272207574			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.3532843933674022			
PID_EPHB_FWD_PATHWAY	0.3532589567747457			
IGLV5_37_TARGET_GENES	0.3529981983492647			
RAF_UP.V1_DN	0.3529283235547295			
PID_NECTIN_PATHWAY	0.35285336396201467			
LEI_MYB_TARGETS	0.35257854087781193			
GSE2826_WT_VS_BTK_KO_BCELL_DN	0.35249686096918614			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.35246032279628653			
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER	0.3524291496725809			
GO_LAMININ_BINDING	0.3521370297915919			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.3520231127664442			
HAN_SATB1_TARGETS_UP	0.35189098991211387			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.3517305057295295			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS_NAD_P_AS_ACCEPTOR	0.3515388214406814			
