	Score	0.95 MoE	P-Value	Q-Value
GO_PLASMA_MEMBRANE_RAFT_ORGANIZATION	0.3923349675801986			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3817965796240092			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.36667462093661196			
GO_MIDBODY_ABSCISSION	0.3655450039413789			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.3653949819854031			
GO_CELLULAR_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	0.36485690209544247			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.36459938685274346			
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	0.36416958378190845			
NUYTTEN_NIPP1_TARGETS_DN	0.36282051549516153			
GO_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	0.3618184983455752			
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.36172113377918974			
FARMER_BREAST_CANCER_CLUSTER_3	0.36171756386156967			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3600945368586906			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.3594154750630024			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.35740825234407647			
LU_EZH2_TARGETS_UP	0.35732144627519985			
GO_REGULATION_OF_RUFFLE_ASSEMBLY	0.35695739756647926			
SFMBT1_TARGET_GENES	0.3567322409772363			
CROMER_METASTASIS_DN	0.3567152327995017			
CHIBA_RESPONSE_TO_TSA_DN	0.35622033172616735			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.35604432538351116			
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	0.3552028981600785			
GO_POTASSIUM_CHANNEL_INHIBITOR_ACTIVITY	0.355189475139007			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.3549300904312629			
GO_ASTROCYTE_PROJECTION	0.3541986362828199			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.3541222384254397			
ENK_UV_RESPONSE_EPIDERMIS_UP	0.353860622166492			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.353780817923985			
REACTOME_SIGNALING_BY_PTK6	0.35363423906529035			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.35357038092362303			
GO_CLUSTERING_OF_VOLTAGE_GATED_SODIUM_CHANNELS	0.3533534240114084			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.35328523844116927			
GO_REGULATION_OF_WATER_LOSS_VIA_SKIN	0.35323819833577136			
IPA_NFKBIA_DN	0.3531823008594892			
