	Score	0.95 MoE	P-Value	Q-Value
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	0.39583101134931603			
GO_NEGATIVE_REGULATION_OF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.36942221237762574			
DORN_ADENOVIRUS_INFECTION_12HR_UP	0.3674689612300255			
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN	0.3668110604119027			
GO_ASTER	0.3656256110265198			
SFMBT1_TARGET_GENES	0.36399811636834706			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.363689390611771			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.36228661158611425			
GSE42021_TREG_VS_TCONV_PLN_DN	0.361904041398237			
MOHANKUMAR_HOXA1_TARGETS_UP	0.3612366768533407			
MIR4686	0.36085677766654756			
IPA_TRIM28_DN	0.3578849545934071			
IPA_NONO_UP	0.3578849545934071			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.3568445716473953			
MIR10397_3P	0.3557791737078288			
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	0.35472167727418336			
GO_POSITIVE_REGULATION_OF_VIRAL_RELEASE_FROM_HOST_CELL	0.3536322909538162			
P53_DN.V1_UP	0.3535310387740327			
EGFR_UP.V1_DN	0.3526336933570851			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.35258399116012834			
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	0.35176860474442084			
MIR196A_3P	0.3515206087547027			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.35073598376625864			
GO_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION	0.350670280446383			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.35058784156941986			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.350243058718475			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	0.3492953320408868			
MIR4776_5P	0.3492404757008662			
ERBB2_UP.V1_DN	0.34891298762068956			
MIR200B_5P	0.3485971750975715			
PYEON_HPV_POSITIVE_TUMORS_DN	0.3478203019423387			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.3477417342481141			
MIR200A_5P	0.3477349883956927			
MIR17_5P	0.3473918962469166			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.34731062055711326			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.34700660506006875			
LIAO_METASTASIS	0.3466218974684914			
MIR93_5P	0.34636308909361674			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.34603902432709827			
MIR20B_5P	0.3458902893282175			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.3457013391586335			
MIR519D_3P	0.34566370166057714			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.34542674921870486			
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	0.34541453261934413			
GO_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.34466800727529795			
MIR3910	0.3445826588477049			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.3443849303878572			
GO_MITOTIC_SPINDLE_ASSEMBLY	0.3442422429001839			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	0.3442085380102044			
GSE45365_HEALTHY_VS_MCMV_INFECTION_BCELL_IFNAR_KO_DN	0.34412651283448964			
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER	0.34294322766656915			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.342761284512715			
GSE45365_CD8A_DC_VS_CD11B_DC_UP	0.34275740498645635			
GO_PHARYNGEAL_SYSTEM_DEVELOPMENT	0.34254922823230455			
GEORGES_TARGETS_OF_MIR192_AND_MIR215	0.3422445873523766			
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	0.3420497531856069			
CRX_NRL_DN.V1_DN	0.3419679168838249			
MIR6757_5P	0.34194123727255693			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.34193161984348086			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.34186041580682763			
MIR92A_1_5P	0.3416946131033311			
