	Score	0.95 MoE	P-Value	Q-Value
BIOCARTA_AGR_PATHWAY	0.39321314184139955			
GO_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	0.3907573414533192			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.3897764875009731			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.38867110490322826			
GO_SALIVARY_GLAND_DEVELOPMENT	0.38680296587021895			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3853288192558793			
SESTO_RESPONSE_TO_UV_C8	0.3847207288313745			
GO_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	0.3833404528346755			
NR0B1_TARGET_GENES	0.38268161814936347			
GO_TISSUE_MORPHOGENESIS	0.382238974812187			
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.3819923703800767			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.38143046358773547			
GO_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	0.3814210959340421			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.37955902726510427			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.37927673916020804			
SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	0.3786359605508717			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.3785202786101226			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.37787958831346036			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.37785053341603064			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.37770678794506773			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.37766507837969376			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.37729007534153025			
WANG_LMO4_TARGETS_DN	0.3772868645607296			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.3768059507796577			
CERVERA_SDHB_TARGETS_1_UP	0.376452936428276			
GO_RECEPTOR_CATABOLIC_PROCESS	0.3760245778233746			
ZNF418_TARGET_GENES	0.3755739758783552			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.37542978224064727			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.3752237021354661			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.3743952698537752			
KAAB_FAILED_HEART_ATRIUM_DN	0.37404671411827			
GO_LUNG_MORPHOGENESIS	0.3736036248066241			
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.3728565152283368			
WENDT_COHESIN_TARGETS_UP	0.37265409908222463			
GO_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER	0.3719920568891433			
ERBB2_UP.V1_UP	0.37166749233718677			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.3710477818334421			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.37099843309177055			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.37072683983056426			
GO_EPITHELIAL_TUBE_MORPHOGENESIS	0.3706634036415232			
GO_ENDOCARDIAL_CELL_DIFFERENTIATION	0.37056785790985			
LINSLEY_MIR16_TARGETS	0.3704462290911868			
GO_LAMININ_COMPLEX	0.3704267775939612			
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.37029597532776265			
LIU_SOX4_TARGETS_UP	0.3698608331286399			
GO_INSULIN_LIKE_GROWTH_FACTOR_BINDING	0.36984646782063113			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.36965637740293344			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.36959698397206564			
AMIT_EGF_RESPONSE_60_HELA	0.3694354022562916			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3693601980028667			
GO_NEGATIVE_REGULATION_BY_HOST_OF_SYMBIONT_MOLECULAR_FUNCTION	0.3692492194823518			
PID_FAK_PATHWAY	0.36904274540211324			
GO_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	0.3690120802912233			
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.3687875741773228			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.36857020402688473			
GO_ENDOTHELIAL_CELL_DEVELOPMENT	0.3683573534438518			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.36798301517308035			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.36787242117658064			
IPA_MEF2D_DN	0.3677389852654543			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.3675294284842753			
JOHNSTONE_PARVB_TARGETS_3_UP	0.3675199680117736			
PID_INTEGRIN4_PATHWAY	0.3675020430521875			
HALLMARK_GLYCOLYSIS	0.3673555487857306			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.3671844854609277			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.3671476685764738			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.3670915176955727			
GO_PHOSPHOLIPASE_A2_INHIBITOR_ACTIVITY	0.3664547944213526			
REACTOME_EPH_EPHRIN_SIGNALING	0.3662704920563905			
GO_MESODERM_MORPHOGENESIS	0.36624317185226096			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.36620364225087876			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.36554099560961045			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.3654970714889257			
GO_ERBB2_SIGNALING_PATHWAY	0.3651736819735565			
ACACTGG_MIR199A_MIR199B	0.364905096047991			
MIR142_3P	0.3648587639615211			
GO_SARCOLEMMA	0.3645525233920586			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3643883731264993			
BAE_BRCA1_TARGETS_UP	0.36424224072280703			
KANG_DOXORUBICIN_RESISTANCE_DN	0.36421923088203084			
MIR92A_1_5P	0.36407546741018665			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.3640468339457663			
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.3638995183025737			
GO_SKELETAL_SYSTEM_MORPHOGENESIS	0.3638208354292272			
HES2_TARGET_GENES	0.3638054759840217			
IVANOVSKA_MIR106B_TARGETS	0.36371560947671994			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.3635425048184162			
REACTOME_SIGNALING_BY_MET	0.3633144697009231			
JIANG_HYPOXIA_NORMAL	0.3630595642939156			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.3630462771533258			
ZIRN_TRETINOIN_RESPONSE_UP	0.36300750920966735			
LTE2_UP.V1_DN	0.3629057773367023			
GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY	0.3628578240389898			
GO_FIBRONECTIN_BINDING	0.36282173722792527			
GO_CELL_CORTEX	0.3627041145511203			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.3627017551993613			
EGFR_UP.V1_UP	0.362640823779908			
GO_REGULATION_OF_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.36215368420645044			
WELCSH_BRCA1_TARGETS_UP	0.362021488884439			
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	0.36187730220498227			
VERRECCHIA_RESPONSE_TO_TGFB1_C5	0.3617629562071257			
GO_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	0.3616655758019526			
HAN_SATB1_TARGETS_UP	0.36163999996046325			
GSE42021_TREG_VS_TCONV_PLN_DN	0.36159948771345535			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.36154720234675414			
AP1_Q4_01	0.3615264951241031			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3615154439777636			
GO_NEGATIVE_REGULATION_OF_LIPASE_ACTIVITY	0.3613591976995181			
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	0.36135550885961637			
