	Score	0.95 MoE	P-Value	Q-Value
MIR3150B_3P	0.3549802422634201			
MIR4784	0.3540325441398889			
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_DN	0.34624562376648776			
PID_CXCR3_PATHWAY	0.3456296794569587			
IPA_KAT2B_DN	0.34442950027009206			
WIKMAN_ASBESTOS_LUNG_CANCER_DN	0.34283432555739723			
MIR6500_3P	0.34279820178148107			
GO_IMP_BIOSYNTHETIC_PROCESS	0.34021572324272303			
MIR4428	0.33947994622430205			
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	0.3390153797080626			
REACTOME_MYOGENESIS	0.33597135463527444			
OVOL3_TARGET_GENES	0.3357357349091239			
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.33504398941687347			
IIZUKA_LIVER_CANCER_EARLY_RECURRENCE	0.3335703845317634			
GSE22443_NAIVE_VS_ACT_AND_IL12_TREATED_CD8_TCELL_UP	0.3323310016770672			
GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	0.33148376593820633			
SABATES_COLORECTAL_ADENOMA_DN	0.3299447414612194			
IPA_KLF13_UP	0.3288480410701651			
MIR598_5P	0.3281743816812136			
MIR4497	0.32804126473157796			
MIR208B_3P	0.3274919384854083			
GO_NUCLEAR_BODY_ORGANIZATION	0.3265536538427761			
TNCATNTCCYR_UNKNOWN	0.32650501869247134			
GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	0.3264436969943292			
MYB_Q5_01	0.32539272851911943			
GSE3982_MAST_CELL_VS_DC_UP	0.3251000632172065			
GO_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.3249702075896251			
MIR7161_3P	0.3240227554391382			
MIR128_2_5P	0.32329463731233204			
GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	0.3230024544300152			
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42	0.32269131314399985			
GO_MRNA_3_SPLICE_SITE_RECOGNITION	0.3217672365330035			
SU_PANCREAS	0.32172964814339794			
JNK_DN.V1_DN	0.3214524510101961			
GSE27786_NKCELL_VS_NKTCELL_DN	0.3212707238455296			
REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS	0.32095029189240404			
MIR10398_5P	0.32064209722593545			
GTF3A_TARGET_GENES	0.3199278615705235			
PTEN_DN.V1_DN	0.3196786331259004			
