	Score	0.95 MoE	P-Value	Q-Value
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.5310779822201219			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5262920819373089			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.525302222000207			
PID_NECTIN_PATHWAY	0.5228787129339181			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5214102911588215			
GO_ADHERENS_JUNCTION	0.5204256842726912			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.519534267609131			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.5192375421269922			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5150112667578317			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5147913233748886			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.5139194788362755			
GO_LAMININ_COMPLEX	0.5132105290377463			
GO_COSTAMERE	0.5112858229452836			
PID_INTEGRIN4_PATHWAY	0.5106065257392374			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.510569022946211			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5079517758451267			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.5075596894268023			
GO_CELL_CORTEX	0.5064895547158013			
MEK_UP.V1_UP	0.5060385279725732			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5059287131156608			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.505145000554579			
NR0B1_TARGET_GENES	0.5034276984856084			
GO_ACTIN_FILAMENT_BUNDLE	0.5028376889395578			
PLASARI_TGFB1_TARGETS_1HR_UP	0.5026591998203477			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5024391472784381			
GO_LUNG_VASCULATURE_DEVELOPMENT	0.5020188383527081			
PID_FAK_PATHWAY	0.500350360127547			
GO_CELL_JUNCTION_ASSEMBLY	0.500247259223558			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.500238010271189			
PASINI_SUZ12_TARGETS_DN	0.49995129508427927			
CRX_DN.V1_DN	0.4998093974302246			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.49959393809600383			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.49954140670482805			
GO_ACTIN_BASED_CELL_PROJECTION	0.498269093103618			
GO_SARCOLEMMA	0.4980244964090416			
KIM_WT1_TARGETS_12HR_UP	0.4976813842238451			
GO_CELL_JUNCTION_ORGANIZATION	0.49762854979999716			
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	0.4975293591833702			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.4974077730102714			
GO_CELL_JUNCTION	0.49704012724114016			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.4967792341281561			
GO_INTERCALATED_DISC	0.496740038199394			
IGLV5_37_TARGET_GENES	0.49669505081359994			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.49658639874353555			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4964989447295082			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.49596857085364404			
GO_CELL_CELL_CONTACT_ZONE	0.4957650257069966			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.4956082161086042			
GO_ACTOMYOSIN	0.4950008483613918			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.49481269026262986			
CRX_NRL_DN.V1_DN	0.49471376848113296			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.49444645974990453			
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.4940983908631166			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.49371952249824036			
IPA_MSLN_UP	0.4932231888487279			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.49314562212379376			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.49285636799690064			
GO_BASEMENT_MEMBRANE	0.49242501507121633			
GO_PLASMA_MEMBRANE_REGION	0.492281653343048			
PID_SYNDECAN_3_PATHWAY	0.4920153670940246			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4909678222746506			
BIOCARTA_P53HYPOXIA_PATHWAY	0.49085632345579894			
GO_CELL_CELL_JUNCTION	0.4908167877021123			
GO_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.4901951508025772			
REACTOME_LAMININ_INTERACTIONS	0.4900946832265309			
REACTOME_CELL_CELL_COMMUNICATION	0.4898555715574967			
CERVERA_SDHB_TARGETS_1_UP	0.489477115882121			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.48921832463490683			
TBK1.DF_UP	0.4889248068977769			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.48878352841360573			
HOELZEL_NF1_TARGETS_UP	0.4887441677237015			
BURTON_ADIPOGENESIS_7	0.48871824306103423			
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.48848089133615435			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.4884286029938152			
GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION	0.48840483360856507			
DELACROIX_RARG_BOUND_MEF	0.4878951932752707			
AP1_Q2_01	0.48767514655197924			
GO_CADHERIN_BINDING	0.4870812825314041			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4870384356247991			
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.48679854729498434			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.48621893245683073			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.486111720621352			
BORLAK_LIVER_CANCER_EGF_UP	0.486041799905803			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.48566060857004184			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.4856440692964674			
ESC_J1_UP_LATE.V1_UP	0.4855465400629891			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.48539927308006575			
GO_TISSUE_MIGRATION	0.48512615633868217			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.48477159063488656			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.48469482366421346			
GO_SYNAPTIC_CLEFT	0.484563309904904			
GO_APICAL_JUNCTION_COMPLEX	0.4840314734555077			
KANG_FLUOROURACIL_RESISTANCE_UP	0.4839955083179059			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.4839462275260815			
EGFR_UP.V1_UP	0.4834692578642808			
GO_MEMBRANE_BIOGENESIS	0.4833947977465395			
ESC_V6.5_UP_EARLY.V1_DN	0.4833326486847666			
GO_CALCIUM_ION_BINDING	0.48321342333009193			
RAF_UP.V1_UP	0.4831140331778345			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.48266816509574023			
WGGAATGY_TEF1_Q6	0.4824976746216671			
IPA_NFE2L3_DN	0.4823337570350759			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.4822059662396348			
YAMAZAKI_TCEB3_TARGETS_UP	0.48219218760119903			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.48198288396899613			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.4818742963090342			
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES	0.48172905367310165			
TIEN_INTESTINE_PROBIOTICS_2HR_DN	0.4816752132977115			
GO_LAMININ_BINDING	0.4815402741519176			
REACTOME_HS_GAG_BIOSYNTHESIS	0.48149409712847097			
