	Score	0.95 MoE	P-Value	Q-Value
SINGH_NFE2L2_TARGETS	0.4874690552730381			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4867409522704139			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.48487541232428955			
MEK_UP.V1_UP	0.4830679559320193			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4821204448455338			
GO_COSTAMERE	0.48053691718737457			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.47978659296781995			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4792467220568005			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.4789926192553578			
NR0B1_TARGET_GENES	0.4780446834504373			
BURTON_ADIPOGENESIS_7	0.47612478250758783			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.4738597579973432			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4729175324974987			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.47287906201157803			
GO_ACTIN_FILAMENT_BUNDLE	0.4724899486935582			
IPA_NFE2L3_UP	0.4722164757720696			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.4719248331121325			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.47073753330748425			
DELACROIX_RARG_BOUND_MEF	0.47072031296184313			
GO_I_BAND	0.4706994178593562			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.4704870582456439			
BORLAK_LIVER_CANCER_EGF_UP	0.4703245149283552			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.47027230002990716			
WOOD_EBV_EBNA1_TARGETS_UP	0.46898370263826544			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.46816066631128006			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.46796911670080765			
