	Score	0.95 MoE	P-Value	Q-Value
GO_TRANSPORT_VESICLE	0.2922306782508847			
GO_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	0.28861924199357397			
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.2867119377201848			
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.28268214375509376			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER	0.2819799446417872			
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.2811297279510413			
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	0.28102252715144677			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN	0.28024088235434347			
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	0.2797930105762037			
IPA_JUP_UP	0.27946010451745124			
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	0.2780378641420237			
NOTCH_DN.V1_DN	0.27648880634188205			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.2761057817087708			
GO_IRON_COORDINATION_ENTITY_TRANSPORT	0.2749644621384129			
GO_SODIUM_CHANNEL_ACTIVITY	0.27477391133641804			
GO_NEURONAL_ION_CHANNEL_CLUSTERING	0.2747093773781683			
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	0.2743355712885668			
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS	0.27397865782930014			
MIR6859_3P	0.27374697506343215			
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	0.2728965262850244			
GO_SEQUESTERING_OF_METAL_ION	0.27228496230526233			
TGAYRTCA_ATF3_Q6	0.27178678983059584			
GO_SUCKLING_BEHAVIOR	0.27136150491943967			
MIR615_5P	0.27113618454505256			
BENPORATH_ES_WITH_H3K27ME3	0.2710209281810878			
GO_VESICLE_LOCALIZATION	0.27083630194498304			
GO_LUNG_ALVEOLUS_DEVELOPMENT	0.2682482017792105			
BIOCARTA_PDZS_PATHWAY	0.26796096131869135			
GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP	0.26779620649837865			
AR_03	0.26699344654458645			
ATF3_Q6	0.2669147853013226			
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2	0.2667122590727253			
GO_CLUSTERING_OF_VOLTAGE_GATED_SODIUM_CHANNELS	0.2662716805820476			
MIR4700_5P	0.26588139878698075			
GO_IRON_ION_HOMEOSTASIS	0.2654967257083264			
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	0.26538220124297923			
GO_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS	0.26529215960981994			
GO_TRANSPORT_VESICLE_MEMBRANE	0.26493714638183025			
KIM_MYC_AMPLIFICATION_TARGETS_DN	0.2646992906888755			
GO_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.26458394137496277			
MONTERO_THYROID_CANCER_POOR_SURVIVAL_DN	0.2642626566207028			
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN	0.264214803244456			
GO_ORGANELLE_SUBCOMPARTMENT	0.2640892806920148			
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	0.2638952428428043			
STAT3_02	0.2636387024430736			
BENPORATH_SUZ12_TARGETS	0.2633818750666986			
MEL18_DN.V1_DN	0.26288920595634796			
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.2627151652037606			
SARTIPY_BLUNTED_BY_INSULIN_RESISTANCE_DN	0.2627002243735175			
MIR6784_3P	0.26256782404696327			
GO_VESICLE_CYTOSKELETAL_TRAFFICKING	0.26245434835359516			
IGLV5_37_TARGET_GENES	0.2624279535502305			
GO_EXOCYST	0.2622952708279085			
GO_EXOCYTIC_VESICLE	0.26179077974552584			
GSE11818_WT_VS_DICER_KO_TREG_UP	0.26175847161203425			
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.2616220150332841			
MIR7974	0.26158497075858744			
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.2612089085714997			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.2611838616603392			
MIR3183	0.2611645770370771			
PEREZ_TP63_TARGETS	0.26104793024061856			
IPA_MAFF_UP	0.2610224086898742			
GO_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	0.2600078830068111			
MIR873_3P	0.2599262959365828			
PEREZ_TP53_AND_TP63_TARGETS	0.25979782777879606			
REACTOME_LONG_TERM_POTENTIATION	0.25978564074805865			
GO_PROTON_TRANSPORTING_V_TYPE_ATPASE_V1_DOMAIN	0.2595531914313031			
FREAC4_01	0.2593532983485405			
GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP	0.2592862178336817			
PEREZ_TP53_TARGETS	0.25884838534478943			
VALK_AML_CLUSTER_8	0.2587097329417997			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_HEME_PROTEIN_AS_ACCEPTOR	0.2584622116957189			
GO_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.25841919883406655			
ATF6_01	0.25839580525028416			
GO_MIDDLE_EAR_MORPHOGENESIS	0.25827064172251063			
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0.2581454880141931			
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.25812392383723926			
GO_DOPAMINERGIC_SYNAPSE	0.25779298657192085			
SIX4_TARGET_GENES	0.2576458595034989			
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.25764446567913163			
MIR5088_3P	0.2574082158568324			
GSE15930_STIM_VS_STIM_AND_IL12_24H_CD8_T_CELL_DN	0.25738308075795596			
MIR6081	0.25736933839252096			
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	0.2573242793074522			
MIR8089	0.2572544157288134			
MIR451B	0.2568405079978044			
IPA_CTCFL_UP	0.25662629472885523			
GO_PANCREAS_DEVELOPMENT	0.25627552699629086			
MIR203B_5P	0.25620912711085814			
GO_MAINTENANCE_OF_SYNAPSE_STRUCTURE	0.25577060045155425			
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	0.25574437139884154			
IPA_DBP_UP	0.25561238331358566			
GSE18893_CTRL_VS_TNF_TREATED_TCONV_24H_DN	0.25558283819608096			
GO_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	0.2555083000446674			
GO_CORTICOTROPIN_RELEASING_HORMONE_RECEPTOR_BINDING	0.25544222144772527			
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	0.2554189937444292			
GO_NEGATIVE_REGULATION_OF_ACTIN_NUCLEATION	0.2552094870142122			
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP	0.2547478645453749			
GSE22886_IL2_VS_IL15_STIM_NKCELL_UP	0.25456636303870006			
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN	0.25454973288930066			
GO_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	0.25449614701694867			
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.25448504461555516			
GO_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	0.2543974760546316			
GO_CHONDROITIN_SULFATE_BINDING	0.25429390031384586			
