	Score	0.95 MoE	P-Value	Q-Value
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.387238060290306			
GROSS_HYPOXIA_VIA_ELK3_UP	0.38334480132539417			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.38265165407885227			
GO_APPENDAGE_DEVELOPMENT	0.380887885538215			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.3796725998602794			
GO_NUCLEAR_EUCHROMATIN	0.37810792759157424			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.3776813269616836			
PID_EPHA2_FWD_PATHWAY	0.37762820682637405			
CAIRO_HEPATOBLASTOMA_UP	0.37609263580327473			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	0.3753753391293104			
GO_CARDIAC_VENTRICLE_MORPHOGENESIS	0.37449978550120977			
MOHANKUMAR_HOXA1_TARGETS_UP	0.3731626485746155			
MIR4772_5P	0.3726592466409528			
RAF_UP.V1_DN	0.37219575423344337			
GO_APPENDAGE_MORPHOGENESIS	0.3686794427782846			
GSE30083_SP3_VS_SP4_THYMOCYTE_UP	0.3679261981275362			
DOANE_RESPONSE_TO_ANDROGEN_DN	0.36781020015889576			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.36743495846833296			
MASSARWEH_TAMOXIFEN_RESISTANCE_DN	0.36741298586641236			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	0.36557134492462096			
GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.36419561703759257			
GO_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.3634307536311978			
HAND1_TARGET_GENES	0.3626659772145424			
CRX_NRL_DN.V1_DN	0.36248096215849684			
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	0.36078719689194644			
GO_CELL_CELL_SIGNALING_BY_WNT	0.36074056894563183			
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	0.36051057030878986			
MIR6843_3P	0.36042895338977665			
GO_EMBRYONIC_MORPHOGENESIS	0.3602623874013478			
PID_NCADHERIN_PATHWAY	0.36011669772436233			
PID_RET_PATHWAY	0.35958974710860064			
GO_EYE_MORPHOGENESIS	0.3592722471528686			
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.3592321196271615			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	0.35877371225609717			
MIR4705	0.3586401540219475			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.35860986710765036			
GSE42021_TREG_VS_TCONV_PLN_DN	0.3585749578466952			
GO_TUBE_FORMATION	0.3580857316288482			
GO_HEART_MORPHOGENESIS	0.3578816020711423			
GO_EPITHELIAL_TUBE_MORPHOGENESIS	0.357740008868038			
GO_NEPHRON_EPITHELIUM_DEVELOPMENT	0.3571376887347109			
PID_AJDISS_2PATHWAY	0.3568014971649944			
MIR6848_3P	0.3566608028168711			
GO_INTERCALATED_DISC	0.35623060887447733			
GO_BODY_MORPHOGENESIS	0.3561833523911619			
GO_RENAL_TUBULE_DEVELOPMENT	0.3560775044850203			
SCIBETTA_KDM5B_TARGETS_DN	0.35517752589109036			
GO_PROTEIN_C_TERMINUS_BINDING	0.3549364179709067			
MIR6794_5P	0.35484984541355363			
NRF2_Q4	0.3546447570410171			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.35394947871456395			
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	0.35373436629491994			
GO_MESONEPHRIC_TUBULE_MORPHOGENESIS	0.35358607885233784			
GO_NEPHRON_TUBULE_FORMATION	0.35326425614953194			
PID_EPHB_FWD_PATHWAY	0.35320662686727733			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.35307446951274063			
GO_EMBRYO_DEVELOPMENT	0.35289016376078447			
GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN	0.3528785428891527			
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.35263056514992586			
GO_MUSCLE_CELL_DEVELOPMENT	0.3521067376556986			
REACTOME_EPH_EPHRIN_SIGNALING	0.3519548620959523			
SANSOM_WNT_PATHWAY_REQUIRE_MYC	0.35184991675795524			
GO_EPITHELIAL_TUBE_FORMATION	0.35148696296589976			
GO_RENAL_SYSTEM_DEVELOPMENT	0.3514278040781195			
GO_CARDIAC_CHAMBER_MORPHOGENESIS	0.35135180086306367			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.3513276354065068			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.35132112554162825			
GO_ROOF_OF_MOUTH_DEVELOPMENT	0.35121787152911577			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.351105470238766			
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	0.3510231929530068			
GO_NEURON_PROJECTION_GUIDANCE	0.35101023296129075			
GO_CELL_CELL_CONTACT_ZONE	0.3507646877084928			
MIR4716_3P	0.35066875050213786			
XU_GH1_AUTOCRINE_TARGETS_DN	0.3506496892531929			
STEIN_ESR1_TARGETS	0.3504977403026691			
GO_CYTOSKELETON_ORGANIZATION	0.3502299224433799			
GO_CARDIAC_CHAMBER_DEVELOPMENT	0.3501849892495656			
GO_CANONICAL_WNT_SIGNALING_PATHWAY	0.35006915067873295			
YAMAZAKI_TCEB3_TARGETS_DN	0.349937342635179			
WANG_LMO4_TARGETS_UP	0.34973745168440906			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.3496034303109608			
GO_TUBE_CLOSURE	0.34953648424344547			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.3493489556808705			
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	0.34904766339391624			
GO_UROGENITAL_SYSTEM_DEVELOPMENT	0.34902336637710424			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.3490095777680806			
GO_MESENCHYMAL_CELL_DIFFERENTIATION	0.34845176053126997			
RADMACHER_AML_PROGNOSIS	0.3482831043783317			
GO_MESONEPHROS_DEVELOPMENT	0.3479822915768429			
SENESE_HDAC3_TARGETS_DN	0.3479185241112438			
ATGAAGG_MIR205	0.34791092726344114			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.34784092515124354			
GO_EMBRYONIC_APPENDAGE_MORPHOGENESIS	0.34776611805482116			
LIAO_METASTASIS	0.3477078088637486			
GO_NEURAL_TUBE_FORMATION	0.3476901768806861			
GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_UP	0.34758902224942345			
GO_TISSUE_MORPHOGENESIS	0.3474954991965852			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.34747842999821826			
GO_CELL_JUNCTION	0.3473732464237272			
GO_NEURAL_CREST_CELL_DIFFERENTIATION	0.3473562918691903			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_DN	0.347203008529995			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.34714255675764705			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.34703829096477445			
GO_MITOTIC_SPINDLE_ASTRAL_MICROTUBULE	0.3469863745246508			
MIR105_5P	0.3467809762419128			
GO_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.34671281665227915			
GO_ENDOSOMAL_TRANSPORT	0.346429277215403			
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	0.3460788642964501			
TSENG_ADIPOGENIC_POTENTIAL_UP	0.3458230785875625			
DITTMER_PTHLH_TARGETS_UP	0.3457947976818274			
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.3457068432755722			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.34559079402890375			
GO_HEAD_DEVELOPMENT	0.34513012942779336			
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.34491675740989874			
GO_NEPHRON_DEVELOPMENT	0.3448511455967388			
MIR873_5P	0.3447468186065187			
GO_DYSTROGLYCAN_BINDING	0.3447029692365768			
GO_NEPHRON_MORPHOGENESIS	0.3446333813389433			
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.34451302398792133			
MIR7853_5P	0.3444988667065174			
SENESE_HDAC1_TARGETS_DN	0.34448696992768024			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	0.34446953854670714			
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.3443387967067204			
GO_NEURAL_TUBE_DEVELOPMENT	0.344032273407577			
GO_SENSORY_ORGAN_MORPHOGENESIS	0.34400789453197494			
GO_REGULATION_OF_BASEMENT_MEMBRANE_ASSEMBLY_INVOLVED_IN_EMBRYONIC_BODY_MORPHOGENESIS	0.3440057167170042			
PATIL_LIVER_CANCER	0.34371807529924375			
GO_TUBE_MORPHOGENESIS	0.34361572832113435			
REACTOME_SIGNALING_BY_MET	0.3435202092649549			
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	0.343449488127914			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.3433569615179528			
PID_IGF1_PATHWAY	0.34330778618299723			
MIR520G_3P_MIR520H	0.3432673938012024			
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.3431463686518685			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.343083739225361			
CCACACA_MIR147	0.34308061665309686			
GO_EUCHROMATIN	0.3430083238266256			
MIR4463	0.34281699138856975			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.3427789521128688			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.34270566258407126			
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	0.34269915318643024			
CHEN_HOXA5_TARGETS_6HR_DN	0.342589712785991			
MIR936	0.3425432063810865			
GO_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.3425411504964398			
GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP	0.34240167567632673			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	0.3423400668231763			
GO_ASTER	0.34231418724747315			
BCAT.100_UP.V1_UP	0.3422352132141197			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.3421271566792905			
KIM_WT1_TARGETS_12HR_UP	0.34183365717492026			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.3414979641377677			
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	0.3411841628086461			
GO_REGULATION_OF_WNT_SIGNALING_PATHWAY	0.3410135913882233			
MCLACHLAN_DENTAL_CARIES_DN	0.34078974707604387			
GO_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	0.3407160298626063			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP	0.34058162220519006			
MIR4776_5P	0.34057876440469703			
GO_ALPHA_CATENIN_BINDING	0.34043210282468134			
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	0.3404250195748938			
RUIZ_TNC_TARGETS_DN	0.34033266380947874			
REACTOME_INACTIVATION_OF_CDC42_AND_RAC1	0.3403062163035706			
GO_MODIFICATION_OF_SYNAPTIC_STRUCTURE	0.34018404710770234			
GO_FACE_DEVELOPMENT	0.3401229870202466			
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	0.34007191932813063			
