	Score	0.95 MoE	P-Value	Q-Value
NUYTTEN_NIPP1_TARGETS_DN	0.49721940034210776			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.4936135562903309			
P53_DN.V1_UP	0.49187947753449474			
MEK_UP.V1_UP	0.48781575965117974			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.4875486043706789			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4836462571019536			
GO_COSTAMERE	0.47947745292350435			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.4793320750985742			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4779806590851811			
GO_CADHERIN_BINDING	0.47755545737362765			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.47684635672973025			
BORLAK_LIVER_CANCER_EGF_UP	0.4768176230247572			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.4757452882302748			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4752371852464908			
WU_CELL_MIGRATION	0.47521999202227305			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4748733888790439			
REACTOME_PTK6_REGULATES_RHO_GTPASES_RAS_GTPASE_AND_MAP_KINASES	0.4733007736708378			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.47309204709156993			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.4717326021373205			
NR0B1_TARGET_GENES	0.47166813212022			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.47124849375740663			
GU_PDEF_TARGETS_DN	0.47084144803302164			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.4706520986234586			
IPA_SNAI2_DN	0.4706025520331286			
JOHNSTONE_PARVB_TARGETS_3_UP	0.47022020734117653			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4699449262006431			
PROVENZANI_METASTASIS_DN	0.4687001099768356			
KOHOUTEK_CCNT1_TARGETS	0.46837628043598206			
LEI_MYB_TARGETS	0.46812531097049265			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.46623800666586007			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.46611359018809956			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.4660908435318343			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.465979081355708			
RAF_UP.V1_UP	0.4652875072714032			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.46506304499139434			
IGARASHI_ATF4_TARGETS_DN	0.4650010007397918			
EGFR_UP.V1_UP	0.4641350329623078			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.46408568241844933			
ERBB2_UP.V1_UP	0.46404662948527037			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.4640337207380067			
REACTOME_CELL_CELL_COMMUNICATION	0.46276374899275785			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.4622020928092209			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.4621297484730962			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.46185970865153153			
FORTSCHEGGER_PHF8_TARGETS_DN	0.4616281182232853			
FARMER_BREAST_CANCER_CLUSTER_3	0.46136457504821704			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.4608912984143163			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.46016471484338595			
