	Score	0.95 MoE	P-Value	Q-Value
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	0.36766519490070043			
GO_ACTIN_MODIFICATION	0.3652630832339058			
GO_GOLGI_VESICLE_FUSION_TO_TARGET_MEMBRANE	0.3635271706396695			
chr5q23	0.3612815527480797			
MIR649	0.3567063315040221			
GO_PARTURITION	0.35104444417137737			
GO_VESICLE_TRANSPORT_ALONG_ACTIN_FILAMENT	0.3499343160996065			
IPA_PGR_DN	0.3493087114544948			
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	0.3476585529452269			
GO_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY	0.3451230312185336			
GO_REGULATION_OF_CELL_FATE_SPECIFICATION	0.3442654477945745			
GO_POSITIVE_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.3434307987708224			
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	0.3427637717326833			
FORTSCHEGGER_PHF8_TARGETS_UP	0.342582826763955			
PID_P38_GAMMA_DELTA_PATHWAY	0.3421095296736759			
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN	0.34206291925424076			
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP	0.3418843434895399			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.3415881831199595			
JIANG_HYPOXIA_CANCER	0.34153493011888253			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.3413014065789132			
WHITFIELD_CELL_CYCLE_M_G1	0.34097880414452986			
GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP	0.3402197014706573			
IPA_SOX2_UP	0.3401382445039453			
PID_EPHA2_FWD_PATHWAY	0.3400323760254808			
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.3400115863508443			
GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP	0.3398391708368399			
GO_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	0.33962864931681774			
GO_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	0.33954078299036816			
GSE360_L_MAJOR_VS_T_GONDII_DC_UP	0.3389028719523181			
REACTOME_HS_GAG_BIOSYNTHESIS	0.33889801348010967			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.33781068321660285			
GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	0.33775566770717463			
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	0.3374199989606761			
KONG_E2F1_TARGETS	0.337199227862307			
LANDIS_ERBB2_BREAST_TUMORS_65_DN	0.3370222724998462			
GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_UP	0.33701228106861186			
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	0.3365199885946084			
GO_SAM_COMPLEX	0.3358766032236689			
GO_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.33583629376145785			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.33577052997128815			
MALONEY_RESPONSE_TO_17AAG_DN	0.3354668275626985			
MIR4718	0.33544196181388514			
KORKOLA_TERATOMA	0.3351223692930093			
ZA_Q9UM89_TARGET_GENES	0.3350552578480654			
GO_ENDOCRINE_HORMONE_SECRETION	0.33488330701262153			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.33450217418085615			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3342280062082434			
GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_UP	0.33419933720865125			
NF1_Q6	0.33391973476717424			
GO_METANEPHRIC_GLOMERULUS_DEVELOPMENT	0.3335801987348223			
GSE7459_UNTREATED_VS_IL6_TREATED_ACT_CD4_TCELL_DN	0.3334464975322177			
GO_ER_ASSOCIATED_MISFOLDED_PROTEIN_CATABOLIC_PROCESS	0.3332485763258647			
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN	0.33217555415313205			
GO_ENDOTHELIAL_CELL_MORPHOGENESIS	0.33175665245139424			
SHEN_SMARCA2_TARGETS_UP	0.33172592229270137			
GO_REGULATION_OF_ENDOCRINE_PROCESS	0.33157997802594047			
IPA_PTF1A_DN	0.3315007431741876			
MOOTHA_PGC	0.3313902198026456			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	0.3313478808550899			
GO_ER_RETENTION_SEQUENCE_BINDING	0.33108782741220505			
MIR1273H_3P	0.33090923168376185			
GO_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION	0.33079706909663975			
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP	0.33055807676516025			
GSE14308_TH1_VS_NATURAL_TREG_UP	0.33043784530950515			
BASAKI_YBX1_TARGETS_UP	0.32986905872426636			
GO_COMMON_BILE_DUCT_DEVELOPMENT	0.3296948731739894			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.32965411531545097			
IPA_CDK1_UP	0.32950885011869513			
ATF_B	0.3293330377654092			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.3293013154970289			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.32919673103893254			
MIR676_3P	0.32904649354504356			
GO_PROTEIN_N_LINKED_GLYCOSYLATION	0.32888207874250275			
RICKMAN_HEAD_AND_NECK_CANCER_F	0.32879913053834603			
GO_MESODERMAL_CELL_FATE_SPECIFICATION	0.3286133797271603			
IPA_PSIP1_UP	0.3286102875756822			
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.3283351923353974			
GO_ACTIN_FILAMENT_BASED_TRANSPORT	0.32822908213391355			
MIR1470	0.328165674576062			
GO_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	0.32794828437187556			
GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP	0.3277928569262804			
GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_UP	0.32762354065529214			
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION	0.32743485652836013			
GO_EAR_DEVELOPMENT	0.32715637893753147			
GO_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	0.3269974316563821			
MIR4676_5P	0.3267408559146496			
GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP	0.3266803742690779			
IPA_HOXA2_UP	0.32655639982348356			
AFFAR_YY1_TARGETS_UP	0.32655180973818465			
KANG_DOXORUBICIN_RESISTANCE_DN	0.32629946021700995			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.3262828330912114			
GO_CELL_FATE_SPECIFICATION	0.3262704475546017			
RAF_UP.V1_DN	0.3259281819264569			
CDPCR1_01	0.32568754846612535			
MIR4686	0.3253827458096844			
GO_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	0.32529311328605803			
GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN	0.32507715202087434			
MIR154_3P	0.32499380100997693			
MIR1227_3P	0.32491434716104445			
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	0.32491346014957156			
MOHANKUMAR_HOXA1_TARGETS_UP	0.3248399797403896			
GO_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE	0.3248020816573846			
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	0.32464867566409			
GO_MAINTENANCE_OF_DNA_REPEAT_ELEMENTS	0.3246156090496583			
GO_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT	0.32460133265443286			
GO_AMP_ACTIVATED_PROTEIN_KINASE_ACTIVITY	0.32458724988929966			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.3244967182786457			
GENTILE_RESPONSE_CLUSTER_D3	0.3243266530095391			
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_UP	0.3243034584738471			
GO_CYTOKINESIS	0.32410637795862884			
DELACROIX_RAR_TARGETS_DN	0.3239801085732325			
ONKEN_UVEAL_MELANOMA_DN	0.32396090988249243			
DOANE_RESPONSE_TO_ANDROGEN_DN	0.3238215163549928			
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_DN	0.32380952590195544			
HOWLIN_CITED1_TARGETS_1_DN	0.32364278440421723			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.3235980594400132			
CLAUS_PGR_POSITIVE_MENINGIOMA_UP	0.3235476121787198			
ITO_PTTG1_TARGETS_UP	0.32352866357709803			
GO_THIOREDOXIN_PEROXIDASE_ACTIVITY	0.3234415171861458			
GO_UDP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	0.3233074755526768			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.323235212014457			
MIR4724_3P	0.3232061867210279			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.32315647373325207			
CHICAS_RB1_TARGETS_SENESCENT	0.32284306404269075			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.3228412258747572			
chr4p15	0.3227700432912901			
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3227306298106623			
GO_RENAL_SYSTEM_DEVELOPMENT	0.3227117343269624			
SENESE_HDAC3_TARGETS_DN	0.3226960783735991			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	0.3224753826673199			
GO_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	0.32226833973202146			
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_24H_UP	0.3222591916496802			
KEGG_BLADDER_CANCER	0.32216146164095016			
GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.3219343134143164			
GO_INSULIN_RESPONSIVE_COMPARTMENT	0.32193093228969044			
ERBB2_UP.V1_DN	0.3217000612824089			
GO_NEGATIVE_REGULATION_OF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.3213897586829093			
GO_CELL_FATE_COMMITMENT_INVOLVED_IN_FORMATION_OF_PRIMARY_GERM_LAYER	0.32138306137094486			
GO_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	0.32114204906179883			
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.32057846574480625			
RAMALHO_STEMNESS_UP	0.32049559989105886			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.3204028556348374			
GO_NOTOCHORD_DEVELOPMENT	0.31997768465912146			
MIR3685	0.31989786368229706			
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP	0.3198693582686336			
GO_REGULATION_OF_ATPASE_ACTIVITY	0.31976745193391226			
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	0.31973521935593274			
GO_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT	0.31971388345292406			
