	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER	0.2824969158461543			
PID_HNF3A_PATHWAY	0.278572051902215			
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	0.2715727518665332			
MIR1911_5P	0.2705019659566791			
MIR1468_3P	0.26977644063834444			
REACTOME_RSK_ACTIVATION	0.26805110952006306			
GSE11961_MEMORY_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.26706717245266404			
GO_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0.26467158704215366			
MIR4326	0.26416156592945955			
GO_UBIQUITIN_DEPENDENT_ENDOCYTOSIS	0.26386520554107873			
GO_PROTEIN_TRANSPORT_INTO_MEMBRANE_RAFT	0.26373782925422246			
GO_NEGATIVE_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	0.2636183810058105			
MIR6868_3P	0.26170211193681914			
GO_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL	0.2611968288783019			
MONTERO_THYROID_CANCER_POOR_SURVIVAL_DN	0.2604282502652467			
GO_PROTEIN_ARGININE_DEIMINASE_ACTIVITY	0.25981715281715406			
GO_HISTONE_CITRULLINATION	0.25981715281715406			
MIR576_5P	0.2590083227868985			
IPA_TFDP1_DN	0.2584897389770208			
IPA_UBE2B_UP	0.2584897389770208			
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	0.25822901123275627			
MIR183_5P	0.2581912486686382			
GO_SARCOMERE_ORGANIZATION	0.2580963764704847			
FOXJ2_02	0.2578460589195155			
IPA_HIC1_UP	0.25777247314140556			
MIR6757_5P	0.25729900134234			
GO_FILOPODIUM_ASSEMBLY	0.2572056820962259			
GO_CLATHRIN_ADAPTOR_COMPLEX	0.2563853625745229			
IPA_KLF13_DN	0.2562727772725038			
GO_IRIS_MORPHOGENESIS	0.25565388593831817			
GO_DEPHOSPHORYLATION	0.2555911440782891			
BIOCARTA_ARAP_PATHWAY	0.25528392825615664			
KEGG_LONG_TERM_POTENTIATION	0.2552626479367725			
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.25497632884428917			
GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL	0.2547998257073241			
GO_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDINES	0.254759242428732			
GO_NEGATIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION	0.2545592776684567			
IPA_PROX1_UP	0.25439493388601875			
GO_CUPROUS_ION_BINDING	0.2538158747903371			
GO_REGULATION_OF_HYDROGEN_PEROXIDE_MEDIATED_PROGRAMMED_CELL_DEATH	0.2536674592408916			
MIR1244	0.2535128562652743			
IPA_ELF5_DN	0.2534601225359183			
MIR6758_3P	0.2534061396139169			
GO_GOLGI_TRANS_CISTERNA	0.2530377832805856			
MIR5009_3P	0.2528927959971217			
KIM_MYCN_AMPLIFICATION_TARGETS_DN	0.2525346164858492			
IPA_ZFPM2_UP	0.2524426657241963			
GO_ESTROGEN_RECEPTOR_ACTIVITY	0.25230404058033545			
BROWNE_HCMV_INFECTION_18HR_UP	0.2522455695905591			
GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE	0.2521628099573287			
MIR4780	0.2516402182828618			
GO_INTERCELLULAR_BRIDGE	0.25151094974139354			
MIR6124	0.2513316079023606			
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_8D_CULTURE_DN	0.2510570094770305			
GO_T_TUBULE	0.25088126380972425			
MIR4681	0.25082374344550495			
MIR1825	0.2505256026947782			
GO_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY	0.2505185204865657			
REACTOME_SIGNALING_BY_RHO_GTPASES	0.2504581443404517			
GO_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE	0.2504271425509027			
MIR4295	0.2504165504588519			
GO_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	0.25021823971807117			
MIR7109_5P	0.250123219747877			
MIR3688_3P	0.25011644808446076			
MIR4328	0.25009046796197304			
KEGG_VIBRIO_CHOLERAE_INFECTION	0.2499342256602744			
GTGCAAT_MIR25_MIR32_MIR92_MIR363_MIR367	0.24985919051146768			
MIR130B_3P	0.2493203747416102			
MIR7114_5P	0.2491147893454628			
GO_ACTIN_FILAMENT_SEVERING	0.24906005701539813			
MIR4764_5P	0.24875437845344545			
GO_RECYCLING_ENDOSOME	0.24874653276922923			
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.24871839318009428			
MIR578	0.24865191023477265			
MIR8485	0.24859979890540831			
MIR2115_5P	0.24856839506034362			
GO_TRICUSPID_VALVE_MORPHOGENESIS	0.24847894449478944			
GALLUZZI_PERMEABILIZE_MITOCHONDRIA	0.2483895291516875			
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_6H_DN	0.24836971943557454			
MIR5680	0.24827700872701097			
ZHAN_MULTIPLE_MYELOMA_CD1_DN	0.2481994834897465			
GO_2_OXOGLUTARATE_METABOLIC_PROCESS	0.24766965391353502			
GO_FOREBRAIN_NEURON_DIFFERENTIATION	0.24760717442322727			
chr7p11	0.24745747985934038			
MIR301A_3P	0.24742874566365453			
