	Score	0.95 MoE	P-Value	Q-Value
MIR532_3P	0.3746120670765636			
MIR636	0.3704675748333606			
GO_CYTOPLASMIC_MICROTUBULE	0.36386263928486573			
GO_MITOTIC_SPINDLE_MIDZONE	0.35690953360409555			
MEIS1AHOXA9_01	0.34536098363780193			
GO_MICROTUBULE_BINDING	0.342431458575681			
MIR3616_3P	0.3409377165652194			
SP1_Q2_01	0.34087124130723073			
MIR7974	0.3408624272443896			
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.3388585003326109			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.3361486929669426			
GO_MICROTUBULE_CYTOSKELETON	0.3332846437553911			
MIR4299	0.33193859640913065			
GO_RETROGRADE_AXONAL_TRANSPORT	0.33064428588197126			
GO_MICROTUBULE	0.33063902714290067			
MIR3649	0.3300923887133279			
GO_TUBULIN_BINDING	0.3294030943432088			
MIR744_5P	0.3290477720197199			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.32712671039492336			
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.32607797289741103			
GO_CENTROSOME_SEPARATION	0.325940917315507			
REACTOME_CILIUM_ASSEMBLY	0.3257394103716804			
AGGTGCA_MIR500	0.32568011842539685			
LIANG_SILENCED_BY_METHYLATION_DN	0.32495355077053245			
MIR6808_5P	0.324825415822975			
GO_HEPARAN_SULFATE_SULFOTRANSFERASE_ACTIVITY	0.32429504644093204			
MIR6088	0.324011186843465			
MIR5187_5P	0.3233696053218407			
TERAMOTO_OPN_TARGETS_CLUSTER_3	0.3228796113562644			
GO_KINESIN_COMPLEX	0.3223205918875763			
GO_HARD_PALATE_DEVELOPMENT	0.32208784511258554			
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	0.32197528914500867			
MIR940	0.3218046040101746			
GO_AXON_CYTOPLASM	0.3214362638508361			
MIR7108_5P	0.321230307905484			
GO_MICROTUBULE_BASED_PROCESS	0.3210414348451838			
GO_AXO_DENDRITIC_TRANSPORT	0.3206538041330555			
GSE360_L_MAJOR_VS_T_GONDII_DC_DN	0.3206242970649187			
GO_ANTEROGRADE_AXONAL_TRANSPORT	0.32061312540552356			
GO_NEURON_PROJECTION_CYTOPLASM	0.320374632274646			
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.3203181942357893			
