	Score	0.95 MoE	P-Value	Q-Value
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	0.28610060003282006			
GO_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.2838598026957322			
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	0.28241374051625345			
VALK_AML_WITH_FLT3_ITD	0.27906979418121636			
IPA_MYBL2_UP	0.27775305379923715			
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	0.2759558867480489			
EN1_01	0.27592032135265465			
CAIRO_HEPATOBLASTOMA_UP	0.27501205757813274			
GO_CERAMIDE_BINDING	0.27344163585937414			
GO_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	0.2726906507118819			
IPA_HOXD9_UP	0.27209519574425917			
MIR6770_3P	0.2719274774008624			
IPA_KDM5B_DN	0.2701140576505035			
SCHLESINGER_H3K27ME3_IN_NORMAL_AND_METHYLATED_IN_CANCER	0.26915856361712864			
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	0.2691585238143069			
GO_NEURONAL_SIGNAL_TRANSDUCTION	0.2681212499744987			
GO_MEMORY	0.2677329488834192			
BENPORATH_ES_WITH_H3K27ME3	0.2675367437408825			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.2672929977763138			
GSE30083_SP3_VS_SP4_THYMOCYTE_UP	0.2671364088875685			
GO_CYTOSKELETAL_ADAPTOR_ACTIVITY	0.26682778975174165			
GO_CENTRAL_REGION_OF_GROWTH_CONE	0.26591717845382656			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN	0.26589677022285785			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.2657987346667905			
GO_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	0.2657874871005637			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.2657217132407643			
MEIS1AHOXA9_01	0.26564602382933267			
GO_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION	0.26521169550572166			
GO_ENDOCRINE_SYSTEM_DEVELOPMENT	0.2650736629251025			
GO_DORSAL_VENTRAL_PATTERN_FORMATION	0.264838144675938			
CHICAS_RB1_TARGETS_GROWING	0.2648096939793725			
PETROVA_PROX1_TARGETS_UP	0.2644213285296514			
MIR4793_3P	0.263759889702709			
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	0.26361037128224674			
BENPORATH_SUZ12_TARGETS	0.26358595899685755			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.26346572936518126			
BLUM_RESPONSE_TO_SALIRASIB_DN	0.26328361972478215			
SMAD3_Q6	0.2625864763221219			
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	0.2625723229994808			
MARKEY_RB1_ACUTE_LOF_UP	0.26252716402259113			
GO_SMOOTH_ENDOPLASMIC_RETICULUM_MEMBRANE	0.26237903369283905			
CARD_MIR302A_TARGETS	0.26185002299403787			
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS	0.2615806886662489			
GO_MICROTUBULE_BASED_PROCESS	0.2611873312655275			
EPPERT_CE_HSC_LSC	0.26092550019195104			
GO_GLYCOLIPID_TRANSPORT	0.26084689522082743			
GO_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	0.2605961155293759			
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BIOSYNTHETIC_PROCESS	0.2602185853506164			
MIR6814_5P	0.26014621356633677			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.25957503280538907			
MIR4456	0.25932401890320717			
MIR6852_3P	0.2593098553352221			
MIR6757_5P	0.2592675047051995			
ZHENG_GLIOBLASTOMA_PLASTICITY_UP	0.2592667225113479			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	0.25925181294852406			
GO_VOCALIZATION_BEHAVIOR	0.2587410350002619			
IPA_SOX2_UP	0.25873475645457933			
