	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	0.3678473972574377			
MIR4520_5P	0.3643220836396659			
GSE6674_UNSTIM_VS_CPG_STIM_BCELL_DN	0.359272081335211			
WANG_CLIM2_TARGETS_UP	0.3588957327840299			
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN	0.35609746820190613			
WEIGEL_OXIDATIVE_STRESS_RESPONSE	0.3519453697436865			
GO_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION	0.35035139397794174			
MURAKAMI_UV_RESPONSE_1HR_UP	0.34513195376090927			
GO_POSITIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	0.34430415283413107			
WILLIAMS_ESR1_TARGETS_UP	0.3434662819347966			
BIOCARTA_EGF_PATHWAY	0.3399329543173147			
NFKBIA_TARGET_GENES	0.3398091177759383			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.33961759988064233			
GSE17721_0.5H_VS_8H_CPG_BMDC_UP	0.3381318829028224			
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.3368655436369631			
GO_ACTIVATION_OF_MAPKKK_ACTIVITY	0.3347500070378831			
GO_ACTIN_CROSSLINK_FORMATION	0.33471323371794043			
GO_MICROTUBULE_BUNDLE	0.33418289829797176			
PYEON_HPV_POSITIVE_TUMORS_DN	0.334013886377115			
GSE25087_TREG_VS_TCONV_ADULT_DN	0.3318866358691386			
REACTOME_ESR_MEDIATED_SIGNALING	0.33183743488383166			
GO_GLUTATHIONE_TRANSFERASE_ACTIVITY	0.3309976718025496			
IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	0.3307846162721098			
GO_NUCLEAR_ENVELOPE_REASSEMBLY	0.3306909300631959			
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.33034013869677037			
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR	0.33033859745473454			
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP	0.32997171915085466			
HALLMARK_APICAL_SURFACE	0.32845170014054853			
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	0.32836949054545506			
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP	0.328278621437728			
RADMACHER_AML_PROGNOSIS	0.3282122542266259			
GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_DN	0.3271782968382913			
IPA_ATF3_DN	0.32689251065527264			
GO_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.3263585034915523			
MULLIGHAN_MLL_SIGNATURE_2_DN	0.32633407705687706			
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP	0.32619834770026934			
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN	0.326198039314435			
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_UP	0.3258299588081868			
GSE3982_MAST_CELL_VS_NKCELL_UP	0.32556878966748093			
RANKIN_ANGIOGENIC_TARGETS_OF_VHL_HIF2A_DN	0.32481954277326813			
GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_DN	0.3246632635277299			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.3244056903206479			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	0.32422694415543835			
BIOCARTA_MALATEX_PATHWAY	0.32340988280323923			
GO_SCHWANN_CELL_DEVELOPMENT	0.3229278954850104			
GO_CAVEOLIN_MEDIATED_ENDOCYTOSIS	0.32272227107350615			
GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	0.3226268041492861			
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP	0.3221948740020017			
GO_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	0.32192121866173534			
GSE17721_4_VS_24H_CPG_BMDC_UP	0.3216328475105555			
VALK_AML_WITH_EVI1	0.32129926348855536			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN	0.32102290575552883			
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN	0.3208929121371739			
GO_CORECEPTOR_ACTIVITY_INVOLVED_IN_WNT_SIGNALING_PATHWAY	0.3206719941513146			
MULLIGHAN_MLL_SIGNATURE_1_DN	0.32057080910263			
GO_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.3202457715451798			
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP	0.32023300641087515			
GO_14_3_3_PROTEIN_BINDING	0.32006576952300236			
GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_DN	0.3198050320051517			
GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.3197624007858158			
GO_CILIARY_MEMBRANE	0.3197564289897893			
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	0.3197145211903686			
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN	0.3196809303886443			
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.3196349601968295			
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	0.31941371299123433			
GSE32255_WT_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_UP	0.3194102973695233			
BOYLAN_MULTIPLE_MYELOMA_D_DN	0.3192514770310328			
GROSS_HYPOXIA_VIA_ELK3_UP	0.3191632521420916			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX	0.31912747759868265			
MIR6805_5P	0.3190753923013168			
KEGG_GLUTATHIONE_METABOLISM	0.3188767958545814			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.31858790427417405			
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN	0.3182978650368626			
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	0.3180434250350048			
GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP	0.3179263338833492			
GO_POSITIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	0.3175521313407937			
MTOR_UP.N4.V1_UP	0.3174967376870425			
GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP	0.3173295017079568			
GO_CELL_PROJECTION_MEMBRANE	0.3168663178425143			
GO_LACTATION	0.3168397559436242			
DELLA_RESPONSE_TO_TSA_AND_BUTYRATE	0.31679568098751004			
WOOD_EBV_EBNA1_TARGETS_UP	0.3167677362828425			
GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_UP	0.3167225889424814			
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_DN	0.31664205291007647			
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.3164172836050533			
GO_REGULATION_OF_TRANSLATION_AT_SYNAPSE_MODULATING_SYNAPTIC_TRANSMISSION	0.31619803741893243			
REACTOME_GLUTATHIONE_CONJUGATION	0.3161664627488059			
STANHILL_HRAS_TRANSFROMATION_UP	0.31607363454647414			
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP	0.31600515111325866			
LIU_CMYB_TARGETS_UP	0.3158779641255221			
chr17q21	0.31587581030600365			
GO_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS	0.31578631849568756			
DACH1_TARGET_GENES	0.315487521194048			
