	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS	0.3226034645887369			
TSENG_ADIPOGENIC_POTENTIAL_DN	0.32205168923237815			
GO_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	0.3220032270407199			
SUPT16H_TARGET_GENES	0.31851875466206375			
GO_EXTRACELLULAR_MATRIX_ASSEMBLY	0.31739369725243555			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.3149898074174144			
PID_UPA_UPAR_PATHWAY	0.3109654715354572			
TSENG_IRS1_TARGETS_DN	0.30918322984988683			
ZHU_CMV_ALL_DN	0.3091204239253455			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.30910424254982904			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.3082532239005709			
ZNF774_TARGET_GENES	0.3071972311171143			
CSHL1_TARGET_GENES	0.3040838586295314			
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.30367345511080107			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.3031591268097607			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.3031568331028779			
ZNF134_TARGET_GENES	0.3028259227079419			
YEMELYANOV_GR_TARGETS_DN	0.30210984219739834			
GO_REGULATION_OF_CARTILAGE_DEVELOPMENT	0.3017756579471173			
ZHU_CMV_24_HR_DN	0.30152837411649497			
GO_SEX_DIFFERENTIATION	0.3012196533427791			
GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_DN	0.30112874618615			
IPA_CDK1_UP	0.3007828893410504			
GO_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.30069555324867897			
GO_RECEPTOR_RECYCLING	0.30012184575872314			
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3000912099626735			
MORC2_TARGET_GENES	0.2996846311076154			
GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	0.2994497788717316			
RAFFEL_VEGFA_TARGETS_DN	0.29935631699852977			
GO_COMPACT_MYELIN	0.2992608165046842			
FOSTER_KDM1A_TARGETS_DN	0.2981932733448862			
BILANGES_RAPAMYCIN_SENSITIVE_GENES	0.298185146662447			
BURTON_ADIPOGENESIS_8	0.29806095653476805			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.2979845172954002			
FOXG1_TARGET_GENES	0.2977337147536692			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.2973348261749183			
