	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4199030899061692			
MIR4776_5P	0.4130661954284986			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4125827691712057			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.407186179854864			
GO_GLYCOPROTEIN_COMPLEX	0.40401806032178306			
GOZGIT_ESR1_TARGETS_DN	0.40312340347213			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.40244290320562526			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.402203870530686			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.40204924076750276			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.4016322606543666			
GO_ADHERENS_JUNCTION	0.40148752139423743			
GO_COSTAMERE	0.3999104493582705			
PID_AJDISS_2PATHWAY	0.3977078380175383			
CERVERA_SDHB_TARGETS_1_UP	0.39663300835442106			
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.3965747848000959			
PID_EPHB_FWD_PATHWAY	0.3965076419442205			
REACTOME_CELL_CELL_COMMUNICATION	0.39426921226496187			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3938716524232921			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.39355631046403927			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.39313619208175954			
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.3929181656715168			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3920053024211638			
YANG_BREAST_CANCER_ESR1_UP	0.39198992968831436			
GO_CELL_JUNCTION_ORGANIZATION	0.39134792042266914			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.3911360469741217			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.39111351937765126			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3910173477525935			
GSE42021_TREG_VS_TCONV_PLN_DN	0.39075963357053467			
PID_FAK_PATHWAY	0.39067882593317865			
GO_PLASMA_MEMBRANE_REGION	0.3905081118847121			
GO_CELL_JUNCTION_ASSEMBLY	0.3904219694367239			
REACTOME_EPH_EPHRIN_SIGNALING	0.39010911777775537			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.38999663122863143			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.3899496694647927			
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	0.3890102216705159			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.3890076268667265			
HALLMARK_PROTEIN_SECRETION	0.3889384069271837			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.38892388716624865			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.3882468356667984			
RAF_UP.V1_DN	0.38816690010230687			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.3878601746284971			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.38761433467227085			
GO_LATERAL_PLASMA_MEMBRANE	0.38710887647554665			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.3870122185547925			
MEK_UP.V1_UP	0.38699552553546807			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.38615101792658146			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.3857460931486324			
HOELZEL_NF1_TARGETS_UP	0.3854912136917653			
BIOCARTA_AGR_PATHWAY	0.3853901272632999			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3852914611262346			
ALONSO_METASTASIS_NEURAL_UP	0.3850789629363072			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.3850124288724293			
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	0.38491407622079327			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.38484632060745977			
MOHANKUMAR_HOXA1_TARGETS_DN	0.38476856655801034			
AP1_Q2_01	0.38448587161994763			
