	Score	0.95 MoE	P-Value	Q-Value
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.08270721505003209			
HALLMARK_G2M_CHECKPOINT	0.06490165994515924			
HALLMARK_DNA_REPAIR	0.06384495359128248			
HALLMARK_TGF_BETA_SIGNALING	-0.07478585796485064			
HALLMARK_APOPTOSIS	-0.07523449473905097			
HALLMARK_MITOTIC_SPINDLE	-0.08234879816347226			
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.08370052116530997			
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.09935238724350631			
HALLMARK_HYPOXIA	-0.11040392195979365			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.11937678315477117			
