	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5653544694943489			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5603143428005558			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.557335372088745			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5566238041965756			
GO_COSTAMERE	0.5536065606712457			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5532985572248696			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5532884129833839			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5526859691053544			
MEK_UP.V1_UP	0.5493187346371343			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.547772741222775			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5446560211564523			
GO_ADHERENS_JUNCTION	0.5436263404558265			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5416921795250558			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5404714130318148			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5392976656362596			
ERBB2_UP.V1_UP	0.5388275681788726			
PID_NECTIN_PATHWAY	0.538228535825395			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.5363865829273291			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5359739199220036			
GO_APICAL_JUNCTION_COMPLEX	0.5359727107500205			
KOHOUTEK_CCNT1_TARGETS	0.5352928692911235			
ESC_J1_UP_LATE.V1_UP	0.5349168537043545			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5347183362320047			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.5337010314755443			
GO_CELL_JUNCTION_ORGANIZATION	0.5332049229533263			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.5331457618480666			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5330339374027978			
NR0B1_TARGET_GENES	0.5327042330916202			
