	Score	0.95 MoE	P-Value	Q-Value
NOTCH_DN.V1_DN	0.29315697308736216			
GSE45365_BCELL_VS_CD8_TCELL_UP	0.2833606610874994			
MIR4746_5P	0.2715548804481256			
GO_SELENIUM_COMPOUND_METABOLIC_PROCESS	0.2638855727238834			
GO_CELLULAR_RESPONSE_TO_POTASSIUM_ION	0.25728495233838994			
MIR361_3P	0.2569745923245896			
MIR6805_5P	0.25684390836380533			
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN	0.2553543431154331			
MIR214_3P	0.254543862885521			
GO_TRANS_GOLGI_NETWORK	0.2537824651578229			
GO_RESPONSE_TO_POTASSIUM_ION	0.2521796150327338			
GO_POSITIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY	0.2518459738104953			
GO_PROTEIN_HORMONE_RECEPTOR_ACTIVITY	0.25023036090302686			
MIR3162_3P	0.24871254134306908			
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP	0.24861003774594662			
MIR513C_5P	0.24740311546310495			
GO_PEPTIDE_HORMONE_BINDING	0.24657733068685833			
TERAMOTO_OPN_TARGETS_CLUSTER_1	0.24594912083802192			
MIR6857_5P	0.24534843370202059			
GO_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	0.2449995933302367			
MIR3150A_3P	0.2449045215689013			
GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	0.2445651501726045			
MIR514B_5P	0.24442008317071648			
GO_RESPONSE_TO_DIETARY_EXCESS	0.24441576505162188			
MIR873_3P	0.24398954323785035			
MIR765	0.24378018872430704			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	0.24368856330269348			
GO_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.24348695724767905			
GO_COATED_VESICLE_MEMBRANE	0.24313063418960795			
GO_VITAMIN_A_METABOLIC_PROCESS	0.24303900350616595			
PID_SMAD2_3PATHWAY	0.24281892236857838			
MIR6763_5P	0.24266357808670377			
MIR6876_5P	0.24197927218286852			
MIR6778_3P	0.24129906552696334			
KATSANOU_ELAVL1_TARGETS_UP	0.24115323914321			
ELLWOOD_MYC_TARGETS_DN	0.24082289363826234			
BIOCARTA_CK1_PATHWAY	0.24023160363638876			
GO_GLYCINE_N_ACYLTRANSFERASE_ACTIVITY	0.24015532157379768			
GO_TRANS_GOLGI_NETWORK_MEMBRANE	0.2401132512201055			
LIU_PROSTATE_CANCER_UP	0.24000162274061856			
GO_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.23977068363147747			
GO_NEUROBLAST_DIVISION	0.2397664231047865			
MIR6773_3P	0.2397233010973337			
GO_CARBOHYDRATE_CATION_SYMPORTER_ACTIVITY	0.23959565615753606			
MIR1295B_5P	0.23958639435229778			
GO_POSITIVE_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.23957057625308759			
GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_DN	0.2393167308249182			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	0.23928356293271774			
ZNF239_TARGET_GENES	0.2391683888849926			
BIOCARTA_DSP_PATHWAY	0.2390789797884778			
OUYANG_PROSTATE_CANCER_MARKERS	0.23894189314134404			
ZHAN_MULTIPLE_MYELOMA_CD1_DN	0.23880912236573287			
GO_EYE_PIGMENTATION	0.238634175732149			
GO_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	0.23832678863246198			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_IFNAR_KO_UP	0.2381598979203075			
GO_NUCLEOTIDE_TRANSPORT	0.23812593062008566			
GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP	0.23774247213264282			
GO_PROTEIN_KINASE_A_REGULATORY_SUBUNIT_BINDING	0.23735695512158933			
GO_CHLORIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.237209606200346			
CERIBELLI_PROMOTERS_INACTIVE_AND_BOUND_BY_NFY	0.2371112885396495			
GO_ORGANOPHOSPHATE_ESTER_TRANSPORT	0.23693154242679124			
MIR1244	0.23679543473776124			
IPA_GATA2_UP	0.23675816496419483			
GO_UBIQUITIN_SPECIFIC_PROTEASE_BINDING	0.23661281557086367			
REACTOME_FATTY_ACIDS	0.23655272969847493			
GO_PARANODE_REGION_OF_AXON	0.2364302592198397			
MIR7847_3P	0.23627712994332364			
MIR3619_5P	0.2361504909410293			
IPA_STAT2_DN	0.23549652280971653			
MIR11181_3P	0.23539801533005322			
MIR1273H_3P	0.23526064632963514			
GO_SOMATIC_STEM_CELL_DIVISION	0.23505922461020629			
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.23504604899025336			
MIR512_3P	0.2349676077517166			
GO_ANION_CHANNEL_ACTIVITY	0.23475588998080052			
GO_PURINE_NUCLEOTIDE_TRANSPORT	0.23470561707725382			
MIR3173_3P	0.23464681410332944			
MIR4433B_3P	0.23462045457942618			
MIR6511A_5P	0.2345033133172615			
MIR4476	0.23430706549927655			
GO_RESPONSE_TO_STIMULUS_INVOLVED_IN_REGULATION_OF_MUSCLE_ADAPTATION	0.2342770308522389			
BIOCARTA_PELP1_PATHWAY	0.23387277381765506			
GO_BETA_GLUCOSIDASE_ACTIVITY	0.23381149736538567			
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.23380122189771768			
GO_NEGATIVE_REGULATION_OF_URINE_VOLUME	0.233752302282113			
GO_GLUCOSE_SODIUM_SYMPORTER_ACTIVITY	0.2337176273762858			
GO_PH_ELEVATION	0.23361095604691068			
REACTOME_INTRA_GOLGI_TRAFFIC	0.2330886571867919			
REACTOME_STAT5_ACTIVATION	0.2330368365535891			
GO_TRANSLATION_REPRESSOR_ACTIVITY	0.23303458715622077			
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	0.23302754774832377			
CREBL2_TARGET_GENES	0.23289682111007518			
IPA_TFAM_UP	0.23284385705921753			
TGTTTGY_HNF3_Q6	0.2326129024889771			
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN	0.23252315727411393			
GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.2322939496483833			
GO_REGULATION_OF_CLATHRIN_DEPENDENT_ENDOCYTOSIS	0.2322820529010397			
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	0.23215299834194839			
IPA_DLX5_UP	0.23204044865573478			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	0.23198544844533658			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_5	0.23170067380930534			
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_DN	0.23165699519791366			
GO_NEGATIVE_REGULATION_OF_MEIOTIC_CELL_CYCLE	0.23150409901399116			
GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP	0.23145298707843348			
GO_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING	0.23141526816979932			
MIR6718_5P	0.23140552274974158			
NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON	0.2313846276764471			
GO_VITAMIN_CATABOLIC_PROCESS	0.2312207479734791			
GO_CHLORIDE_TRANSPORT	0.2311527795921527			
GO_POSITIVE_REGULATION_OF_MYELINATION	0.23103881550706754			
