	Score	0.95 MoE	P-Value	Q-Value
GO_DEMETHYLASE_ACTIVITY	0.3412724085621061			
MIR125A_5P	0.3306348314086438			
GO_THYMUS_DEVELOPMENT	0.3294514749271943			
MIR125B_5P	0.3284890822032019			
MIR4319	0.32258479480167623			
GO_CALCIUM_DEPENDENT_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	0.3155831010961797			
GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN	0.3137127316351213			
GO_COHESIN_LOADING	0.31234579894298564			
GO_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	0.3110044648573303			
BIOCARTA_BARR_MAPK_PATHWAY	0.31068054309050314			
GO_DNA_METHYLATION_INVOLVED_IN_GAMETE_GENERATION	0.3060078693218203			
BIOCARTA_MCM_PATHWAY	0.30404805210367974			
GAZIN_EPIGENETIC_SILENCING_BY_KRAS	0.30375669441789666			
GO_MIRNA_METABOLIC_PROCESS	0.30298132814412493			
GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_DN	0.3008039991798787			
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	0.3002385408750569			
IPA_RPA2_UP	0.29990505046523835			
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	0.2998310174395241			
GO_DNA_METHYLATION	0.29965087050876477			
GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN	0.29839410514669723			
PYEON_HPV_POSITIVE_TUMORS_UP	0.2974896469378653			
BROWNE_HCMV_INFECTION_48HR_UP	0.29730027289499344			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.29714520635179725			
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	0.2971286057510948			
GO_REGULATION_OF_HISTONE_METHYLATION	0.2967075873716291			
MIR4638_5P	0.29653206270341986			
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	0.29631457558097035			
GO_REGULATION_OF_HISTONE_H4_ACETYLATION	0.29583303439296543			
GO_HISTONE_H3_K4_METHYLATION	0.2955811691878763			
GGCKCATGS_UNKNOWN	0.29408365382364604			
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.29371955656295856			
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN	0.2936338594446525			
GO_PEPTIDYL_LYSINE_DIMETHYLATION	0.2932266006605706			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.2927837651817081			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	0.292296073616683			
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	0.2918202671522602			
GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP	0.29164623718208826			
GO_GLYCEROL_3_PHOSPHATE_METABOLIC_PROCESS	0.2913129720172028			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	0.2913022198385634			
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	0.2911105515219161			
PRC2_SUZ12_UP.V1_DN	0.291081078323101			
GO_PEPTIDYL_LYSINE_METHYLATION	0.29091226018606864			
STAMBOLSKY_BOUND_BY_MUTATED_TP53	0.2908851341462118			
GO_PRE_MIRNA_PROCESSING	0.29085982066483973			
GO_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.2905121726421871			
GO_CIS_REGULATORY_REGION_BINDING	0.2903622675704232			
GSE1460_DP_VS_CD4_THYMOCYTE_UP	0.29011754842055815			
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	0.29006482362290414			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.28976516639050587			
GO_MACROMOLECULE_METHYLATION	0.28958322058395997			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.2895591827470991			
