	Score	0.95 MoE	P-Value	Q-Value
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5318495983730821			
NR0B1_TARGET_GENES	0.5306846737517231			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5285788813719551			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.523939334776757			
GO_COSTAMERE	0.520901437311592			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5208987395193352			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5201356607580873			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5190362672829325			
GO_ADHERENS_JUNCTION	0.5186148791059281			
YAMAZAKI_TCEB3_TARGETS_UP	0.5176175987115638			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.5168868023043867			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5168660266039867			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.5153609174631139			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5150863333426883			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.514879390942258			
GO_CELL_JUNCTION_ORGANIZATION	0.51331083795446			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.5130837847050753			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5127993006466579			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.5126259432004188			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.5118397571200993			
KAAB_FAILED_HEART_ATRIUM_DN	0.5111993837736977			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5107542801775469			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.5106221719562839			
SINGH_NFE2L2_TARGETS	0.5105989285033277			
PASINI_SUZ12_TARGETS_DN	0.5102660512451909			
PID_NECTIN_PATHWAY	0.5093580587905593			
GO_CELL_JUNCTION	0.5088986768160518			
KIM_WT1_TARGETS_12HR_UP	0.5076693908583837			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5074048801444837			
GO_CELL_JUNCTION_ASSEMBLY	0.5073304805280887			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.5073202491496364			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5071872858919494			
SESTO_RESPONSE_TO_UV_C8	0.5067728860581535			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.5064474136823033			
HALLMARK_PROTEIN_SECRETION	0.5061762495390839			
DITTMER_PTHLH_TARGETS_UP	0.5048926793655103			
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	0.504830432822395			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.5046454384002236			
MEK_UP.V1_UP	0.5044869058065647			
IPA_NFE2L2_DN	0.5041027357492582			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5040026254677873			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.5036177098441866			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.5036172756087074			
BURTON_ADIPOGENESIS_7	0.5034531025613604			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.503399803558019			
GO_CELL_CORTEX	0.5033054427532379			
CERVERA_SDHB_TARGETS_1_UP	0.5031013118901451			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5023955631602852			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.502391028526281			
REACTOME_HS_GAG_DEGRADATION	0.5023842295911538			
GO_SARCOLEMMA	0.5020438475793095			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5020422006592349			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.5018793777586239			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.5018421896744353			
LUND_SILENCED_BY_METHYLATION	0.5017101356819739			
JIANG_HYPOXIA_NORMAL	0.5012650951910138			
PROVENZANI_METASTASIS_DN	0.5012200308435656			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.5011389895513694			
IPA_BACH1_DN	0.5009551522601127			
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.5007446122561815			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.5007403013064239			
PID_FAK_PATHWAY	0.5006496958503893			
WGGAATGY_TEF1_Q6	0.5004101901421917			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5001456158112446			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4998668115942589			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.49958379645970974			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.49955698845202967			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.4990579850424256			
ESC_J1_UP_LATE.V1_UP	0.49839365439986294			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4972912350399422			
