	Score	0.95 MoE	P-Value	Q-Value
GOZGIT_ESR1_TARGETS_DN	0.4995109383834655			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4986815851675503			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4981445099590767			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4947608306968542			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4936457219005497			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.49335400292454834			
MEK_UP.V1_UP	0.4874406429253682			
GO_PLASMA_MEMBRANE_REGION	0.4852843200808976			
HALMOS_CEBPA_TARGETS_DN	0.4849573940693231			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.4839330613759766			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.48374917869703127			
P53_DN.V1_UP	0.4833261496930927			
GO_LATERAL_PLASMA_MEMBRANE	0.48136246008054084			
SMID_BREAST_CANCER_BASAL_DN	0.48037803687182723			
MIR4776_5P	0.4798238409311498			
LTE2_UP.V1_UP	0.4798040464127236			
ERBB2_UP.V1_UP	0.47925826137453376			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.47866305957214744			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.4761594496140791			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4758459052250688			
GO_CELL_CORTEX	0.4751926285036693			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.4750912734885408			
GO_APICAL_JUNCTION_COMPLEX	0.47460911275060275			
NUYTTEN_NIPP1_TARGETS_DN	0.47303177353484055			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.4723830622772779			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4723673585885212			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.4722356620558497			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN	0.4713531786345744			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.4705363754040055			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.4704775577983506			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.4696714413699209			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.469646540764625			
YANG_BREAST_CANCER_ESR1_UP	0.46871844563956366			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.46797494174342585			
ENGELMANN_CANCER_PROGENITORS_DN	0.4679229362111895			
GO_ADHERENS_JUNCTION	0.46735454114261166			
GO_CADHERIN_BINDING	0.46708397545329555			
DITTMER_PTHLH_TARGETS_UP	0.46706867262330853			
XU_GH1_AUTOCRINE_TARGETS_DN	0.46693431080519304			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.4668659865763872			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN	0.46644493555745936			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.4661430834386356			
ESC_J1_UP_LATE.V1_UP	0.46602755487331254			
LIU_CMYB_TARGETS_UP	0.46602500088885407			
PID_AJDISS_2PATHWAY	0.46563347516992215			
REACTOME_CELL_CELL_COMMUNICATION	0.4650218837910152			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.4643115158628267			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4640780540229615			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.4639514560953604			
RAF_UP.V1_DN	0.4633184075751098			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.4630722000089318			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.4630358906748494			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.4629508802154228			
GO_CELL_CELL_JUNCTION	0.4621451501746805			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.46111404909293036			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.46082696314491606			
GO_COSTAMERE	0.4607699885839815			
