	Score	0.95 MoE	P-Value	Q-Value
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.45615978861220347			
HALLMARK_PROTEIN_SECRETION	0.4471358487695544			
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.44234875252935074			
GOZGIT_ESR1_TARGETS_DN	0.43959983032585187			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.4374744379142868			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.43716913247232			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.43691135589759217			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.43668675726847633			
ERBB2_UP.V1_UP	0.4365012568407307			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4325775734685064			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.43241928264645835			
MISSIAGLIA_REGULATED_BY_METHYLATION_UP	0.4308722776943808			
GO_GOLGI_VESICLE_TRANSPORT	0.4301748067767962			
GO_COSTAMERE	0.4300697239597567			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4298313502535072			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.42893019067631677			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.42843915623001877			
GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_DN	0.42533031062395094			
ESC_J1_UP_LATE.V1_UP	0.42515526738855997			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.4250553984417192			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4249844183930737			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.42437589255909014			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4232436509217415			
GO_CELL_CORTEX	0.42294868552533127			
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	0.422560673646967			
JOHNSTONE_PARVB_TARGETS_3_UP	0.42228491537002844			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.42179067750024607			
PID_NECTIN_PATHWAY	0.4216779590134867			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.42157022217750695			
GO_VESICLE_ORGANIZATION	0.4203784348316236			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4203766350600118			
YANG_BREAST_CANCER_ESR1_UP	0.42024172552479633			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.41983151578413713			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4193686187505058			
CHYLA_CBFA2T3_TARGETS_DN	0.41851596368251454			
GO_VACUOLAR_TRANSPORT	0.4176262124463285			
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.4172864999342136			
TAGHAVI_NEOPLASTIC_TRANSFORMATION	0.41690097092018596			
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	0.41688869570771087			
KOHOUTEK_CCNT1_TARGETS	0.4168114592504922			
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.41602756294246734			
GO_LAMININ_COMPLEX	0.4160016165911064			
PID_MET_PATHWAY	0.41598937574719896			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4158813362460407			
MEK_UP.V1_UP	0.41561478609723085			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.41556799288918683			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.4154836588752812			
