	Score	0.95 MoE	P-Value	Q-Value
GO_HISTONE_H3_K4_METHYLATION	0.37495301180411644			
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	0.374427815125541			
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	0.3639337769065967			
GO_SWI_SNF_COMPLEX	0.3629580518010049			
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.36123277046434815			
MIR653_5P	0.3609441072602357			
GO_ADP_RIBOSYLATION_FACTOR_BINDING	0.35907985665940484			
GO_DNA_TOPOISOMERASE_ACTIVITY	0.35790778666595446			
GO_POSITIVE_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.35731103234338807			
GO_ORIGIN_RECOGNITION_COMPLEX	0.35628864095779433			
GO_SPLICEOSOMAL_COMPLEX_ASSEMBLY	0.35501052352768486			
GO_SEQUENCE_SPECIFIC_DNA_BINDING	0.3546953214205097			
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.3545211343221466			
GO_HISTONE_H4_ACETYLATION	0.3529304662758698			
GO_NEGATIVE_REGULATION_OF_VESICLE_FUSION	0.35243566301487844			
GO_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	0.3518526764240223			
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.35180807138420833			
GO_PROTEIN_METHYLATION	0.3517970907083655			
GO_H4_HISTONE_ACETYLTRANSFERASE_ACTIVITY	0.3515321556114461			
GO_MITOCHONDRIAL_DNA_REPAIR	0.35056814945690623			
MIR6816_3P	0.35020332163662393			
GO_DOUBLE_STRANDED_DNA_BINDING	0.34995661673438805			
GO_DNA_METHYLATION_OR_DEMETHYLATION	0.34944026323867877			
GO_MACROMOLECULE_METHYLATION	0.3493816109176509			
GO_CHROMATIN_REMODELING	0.34935203450394786			
GO_HISTONE_H3_K36_DEMETHYLATION	0.348967156662439			
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K36_SPECIFIC	0.348967156662439			
GSE45365_NK_CELL_VS_CD11B_DC_UP	0.34837431056501944			
IPA_GABPA_DN	0.3481594910579781			
GO_HISTONE_METHYLATION	0.3471993654276088			
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	0.34703937466619267			
GO_REGULATION_OF_MRNA_PROCESSING	0.34697101798000546			
GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.346941913328563			
E2F5_TARGET_GENES	0.34666289765228275			
GO_TRANSCRIPTIONALLY_ACTIVE_CHROMATIN	0.34653140701105245			
GO_PEPTIDYL_LYSINE_METHYLATION	0.34604659491172074			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.34570979193044027			
GO_DNA_TOPOLOGICAL_CHANGE	0.34561921318649713			
GSE20152_HTNFA_OVERXPRESS_ANKLE_VS_CTRL_SPHK1_KO_ANKLE_DN	0.3451846895738975			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.34515219372549905			
GO_DNA_MODIFICATION	0.3445957553406214			
GO_REGULATION_OF_HISTONE_METHYLATION	0.34431962395656307			
GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	0.344170576584086			
AGGAGTG_MIR483	0.34408471200505925			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.34407238320284467			
GO_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	0.34390866259950587			
GSE6259_BCELL_VS_CD8_TCELL_DN	0.34363581243105856			
GO_NUCLEAR_CHROMOSOME	0.34361988880167665			
GSE7852_LN_VS_FAT_TCONV_UP	0.34332531764271035			
GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.34305308542568164			
ABRAMSON_INTERACT_WITH_AIRE	0.3422125096257745			
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.34197360801230386			
GO_REGULATION_OF_GENE_EXPRESSION_BY_GENETIC_IMPRINTING	0.34154306568702897			
GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	0.34152169271444915			
GO_MRNA_SPLICE_SITE_SELECTION	0.3414980005754231			
GO_POSITIVE_REGULATION_OF_MRNA_PROCESSING	0.34137225894458645			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.3412952940575627			
ZWANG_DOWN_BY_2ND_EGF_PULSE	0.341164583798796			
MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_6	0.3407778305979874			
GO_CCR4_NOT_CORE_COMPLEX	0.340712205752285			
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0.3406548568938893			
GO_NPBAF_COMPLEX	0.34031894034463905			
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_DN	0.3401541785108353			
MIR4730	0.339872660386476			
ZNF197_TARGET_GENES	0.3392988625684927			
ZNF785_TARGET_GENES	0.3392052419575015			
GO_HISTONE_H4_K16_ACETYLATION	0.3390705697687355			
GO_HISTONE_ACETYLTRANSFERASE_ACTIVITY_H4_K5_SPECIFIC	0.338929486137014			
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	0.33892640394907675			
IPA_RPA2_UP	0.33830648951273157			
BIOCARTA_HSWI_SNF_PATHWAY	0.33811515630553085			
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.3380824961847812			
MIR548AO_3P	0.33788046881036155			
MIR576_3P	0.3378350405171376			
GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC	0.33776028530805835			
GO_CHROMATIN_SILENCING_AT_TELOMERE	0.33752430480817164			
MIR2114_3P	0.3365516266699588			
GO_CHROMATIN	0.33649184980162505			
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	0.33616187893767957			
GO_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY_ACTING_ON_ACETYL_PHOSPHATE_AS_DONOR	0.336106180973758			
GO_REGULATION_OF_RNA_SPLICING	0.33601423100411926			
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.3358999266749446			
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	0.3357379556622088			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.3357178310902853			
GO_CHROMATIN_ORGANIZATION	0.33549456152404383			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN	0.33511085541570756			
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.3350336006355066			
GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_DN	0.33458968935853983			
